content,polarity
view bagus makanan cukup enak romantis arsitektur menarik pelayanan baik letaknya agak tersembunyi kelas menengah,positive
Cafe ini cocok untuk hang-out anak muda tapi kurang cocok untuk family karena bisa smoking. Makanan biasa saja ciri khas cafe. Bisa liat view pada malam hari.,positive
"tempatnya di daerah dago atas sehingga cukup jauh namun hal tersebut wothy untuk tempatnya yang nyaman, udaranya sejuk dan pemandangannya bagus bisa liat lampu2 kota bandung di malam hari. Mengenai harga makanan memang termasuk tempat makan yang tidak murah hehe karena porsinya juga lumayan besar. Menu makanannya bervariasi mulai dari sate bali sampai salad juga ada. recommended buat yang suka. Lanjutan",positive
"Klo ke bandung paling suka cari tempat makan baru. Kata temen d congo lumayan bagus, pas ksana ternyata tempatnya d dago atas dan view nya keren bangett wlpn makanannya biasa aja",positive
"Saya sangat suka suasana cafe ini. Ruangan sangat luas dan memiliki sofa yang cukup nyaman untuk menikmati makanan & minuman bersama teman / pacar. Tempat yang romantis jika dikunjungi bareng pacar / gebetan. Menu makanan cukup bervariasi dari pasta, steak atau indonesian food. Terdapat berbagai jenis minuman seperti kopi, teh, ataupun minuman berakohol. Harga yang di tawarkan menurut saya agak. Lanjutan",positive
"Saya datang jam 9 malam bersama keluarga. Kami duduk di ruang dengan beberapa sofa nyaman dengan view lampu-lampu kota Bandung di bawah. Kebetulan kami datang sehabis hujan, jadi menambah romantis suasana. Kami memesan milk shake vanilla, fruit punch, Caramel coklat & waffle caramel. Enak semua. Harga semua makanan & minumannya juga tidak terlalu mahal. Kalau mau makan berat, disini bukan. Lanjutan",positive
"Ga akan pernah kapok buat kembali lagi kesini, apalagi kalau datangnya jumat malam atau sabtu malam ada live music nya, makanannya enak-enak, ok deh pokoknya, ga pernah ngecewain dan pasti akan kembali lagi.",positive
Tempat asik.adem.ada mainan ank juga.jadi ga kuatir klo ank mau makan sambil main.untuk keluarga yg punya ank.coba deh congo cafe.,positive
"Cafe ini terletak d daerah dago atas, suasana disini sungguh nyaman tenang, dingin dan santai. mereka menyediakan beberapa menu makanan dari mulai appetizer sampai dessert, harga yang diberikanpun cocok dengan apa yg anda dapatkan.tersedia tempat duduk sofa dan beberapa kursi kayu d dalamnya . sungguh tempat yang nyaman.",positive
Congo menawarkan tempat yang sangat artistik dengan balutan kerajinan solidwood-nya. Harga makanan yg mahal tampaknya terlalu overpriced.,positive
"Saya mengunjungi tempat ini dalam rangka perayaan ulang tahun sahabat. Memang acaranya kami arrange by our self, namun sangat disayangkan karena pelayan tidak turut mendukung acara kami (misalnya membantu take some photos or help to serve the birthday cake). Di samping itu kualitas makanan terbilang bagus.",positive
Tempatnya sangat romantis dan cozy. Dengan suasana yang sangat nyaman dan pelayanan yang baik. Makanan sangat enak dengan harga yang reasonable. Sangat ingin kembali kesini menikmati suasana sore nya. Overall very good!!,positive
"kemarin saya dan teman2 kesana wah memang bagus tuh tempat nya kopinya juga enak loh, tapi pas saya dan teman2 pulang lewat antapani ketemu cafe yg ada barbernya, kebetulan teman saya ingin cukur juga yaudah kita mampir kesana tapi tidak di sangka di kira mahal karena tempat yg mewah tetapi harga bawah dan rasa kelas atas kaget maka dari itu. Lanjutan",positive
Congo ini tempatnya tidak jauh dari jalan raya dago pakar. Arsitektur ruangan kebanyakan memainkan beberapa bentuk kayu sehingga menghadirkan suasana yang hangat ditengah dinginnya udara dago pakar di malam hari. Suasananya nyaman sekali untuk kumpul keluarga dan kumpul barwng teman2. Pancake coklat nya enak banget deh! Menu disini kebanyakan western food. Harganya tidak terlalu mahal. Lebih baik kalau ke resto. Lanjutan,positive
Ga bosen dan terkesima.setiap datang ke congo cafe.tempat nya tenang.nyaman.coba deh dtg mlm hari.lebih romantis.klo bawa pasangan,positive
Disini anda bisa melihat koleksi-koleksi kayu dan juga bisa sambil makan. menu hidangan utamanya adalah menu eropa.,positive
"saya kesini malam dengan suami,, kami memesan sop ikan, rasanya enaaaakkkkkkk banget, perpadua semua bumbu pas,, pas dateng juga sop nya masih panas, cocok di makan saat udara dingin, saya sampe nambah 1 porsi lagi untuk sop ikan ini desain restaurant nya juga ok banget, tapi kami memesan di di type ruangan terbuka lantai dasar, klo mau yg view nya. Lanjutan",positive
Klo mlm.suasana nya nyaman.romantis.cocok untuk bawa pasangan.pokonya coba deh ajak pasangan mu.,positive
Tempat nya unik.sambil makan jg di manjakan dgn tempat yg serba unik.byk kayu kayu dan galeri nya.buat ank jg jgn kuatir.ada mainan ank nya.so mkn jd lebih santei,positive
Tempat nya bagus.romantis.cocok buat ajak pasangan / keluarga.makanan nya enk.coba deh buntut goreng nya,positive
"Enak tempatnya buat pacaran, ko gkow cantik dan hahahihi bareng temen temen, recomended labamba pokonya",positive
"Tempat nya ok, harganya mid range, cozy buat makan malam dilanjut ngobrol2 sampai malam Tapi jangan harap ada view kota bandung dari sini kalau anda tak mau membayar 1 juta utk minimum order Karena city view mungkin baru terlihat di lantai 2 tempat vip room berada",positive
"Salah satu tempat nongkrong yang romantis di Bandung, cafe nya sangat unik, untuk harga juga variatif dan standard dengan cafe lainnya, parkir juga sangat luas, pelayanan juga baik, pertama baru kesini langsung suka dengan tempat ini",positive
Kelebihan bandung adalah bertebarannya cafe tematik dengan harga terjangkau. salah satunya tempat ini. menyediakan berbagai tempat duduk yang berbeda view dan pengaturannya di bulan bulan tertentu akan kita dengar suara merdu derik serangga menjelang musim kawin. sangat syahdu. makanandan minuman disediakan dengan menarik dengan rasa yang cukup enak. sangat rekomended untuk bersantai dan hang out,positive
"Salah satu alternatif resto yang boleh dicoba di Bandung. Resto-nya cukup bagus. Pilihan makanan tidak terlalu banyak, rasa makanan biasa saja, dan untuk harga sedikit agak mahal.",positive
Tempatnya romantis. M ja nya kayu2 gt. Harganya menengah keatas. Parkir nya luas. Menunya lumayan beragam. View nya kereen. Sayang saya datangnya kmaleman jd ga bisa liat gallery kayunya.bisa gesek pake kartu. Mau foto2? Pelayan nya baik2 kok bantuin kita foto hihihi,positive
Pengalaman kesini makanannya enak. Lokasinya sangat luas dan nyaman. Pemandangan yang dapat dilihat dari restoran ini indah. Toiletnya bersih. Cocok untuk acara kumpul keluarga dengan teman dan sahabat. Namun kurang dilengkapi dengan fasilitas wifi gratis.,positive
"Pasta yang kami pesan (ada 3 macam), semua rasanya biasa saja. Untuk harga seperti itu. Malah rasanya lebih enak buatan anak saya. Tempatnya ramai. Yang saya paling tidak suka adalah diarahkan parkir oleh tukang parkirnya , memarkir paralel dimana sisi pintu sopir merapat ke dinding batu kasar. Jarak antara mobil dibuat sangat dekat sehingga susah untuk parkir maupun susuah untuk. Lanjutan",positive
Kami kesana jam 8 malam pada hari Kamis malam dan restoran penuh sekali sehingga pelayanan kurang memuaskan. Lama dan terkesan terburu buru. Pro: 1. Lighting utk restoran ini bagus. Bagus untuk di photo 2. Harga tidak begitu mahal. Ada makanan utama dengan harga IDR 40.000 dan pasta seharga IDR 50 rb an. Steak tentu saja lebih mahal Cons: 1. Tempat. Lanjutan,positive
"Saya melakakukan reservasi untuk malem tahun baru, dan minimal open table daerah A 990.000 termasuk tax. Saya suka service disini sangat cepat dan ramah. Tempatnya enak dan dapat melihat citylight dari kejauhan. Untuk soup mushroom,mushroomnya kurang terasa. Tenderloinnya terlalu banyak seasoning garemnya jadi asin banget. Triple chocolate cakenya enak rasanya ga terlalu manis,pas di mulut. overall saya suka dan puas. Lanjutan",positive
"Resto ini bekas tempat penggergajian kayu. mesin potongnya sengaja dijadikan icon dan itu ""sesuatu"". Cita rasa makanannya ok. yang unik: ada steak yang ga pake kentang tapi diganti ubi yang digiling lembut",positive
"Sekilas Mengenai Congo Gallery & Cafe: Cafe dengan atmosfir unik menjual menu-menu asia, eropa dll yg menyemarakkan dunia percafean di area Dago Pakar Bandung Hal Yang Saya Sukai: - Waiter sangat responsif dan berinisiatif tinggi, jadi ceritanya kita makan malam sekaligus merayakan ultah salah satu anggota keluarga kita dan membawa kue ultah. Pada saat akan memotong kue, mas waiter dengan. Lanjutan",positive
Saya melakukan reservasi via online TripAdvisor.com saya sudah booking 4 hari sebelum kedatangan dgn request untuk aniv. Saya jauh2 dtg dari surabaya dgn harapan mendapatkan sesuai hrpan saya terutama ketika staff menghubungi saya dan menjawab untuk dapat memenuhi request saya. Tetapi setelah saya smp disana sy dilayani seperti on the spot. Tempat yg disediakan tidak sesuai. Dan menurut saya penjelasan. Lanjutan,negative
Makanannya enak.harganya lumayan sesuai dengan lokasinya yg bagus.dateng ke sini pas malam hari jd terasa romantis.,positive
congo terletak di dago atas. menyediakan suasana yang bagus dan pemandangan yang cukup indah dengan suhu yang sejuk. makanan cukup enak dengan variasi cukup banyak. Rasa makanan cukup enak,positive
"resto ini berada di dago atas tempat nya menanjak. di sini di bagi beberapa tempat duduk, ada yang di tempat paling bawah, ada yg tempat duduk seperti resto pada umumnya, ada juga yg tempat duduk sofa dan sambil bisa melihat view dago ada juga di lantai paling atas dengan syarat ada minimum pemesanan/pembelian. tempatnya cozy banget, tapi sayang di bagian. Lanjutan",positive
"restaurant nya cukup bagus. view nya juga keren. ada area playground untuk anak-anak. makanan not bad. hanya saja pelayanan masih kurang, entah kurang staff atau gimana tapi kalau panggil pelayan lamaaa baru dateng.",positive
"Lokasi di Dago atas , cafe ini cukup romantis terutama di malam hari. Mengambil tempat duduk di sofa krn banyak pilihan tempat, suasana cukup tenang, nyaman hanya disayangkan banyak perokok bersatu di ruang ini, alangkah baiknya tempat sebagus ini dan jg luas bisa memisahkan perokok dan bukan perokok, sehingga kenyamanan lebih bisa di dapat.Untuk makanan rasanya ok, steaknya ok ,. Lanjutan",positive
"Baru saja kami sekeluarga makan di Congo, bermain di playground, dan menikmati ambience Bandung malam hari. Ternyata kami lupa mengambil gadget di area bermain. Pada pukul 11 malam kami menghubungi Congo dan Manager saat itu Bp Heri berjanji mencarinya. Alhamdulillah barang tersebut masih ada. Terima kasih banyak kepada Bp Heri atas servis dan atensinya, beliau sampai mengantarkan ke hotel kami. Lanjutan",positive
"Conggo Gallrely & cafe di bandung utara. Cafe nya sih okok saja. yang menarik adalah produksi meja dengan kayu-kayu yang panjang dan tebal khusus untuk meja makan, dengan harga nya juga cukup mahall.",positive
"suasana sejuk, makanan enak cocok banget buat ngumpul bareng keluarga atau teman. ada playground untuk anak-anak. makanan agak mahal tapi enak, wifinya kenceng banget",positive
"Good view, good food, great coffee apa lagi yang kita butuhkan untuk resto di bandung? Semua lengkap disini. Saya bukan penggemar sosis, tapi td pesan sausage and fries nya enak! Yang bikin saya puas adalah Cafee amaretto nya. Enak, ga expect bisa seenak ini, must try! Harus kembali kesini lagi!",positive
Suasananya oke banget buat nongkrong. Harga makanan mahal tapi rasanya juga enak. Jadi gak rugi. Wifinya juga cepat. Ada live musicnya juga. Yang kurang cuma jalan masuk menuju restoran perlu dikasih penerangan. Nyasar2 mulu pas mau ke sana malem2. Selain itu pisahin antara smoking free area sama yg smoking.,positive
"Kami datang di resto ini ketika malam. Suasananya romantis dan dingin. Restoran ini selain cocok untuk pasangan, cocok juga untuk keluarga karena ada playground kecil di tengahnya. Ada tempat untuk indoor maupun outdoor. Rasapun tidak mengecewakan. Saya mencoba ayam ala congo, dan wow!",positive
"Sangat cocok jika anda mengunjungi Congo di malam hari. Anda dapat menikmati indahnya lampu- lampu kota Bandung di malam hari dari cafe sambil menikmati hidangan. Karena waktu itu kami sudah bersantap malam sebelumnya, kami memilih untuk memesan minuman saja.",positive
"Restoran Congo terletak di area Bandung Utara dengan view indah ke arah kota Bandung. Dapat dicapai dari Dago atas ataupun melalui Cigadung. Untuk menghindari jalur macet, pilih jakur Cigadung, tetapi harus berhati2 karena jalannya agak kecil. Pastikan kendaraan yang Anda gunakan bertenaga cukup untuk menaklukkan medan tanjakannya. Menu makanan dan minuman sangat bervariasi sehingga kita bisa memilih berbagai tipe makanan. Lanjutan",positive
Untuk view sbnrnya depend on posisi duduknya Pas dtg krn always big family di tawarin ke VIP hanya ada min order 1jt Unik interiornya berisi ornamen kayu2 jati dsb Kesekian kali ke tempat ini for lunch or dinner quality n plattingnya OK bgt Rasa tergantung jenis makanannya Tapi bakwan sayur gorengnya enak.Indonesia bgt Juara!!!,positive
"Suka sama interiornya, serba kayu dan unik. enak buat ngumpul rame2 sama temen atau saudara. untuk makanan secara rasa enak namun beberapa menu agak biasa aja (personal preference, i guess). pilihan menu cukup beragam dari indonesia, western italian dan asian, harga slightly lebih mahal. Tapi overall puas",positive
"Mampir kemari setelah perjalanan cukup panjang dari Jakarta. Kesan saya ini resto yang keren. Menjual suasana, jauh dari keramaian kota Bandung, dengan udara yang sejuk, cafe yang dibangun mengikuti kontur tanah. Ada yang di tanah datar, ada pula bangunan yang berada di sisi tanah landai. Viewnya lumayan meski tidak luar biasa banget. Di Galery nya kita bisa lihat banyak benda. Lanjutan",positive
"Makanan disini enak namun harganya cukup mahal, cocok untuk golongan menengah ke atas. Disini bisa menikmati pemandangan kota bandung dari atas (dago). Tempat favorite untuk hangout bersama teman ataupun pacar.",positive
Taste makanan n minuman nya lumayan. Harga nya agak mahal. n city light nya ga keliatan. Pdhl kan daerah sini biasanya identik sama city view :),positive
"Saya ke sini bersama keluarga untuk makan malam pada waktu jumat malam. suasananya sangat nyaman dan romantis (cocok untuk pasangan).ada playground untuk anak2, tempatnya luas dan bisa memilih kursi di dalam atau diluar ruangan. Saat saya datang terdapat live music sehingga menambah suasana makin ok.apalagi bisa request lagu, hehe. Makanannya enak2 walaupun harganya juga lumayan, hehehe.tapi secara keseluruhan sangat rekomended. Lanjutan",positive
"Cafe ini memiliki arsitektur bangunan yang sangat bagus. Karena penasaran, saya meluangkan waktu berkeliling sembari menunggu makanan datang. Ada galeri yang penuh dengan koleksi-koleksi kayu dan di luar gallery, tampak pemandangan Bandung dari ketinggian. Di sekitar banyak juga kursi terbuat dari kayu dan juga bebatuan. Dari sisi makanan, harganya termasuk relatif standar sesuai dengan cafe-cafe. Namun, soal rasa, biasa saja. Lanjutan",positive
"Lokasinya tersembunyi, butuh ketelitian untuk menemukannya. Didalamnya pemandangan indah, terutama di bagian outdoor. Malam hari bisa melihat kelap-kelip lampu Bandung dibwah sana. Furniture kayu-nya bagus-bagus, mungkin karena sekaligus merangkap sebagai showroom furniture kayu. Makanannya biasa saja.",positive
Karena terletak di daerah atas jadi tempatnya agak dingin dan pemandangannya bagus. Pengunjung dapat menikmati juga gallery kayu ukiran dan berfoto-foto di sana. Tempatnya luas dan nyaman. Di sana saya hanya pesan minuman hot chocolate dengan hazelnut. cokelatnya cukup pekat dan enak. Rekomen untuk pasangan yang menginginkan suasana romantis. Akses cukup membingungkan karena kami memutar dari belakang. Terutama malam hari. Lanjutan,positive
"Cafe ini berlokasi cukup jauh, di dago atas yang naiknya bener-bener ke atas. Tapi ketika sampai disana, lokasinya luas, karena saya kesana malam hari, maka suasana romantis sangat terlihat dengan cuaca bandung yang dingin, lampu lampu cafe temaram, menyenangkan bila kesana dengan pasangan. Saya kesana dengan teman-teman kerja saya dan bercanda tawa senda gurau, hingga ada teman saya yang memesan. Lanjutan",positive
"cocok untuk makan malam romantis dengan pasangan. ada pilihan indoor atau outdoor. disarankan tidak ke tempat ini saat weekend karena sulit dapat tempat yang sepi. pilihan makanan bervariasi, Indonesian atau Western. Staf sangat ramah dan sigap melayani.",positive
"tempat yang cakep ini lumayan butuh kesabaran untuk bisa sampai disana, tapi setelah menempuh perjalanan kurang lbh 1 jam karena macet, dan harus cari jalan agak lebar karena kebetulan pakai mobil colt muatan 12 orang jadi agak panjang, terpaksa harus putar arah, karena jalanan menuju kesitu agak sempit dan belok2, tapi begitu sampai, terbayar dengan sajian makanan yg enak dan. Lanjutan",positive
"Cafe ini terletak agak ke dalam, patokannya adalah belokan setelah melewati The Stone Cafe dan tinggal mengikuti papan petunjuk. Jalan menuju sana sangat terjal. Saat pergi ke sana di siang hari, tidak terlalu ramai. Tempat ini banyak mengedepankan art dan galeri. Terdapat galeri ukiran kayu, tempat mainan anak, bekas generator air, serta restoran. Menu makanannya cukup banyak, kebanyakan makanan Barat. Lanjutan",positive
"Dua kali makan kesana, kesimpulan adalah tempatnya berkelas dan hrs siap uang. Makanannya hampir semua di atas 50rb. Kalau kesana pilih makanan eropa karena makanan indonesianya ga terlalu enak. Pelayanan cukup baik. Datang lebih asyik kalau malam hari, nuansa romantis sambil dinner bisa lihat pemandangan kerlip lampu kota bandung.",positive
"Restaurant nya cukup bagus, bersih. Makanannya enak. Harganya lumayan mahal. Pelayanannya ramah, banyak cafe cafe di bandung menawarkan suasana seperti ini. Jadi yah. kalau mau coba silahkan.",positive
"Jika ingin bersantai di kota Bandung, harus datang ke Congo. Tempatnya terletak di bukit dago dan sangat tenang. Makanan cukup enak. Tempat sangat nyaman dan bersih.",positive
"Waktu datang ke kafe ini memang ga pasangan tapi rame-rame sama teman. Meski bareng taman-teman, suasana romantis kafe ini tetap terasa. Suasana malam minggu, dan lampu-lampu kafe yang sedikit remang membuat suasana terasa hangat romantis ditambah home band yang menyanyikan lagu-lagu romantis top fourty. Untuk makanan menurut saya si rasanya cukup, itu menurut lidah saya. Harga masih affordable, standard harga. Lanjutan",positive
"makanan harga middle end tp masi terjangkau, tapi view masih kalah dengan maja house atau the valley",positive
"Cafe yg menurutku sangat cocok buat menyatakan cinta kepada orang yg kita cinta. Cm sayang taste foodnya standar.nothing spc. but.overall semuanya bagus.pelayanannya benar"" memanjakan tamu;-).",positive
"Resto Cafe yang jualan view dan suasana, Congo salah satu tempatnya. Apalagi kalo sabtu malam, resto ini juga menyajikan band akustik yang akan menghidupkan suasana. Untuk makanan, favorit di resto ini adalah sup buntut, namun untuk menu yang lain, rasa tidak ada yang istimewa dibanding resto lain. namun, suasana resto ini sangat pas untuk berkumpul dan ngobrol dengan keluarga atau. Lanjutan",positive
"Selalu senang berkunjung ke Congo Cafe baik siang dan malam hari. Suasananya sejuk, asri dan modern. Selain itu makanan dan minuman yang ditawarkan relatif enak dan murah. Walaupun, minggu lalu sepertinya menemukan kenaikan harga dari makanan dan minumannya, terutama sup buntut bakar. Semua kenaikan harga dirasa masih wajar. Semoga kualitas dapat terus dipertahankan.",positive
"Congo Gallery & cafe merupakan restaurant yang terletak di daerah Dago Pakar, di ketinggian kota Bandung. Saya kesana minggu lalu bersama dengan teman-teman saat malam hari. Lupakan dress dengan belahan dada atau punggung yang rendah karena di sana Anda akan membutuhkan jaket untuk menghangatkan diri. Letaknya berada di ketinggian kota Bandung seharusnya dapat melihat view kota Bandung dari atas, namun. Lanjutan",positive
"Dago Pakar menawarkan banyak cafe/restoran. Salah satunya ""Congo Cafe & Gallery"". Harga di tempat ini tidak semahal restoran di sekitarnya yang lebih dulu berdiri atau dikenal umum. Kekurangannya, pemandangannya tidak ada yang menghadap lembah seperti yang ditawarkan beberapa restoran lain dilokasi tersebut. Masuk ke dalamnya bagai sebuah galeri seni karena tertata meja dan kursi kayu, ada pulan yang dipadukan dengan. Lanjutan",positive
"Area restoran ini lumayan luas dengan parkir yang cukup, view bagus, namun makanan yg disajikan tidak sebanding dengan harga. Saya coba makan Rawon, tapi lidah saya tidak merasakan sensasi rasa yang diharapkan.",positive
"Restauran berkonsep cafe yang menjual layanan dan pemandangan di Bandung Utara, memiliki konsep yag relatif sama dengan resto yang lain di kawasan ini , membuat resto ini ""kurang istimewa"" tetapi terlalu baik untuk dikatakan buruk, karena sebetulnya layanan, masakan dan minumannya cukup baik .hanya typical saja.",positive
"kalau niat makan2 di bandung sambil menikmati suasana yang nyaman, asri sekaligus bisa foto2 di galeri yang terbuat semua dari kayu, congo restoran adalah tempatnya. Menu makanannya sih umum, ada masakan indonesia dan barat, berbagai macam minuman juga tersedia lengkap. Waktu kita kesini malam hari untuk dinner, kebebetulan bareng sama yang ultah dan ada juga pasangan yang menikmati makam malam. Lanjutan",positive
