content,polarity
"salah satu tempat makan yang murah tapi sehat, varian menu vegan yg bener2 enak, apalagi sate yg selalu jd menu favorit!",positive
"Ini kali kedua saya makan di Kehidupan. Meski sudah tahu sejak lama akan keberadaan resto ini , tapi baru berani mencoba beberapa bulan yg lalu dan ternyata bikin ketagihan. Menu andalan disini adalah paket hemat 8000 yakni nasi + 4 macam sayur. Jika Anda ingin menambah menu lain seperti sate vegan atau rolade vegannya Anda cukup menambah kocek +/- 5000. Lanjutan",positive
"Dari kuliah dulu suka makan disini. Soal harga murah, pilihan sayurannya juga banyak. Porsinya banyak juga. Yang paling saya suka sate ayamnya mirip kaya sate beneran hehe",positive
"Mantap, dari kuliah smpai skrg klo kbdg kdg msh makan dsini. Enak bgt menu menunya, banyak variasinya,",positive
"Makanan favorit saya di sini adalah sate ayam yang tidak terbuat dari ayam tapi rasanya seperti sate ayam beneran. Satu tusuknya lima ribu. Tetapi tiga tusuk saja sudah cukup untuk nasi satu piring. Di restoran ini semua makanannya vegetarian. Untuk paket, Anda bisa membeli paket nasi dan 4 macam sayur seharga Rp 8.000. Menurut saya sayurnya agak hambar, mungkin karena. Lanjutan",positive
"Buat kamu yang mau hemat, di sini tempatnya makanannya higenis. Kamu bebas pilih 4 macam sayur di sini. Yang pastiny ga ada daging ya di sini. Vege Only. Cobain deh hargany jg murah ckp 9rb aja dah dptin makanan yang kamu suka. VEGAN yes. Ayo jadi Vegan selagi bisa.",positive
Saya tuu bukan tipe orang yang suka makanan vegetarian. kecuali di kehidupan ini. kalau abis makan di sini suka pengen jadi vegetarian terus makan nya sehat terus,positive
"Harga murah, dipastikan tanpa hewani, yahh. mungkin masakannya berminyak tapi yahh mudah2an kedepannya lebih healthy makanannya.",positive
"Makanan nya sangat bersih, sehat menyehatkan, murah, banyak pilihan vegetarian, cuma tempat duduknya aja kurang nyaman.",positive
"Duluuuu sebelum ke sini. Gw tuu paling ga bsa makan vegetarian atau makanan no msg soal ny rata2 pasti ga enak , aneh , ga ada rasa dll. Wktu awal kesini pun sempet watir sendiri tkut ga enakk. Tpi setelah di cobaaa. Behhh!! Enak brow!! Meskipun di sini makanan ny vegetarian ga ada daging trus makanan ny ga pake pecin. Lanjutan",positive
