content,polarity
"Kalau bawa keluarga ambil posisi makan di saung belakang, tempatnya nyaman. Buat makanannya sedap, oke punya! Terasa pas di lidah, terutama buat saya yang orang Jogja. Gurame bakarnya enak, karedoknya juga oke, porsi melimpah tapi tidak menguras kantong. Pelayan-pelayannya lucu, asik, pada suka bercanda tapi tetap sopan. Recommended lah!",positive
Rasanya enak terutama gurami cobek sangat lezat.saya suka juga dng karedoknya terasa segar.jika kebandung saya akan kesini lagi,positive
"Cocok untuk makan bersama keluarga atau teman. Pilihan menu cukup beragam, dengan harga terjangkau. Staf yang melayani kami cukup sigap dan ramah. Makanan yang kami pesan juga cepat dihidangkan. Kami menikmati makan siang kami dengan menu nasi timbel komplit top ( paket yg benar benar lengkap dan enak), nasi liwet ( uenaaak. ), ayam goreng wangi ( bumbu meresap di. Lanjutan",positive
"Tempat strategis,halaman luas, tp jumlah ke kendaraan kalau sudah jam makan siang waduh masih kurang juga tempat parkir nya,disambut dengan gaya khas Bandung,tempat bersih,ada music yang terdengar sayu2.cepat penyajian nya",positive
Suka banget dengan taste ayam ma' keke ini pedes manis. Nendang banget. Untuk makanan sunda emang pricey yah disini. Cuma sebanding dgn fasilitas tempat yg luas dan area musholla nya juga bersih. Parkiran luas.,positive
"Makan disini enak banget. Paketnya murah bisa buat banyakan orang. Rasanya enak bangett. Sambel enak, slalu disediain kerupuk aci 1 toples. Dan yg harus dicoba itu, juice raja sunda. Enaak bgt, seger, campuran buah dan sayuran.",positive
"Resto ini bernuansa Sunda dengan meja kayu dan interior design serba coklat kayu. Suasananya nyaman dengan layanan yang baik. Tersedia berbagai menu masakan Sunda. Gurame bakar kecap pembakarannya baik dengan bumbu bakarnya enak terasa manis dan bahannya segar. Dagingnya empuk dengan bumbu yang meresap sampai ke dalamnya. Gurame terbang , ikannya digoreng kering tidak berminyak , dimakan pakai saos cabe. Lanjutan",positive
"Ketagihan makan disini, cah kangkungnya enak, pelayanannya bagus, ramah, tempatnya juga sangat nyaman dan strategis, berada di pusat kota bandung, dekat dengan swalayan dan hotel, dan dekat dengan pintu tol Pasteur, jadi untuk yang di luar kota, bisa dengan mudah menemukan tempat ini",positive
"Saat kami datang sedang ramai sekali. dan harus waiting list. namun begitu kami dapat tempat. pesan makanan dan nggak pake lama, sudah tersaji di depan meja. soal rasa mantap lah. dan harga cocok dah.",positive
"Semua makanannya enak. service nya bener2 excellent.tempatnya mudah ditemukan. bener2 ""rajanya masakan sunda""",positive
"Lokasinya searah mau ke Tol pasteur, parkirnya luas, tempatnya bersih. Ada yg makan di meja atau di saung, makanannya enak semua!! Memang agaj manis untuk selera sunda tapi pas untuk saya . Sambel kecombrangnnya juwarak, bebas pula gak nambah biaya . Kalo suka makanan sunda selera jawa yang agak manis, kesini aja!",positive
"Cari masakan sunda yang asli disini tempatnya enak dan pas dilidah. semua menu yang ada di sini di kasih jempol deh, yang namanya sayur asem dan ikan gurami goreng nya ehmm ditambah dengan sambel khas ala sunda.pokok nya kalau ke daerah cipaganti sini jangan lupa deh singgah di tempat ini. pasti pengen balik lagi deh.",positive
"Resotan ini leatknya sangat strategis apabila anda ingin bepergian ke luar kota bandung atau kalau anda masuk ke kota bandung melalui tol Pasteur. Makanannya disajikan menarik dan bersih. Menunya ada ikan goreng, ayam goreng, cumi. Untuk paket nasi ada nasi ulam. Rekomended untuk datang kesini sekeluarga.",positive
"restoran yang cantik,makanannya enak2 dan harganya terjangkau.servisnya pun bagus,cuma tempat parkirnya agak kurang besar.",positive
Ikan bakar disini maknyus. Nasi timbelnya murah meriah. Pelayanannya bagus sekali. Tempatnya bersih dan terawat. Top!,positive
