content,polarity
"Agak sulit menemukan restaurant ini, kami menggunakan GPS waze dan sepertinya ganti beberapa block dari lokasi sebelumnya. Menyediakan menu babi (saya mencoba menu tersebut) dan saya berikan 3 bintang dari 5 bintang. Kopinya lumayan tapi tidak seperti yang saya bayangkan. Pelayanan sedikit lamban, waitress-nya kelupaan pada saya minta cabe iris, setelah saya Tanya lagi beliau bilang tidak menyediakan.",positive
Saya paling senang mengunjungi tempat nongkrong atau cafe dan mencoba product coffee yang ditawarkan untuk coffeenya cukup enak paslah hanya tempatnya kecil saja dan ketika full untuk parkir disana susah mendapatkan parkir.,positive
Terletak dekat dengan bandara husein sastranegara. Tempat ini sebenarnya lebih cocok untuk breakfast and brunch.,positive
"Kebetulan saya berkunjung kerumah saudara di bandung, pada saat saya menikmati kota bandung, ada cafe yg menarik, saya kunjungi bersama keluarga. Makananya enak, minumanya juga tidak kalah enak, overall harga bersaing lah. Trimakasih, saya pastikan akan ke bandung lagi. Thx",positive
"Menrut saya ini merupakan salah satu coffee shop dengan kopi yang enak dan unik, begitu juga tempatnya yg nyaman.",positive
"ini salah satu tempat yang wajib dikunjungi kalo ke bandung, biar nge hits :p tempatnya oke banget instagramable banget. tapi sayang tempatnya hanya buka sampai jam 8 malam",positive
"setiap kali ke bandung, pasti mampir ke sini. pilihan specialty coffee nya luar biasa, cocok dengan preferensi saya. tempatnya juga lumayan luas jadi tidak perlu rebutan meja. harga masuk akal dan pelayanan efisien. will be back!",positive
"tempatnya sangat nyaman buat ngopi dan menenangkan diri. makanannya enak-enak, affogatonya recommended.",positive
"Kopinya standar tapi tempatnya enak untuk nongkrong. makanannya enak, cuma di sini mengandung babi. enak banget makanan all day breakfastnya menurut saya, cuma sayang di sini tidak menyediakan saus sambal, hanya ada tobasco. tematnya desember kemaren baru pindah ke sebrang korean house, 1 temoat dengan raywhite.",positive
"Saya datang ke Bandung untuk jalan-jalan bersama dengan pasangan. Dimana setelah kami tiba di Bandung mengunakan kereta api kami mampir ke Tempat ini untuk brunch. Pada saat kami sampai sempat agak binggung karena tulisan cafenya tertutup mobil parkir dibawah, sedangkan bagian atasnya ada sign salah satu agen properti. Kami masuk ke tempat ini dimana tempatnya cukup bagus interiornya dan ada. Lanjutan",positive
"THF selalu menjadi tempat ngopi favorit saya di Bandung. Boleh mencoba kopi, teh, dan semua menu makanannya. Kalau anda penggemar teh, chai latte THF sangat harus dicoba.",positive
Tempatnya sangat nyaman dengan barista yang ramah juga informatif dengan kopi. Kebetulan saya kurang mengerti dengan kopi. Yang saya suka di sini adalah pemilihan kopi mereka selalu terbaik.,positive
"Selain tempat yang nyaman, coffee shop ini sering menggunakan varian kopi dari coloumbia, kenya, dan berbagaijenis kopi luar lainnya. Secara langsung Two Hands Full memperkenalkan kita akan keunikan kopi-kopi dr negara penghasil kopi lainnya. Sangat menggugah anda untuk ikut mencari flavour yg dihasilkan pada setiap jenis kopi yg ada. Selain itu THF punya berbagai brunch yg akan memuaskan rasa lapar. Lanjutan",positive
Makanan breakfast nya ala eropa. Bratwurst dan bacon nya enak. Cara penyajian nya bagus. Menarik dan unik. Menu nya tidak terlalu banyak. Hanya mereka tidak menyediakan saus tomat. Hanya bumbu bumbu seperti garam dan merica.,positive
