content,polarity
"Saya ga pernah suka terong sampai cobain terong raos di Pandan Wangi. Enak banget, bikin ketagihan. Selain terong, hampir semua makanannya enak-enak. Saya pernah coba ayam ungkep, gurame bakar, perkedel kentang, genjer, kangkung, semuanya enak! Saran saya, jangan datang di weekend atau hari libur karena dijamin tidak kebagian tempat (penuh sekali).",positive
Terong yang digoreng dengan tepung dan juga maskan khas sunda lainnya menurut saya sangat lezat rasanya di tambah pelayanan dari karyawannya yang cukup baik karena pas saya datang kesana tempatnya cukup ramai sehingga menunggu ada tempat kosong. Cuma untuk yang bawa kendaraan akan cukup sulit mendapat tempat parkir di saat tempatnya ramai apalagi di akhir pekan. tetapi over all saya. Lanjutan,positive
"Salah satu andalan Dapoer Pandan Wangi adalah terong raos yang memang menurut saya rasanya enak & unik. Terong goreng tepung dengan citarasa pedas manis, must try kalau datang ke tempat ini. Resto yang cocok didatangi untuk makan bersama dengan keluarga besar.",positive
"Baru pertama kali kesini. Suasana nya ramai sekali banyak pembeli tapi tetep nyaman untuk makan ditempat. Karyawannya sigap. Soal makanan, mantap rasanya dan porsinya mengenyangkan. Untuk harga standar ( saya tampilkan di foto untuk menu dan harganya ). Ada yang menarik ada menu paket anak, nasi nya dibuat sedemikian rupa aga menarik anak kecil untuk makan lalu di beri hiasan. Lanjutan",positive
"Delicious Sundanese food: ayam ungkep, terong raos, sup merah ikan gurame, tempe bacem, sambel jengkol, cimplung. Good services.",positive
"Kita arisan keluarga disini. Menunya enak. Dan kita pilih tempat yg lesehan. Harganya sedang, tapi kayanya disini ga dapet free minum teh hangat atau air putih gelas. Soalnya kita harus pesan lagi.sama agak banyak Lalat. Apa mungkin hrs dipasang alat perangkap lalat ya. Soalnya udah pakai lilin jg msh banyak aja.",positive
"Resto ini suasananya cukup nyaman meskipun ramai saat jam makan. Tersedia berbagai menu seperti Nasi Timbel, Nasi ayam ungkep, Nasi liwet, Gurame goreng, Ayam ungkep, Ayam goreng, Ayam bakar, Daging sapi goreng, Nasi goreng dan sebagainya. Nasi timbel rasanya enak. Gurame goreng rasanya gurih dan nikmat. Perkedel berbentuk bulat kecil-kecil enak dan lembut sekali. Terong raos memiliki lapisan luar yang. Lanjutan",positive
Menyediakan makanan yg cocok di lidah. aoo ikan yg khas dan enak. jengkol ;). tumis pepaya juga ga berasa pahit. Tempat lumayan nyaman untuk menjamu teman ataupun makan bersama keluarga.sayangnya tempat parkir sempit.jadi harus parkir di bahu jalan.,positive
2 hari yang lalu saya sengaja ingin mencoba resto dapur pandan wangi bersama istri saya pada saat memasuki parkiran di dpn saya ada motor yg akan parkir dan di bantu dgn biasa oleh tukang parkir nya saya sempat tertahan di area prkir karena sedang mneyapa teman saya yg kebetulan sudah sampai di lokasi pada saat saya mau memerkirkan motor betapa. Lanjutan,negative
"Makanan sunda yang enak, tempatnya nyaman, ada di pusat kota cocok untuk makan siang , makan malam apalagi untuk acara arisan dan buka puasa bersama. Saat buka puasa bersama harus reservasi dahulu jauh hari karena biasanya penuh. Kalo kesini minumnya WAJIB beli jus kedondong dan makannya terong goreng. Pasti anda ketagihan.",positive
