content,polarity
"Menu yang ada di sini variatif sehingga kita tidak bosan-bosan untuk ke sini lagi. Tempatnya bersih ditambah pramusajinya yang cekatan. Hanya saja, stok di sini cepat habis karena pengunjungnya sangat ramai.",positive
"Emang udah legend sih mie nya, harganya sebanding dg porsi nya. Mienya tipis2 dan rasanya enak tapi ngantrinya bisa sampai 30-60 menit",positive
"Baso sama yaminnya enak, apalagi pangsitnya juga suka. cuma mungkin tempatnya aja yang agak sumpek, over all ok. Mas kasirnya juga harus sering senyum yaa",positive
"Saya datang beserta keluarga, kebetulan istri baru pertama kali mencicipi mie bakso akung. Karena datangnya sdh kesorean maka pangsit dan ceker sdh kehabisan. Rasanya tetap mantap dan tidak ada tandingannya. Fasilitas toilet dan mushola bersih dan oke banget. Recomend banget.kalo ke bandung wajib datang kesini.",positive
"Suka bakmi nya, ayamnya juga suir2 cincang , yg paling enak baksonya rasanya pas. Kuahnya berasa enaknya. Pelayannya ramah. Kebetulan pas dateng sisa mie dan bakso. Sisa yang lain habis. nextime akan kembali cobain somai dan pangsitnya.",positive
"Itu betul lo. Agak sore dikit. habis sudah ceker ceker penggoda iman itu. Mie bakso yang selalu ramai. Jagan pesan 1 porsi. banyak betul isi nya. haha. Saya biasa pesan setengah. Tapi isi lengkap. bakso, ceker, pangsit, babat. Sama aja ya . jadi nya lebih dari 1 porsi. Akung yang selalu ramai . Jiper kalau sudah antri. Liahat orang sudah. Lanjutan",positive
"tempat favorit kami sekeluarga. bermula dari awal kuliah di tahun 1999 saat diajak oleh teman asli bandung utk bersantap siang dsana. mie yamin manis kumplit. isinya baso, tahu, somay, ceker, pangsit. cukup setengah porsi sja dijamin membuat annda tersenyum puas krn perut terisi full dan lidah dimanjakan rasa yg luar biasa.",positive
"mienya enak, kenyal dan lembut bumbunya terasa dan sayurnya segar masih kriuk2/ loaksi warung bersih enak untuk hangout",positive
"Saya pecinta mie mie an ( terutama mie dengan toping babi ) . Mie akung cukup enak buat di coba. Cuma sayang nunggunya lama,sehingga sampai di meja kita kuahnya udah dingin,jadi kurang nendang rasanya. Pelayanannya agak lama,karena pengunjungnya banyak banget",positive
"Jangan lupa mampir ke Mie Akung di jalan lodaya Bandung. Cukup pesan separuh saja kalo anda bukan jago makan. Kalo pesan satu, anda harus berjuang untuk menghabiskannya. Ada pilihan isi bakso, siomay, tahu, ceker, pangsit. Biasanya tempat ini selalu rame tiap akhir bukan, jadi siap siap untuk antri tempat duduk. Cobalah es duriannya makyus rasanya.",positive
"Makan disini sekitar jam 6 sore, penuh luar biasa, pada saat memesan sudah dijelaskan oleh petugas kalau harus menunggu kurang lebih satu jam. Agak kaget juga harus nunggu 1 jam untuk semangkok mie. Saya pesan mie yamin asin + bakso, suami pesan mie ayam bakso dan pangsit goreng. Rasanya luar biasa enak, mie nya gurih dan baksonya juga empuk. Ngga. Lanjutan",positive
mie dan basonya enak banget. lokasinya juga mudah di jangkau.porsinya besar. restoran ini tutup hari jumat dan buka jam 10 setiap harinya,positive
Baru pertama kali kesini tempatnya dr luar keliatan sempit pas masuk ke dalam mah luas. Tp walopun luas jgn harap dapet tempat duduk langsung harus sabar he. Yamin ceker pangsit ma ceker favorit pokoknya,positive
"Sejak pindah ke jkt klo ke bandung ini tempat favorit keluarga pertama yang wajib kunjung, yamin manisnya laziis banget apalagi cekernya tuh empuuuk banget pokoknya ga ada duanya, porsinyapun lumayan banyak. kemarin datang 1hari sebelum ramadhan penuh banget, pilihan tahu, ceker, dan pangsitnya habis untung masih dapet dikasih sop tulang mudanya, sedia sop duren juga yang enak tapi terbatas persediannya. Lanjutan",positive
"Bagi penggemar Yamien jangan sampai tidak mampir ke tempat ini, lokasi di jalan lodaya dekat lingkar selatan. Es durian dan ceker plus yamien pasti akan membuat anda ketagihan.",positive
"Salah satu wisata kuliner yang mesti dicicip kalo ke bandung. Mie yaminnya nikmat,, dengan banyak pilihan .bakso, pangsit, tahu, ceker",positive
