content,polarity
"Design interiornya unik, instagramable beud. Ada lillte playgroundnya dibelakang, dihalaman depan ada rabit venue dan ayunan buat santai"" manjah sambil photo canded ala"".Dinda pesen Tenderloin Steak Local 99K, yang importnya 129K. Steaknya tasted banget walaupun tanpa saus, porsi 200g besar dan tebal sungguh wort it ! Harga minuman 21-40K. Dinda ma pesennya seperti biasah iced capucinno, enak banget pake vanilla. Lanjutan",positive
Miss bee restoran yang menyenanglan.pilihan makanan beragam.porsi besar .rasa enak.yg tidak.menyenangkan.waiting listnya panjang.dan tidak bisa pesan tempat melalui telp.jadi males banget deh antrinya.,positive
"#day1/5#family's_trip#bandung#exploringsouthtonorth Tiba di Bandung langsung meluncur kesini bareng kedua Maha Ratu ku dengan guide 'mbah googs map'. Suasananya cozy, sedikit bergaya eropa, dan kids friendly i think soalnya di cafe ini juga terdapat arena playground seperti prosotan, ayunan, mainan lego, sampai kelinci juga ada disini. So kami para orang tua bisa tenang sarapan sdgkn puteri mungil kami asik bermain sambil. Lanjutan",positive
"Tempatnya agak terpencil di dalam komplek perumahan lama, jalan menuju kesini kecil, seperti gang. Begitu sampai, parkirannya gak muat, sampai ke jalan2. Tapi ada tukang parkirnya, jadi relatif aman. Kami kesini waktu weekend, dan penuh banget. Harus reserve by phone dulu mungkin kalau tidak mau ngantri. Begitu masuk, langsung daftar ke resepsionis minta nomor antrian kaya ke dokter. Nunggunya lama. Lanjutan",positive
"Dengan petunjuk waze akhrinya sampe juga, Miss bee terlihat biasa saja dari parkiran tidak ada yang istimewa. Tetapi begitu kita naik ke atas, terlihat cantik dengan banyak tanaman. Cafe ada di dalam ruang biasa, ada di ruang kaca, Saya memilih ruang kaca, sangat nyaman. Kebetulan kami datang disaat jam breakfast, jadi saya memilih egg Benedict dan chococino dan anak saya. Lanjutan",positive
Suka sama restoran ini. ada area playground jadi anak2 gak boring sambil nunggu pesanan datang. pelayanannya ramah. sayang utk pesanan makanan maupun minuman datangnya lamaaaaaa padahal waktu itu kondisi resto tidak terlalu ramai. untuk porsi makanan sangat banyak dan rasanya enak.,positive
"Suasana seperti dirumah sendiri, ada tempat bermain anak juga, makanan enak dan porsi lumayan. Untuk harga cukup mahal dibanding resto resto di Bandung yang lagi terkenal juga. Cuma agak gelap aja tempat makan nya . Kalau lebih terang pasti lebih asik dan seru",positive
"makanannya enak, banyak macamnya. tmpt makannya juga enak ada sofa dan full ac. cocok untuk membawa anak kecil kesini karena banyak tempat bermain anak-anak seperti masak2an. perosotan, ayunan dan ada tempat khusus untuk melihat kelinci walaupun kelincinya hanya sedikit dan susah untuk keluar dri lubang hahaha. tetapi kalau untuk harga makanan agak sedikit mahal dan porsinya sedikit. juga tersedia wifi. Lanjutan",positive
Suasananya enak banget. Ada playground buat anak. Udaranya sejuk dan adem. Saya memesan mushrom spagheti. Rasanya enak dan kejunya cukup terasa. Iced thai tea nya juga enak dan warna nya bagus. Ga nyesel makan disini,positive
"Tertarik saat melihat beberapa ulasan tentang tempat ini, ternyata memang dari segi temoat sangat menarik, nyaman, fresh dan nuansa alam nya terasa asik. Makanan pun cukup menarik walaupun kurang khas. Tapi over all its a goodplace and recommended lah.",positive
