content,polarity
mau makan sushi enak? coba kesini deh. sushi ama ramenya enak . klo pengen makan ala jepang gitu pasti kesini. :3,positive
Waktu pertama kali ke sini suka banget sama dekor ny dekor ny menarik fancy tpi cozy udh gtu pas nyobain makanan ny juga enakk,positive
"Meskipun menu utama resto ini adalah sushi, namun pilihan saya untuk lunch adalah tori ramen. Ini merupakan noodle favorit saya dengan kuah bumbu khas jepang. Ramennya lembut dilengkapi isi udang yang enak. Porsinya pas buat 1 orang. Delicious.",positive
"Saya bukan pencinta sushi, tapi setelah kenal sushi tei, jadi lumayan suka. Sushinya beragam harganya. Minumannya yang ocha bisa free refill. Favorit saya baby octopus ! Dateng kesini dapet wet tissue, pas pulangnya dikasi permen.",positive
Waktu itu libur lebaran dan lagi pengen makana jepang. Dan selalu milih susitei ga pernah inget resto lain. Ah udah susitei paling juara :),positive
"Kalau Anda sekali saja merasakan sushi di Sushi Tei, Anda tidak akan pernah bisa menikmati sushi ditempat lain. Karna di sushi tei anda akan mendapatkan kualitas sushi yg segar, rasa asli Jepang, yang minimalis, tidak dimodifikasi aneh2. Saya paling suka berbagai macam menu dari salmon, Salmon Maki, Salmon Sushi, Salmon Sashimi. Selain itu, yang paling dikangenin kalau ke sushi tei. Lanjutan",positive
"Sushi Tei salah satu resto ternama pasti ada disetiap kota besar termasuk bandung hygiene,nyaman,harga tapi agak mahal tapi sesuai dengan cita rasa dan menu variasi original jepang",positive
Suka banget makanannya di sini. Sushi rolled pake.kacang mente favorite saya.pelayanannya ramah tempatnya keren,positive
"Saya waktu mlm minggu ke restaurant ini,untuk take away. Hamachi km shio yg dibakar,ikannya fresh.rasa ikan lembut bgt,bumbunya meresap.harganya rp 68.000(blom termasuk tax & service).hamachi km shio yg dipanggang rasanya asin,dagingnya lembut.ikannya tidak ada durinya,kulit ikannya juga crunhcy.",positive
"Sering ke sushi tei ini, terus terang jarang dapat salmon yg segar dan kunjungan sore ini salmonnya sudah kering seperti sudah dibuat dari pagi hari (yg di rel kereta puter). Koleksi sushinya lengkap yg di rel kereta puter (walau seringnya tidak lengkap tapi kali ini lengkap). Pesanan kami lama keluarnya padahal hanya nasi goreng salmon. Porsinya kecil sekali, tidak sebanyak. Lanjutan",positive
Sushi disini paling enak dan banyak pilihannya. Paling suka salmon mentai sushinya. Pelayanan cepat dan tempatnya bersih,positive
"Saya mengajak tamu berkebangsaan Amerika menjelajah resto-resto terbaik di Bandung, dan result nya: pertama Padang Sederhana, kedua SushiTei. Katanya, bahkan sushi nya lebih enak dari yang pernah dia makan di Tokyo. Penyanyiannya juga very artfull, harganya memang mahal namun sepadan dengan kualitasnya. Siap-siap antri aja kalo mau makan disini",positive
tempat favorit untuk kongkow bersama teman-teman. dan kalau dibandingkan harga di sini jatuhnya lebih murah. pertama kali duduk di atas karena penuh. lucu juga dpt suasana berbeda walaupun jadi susah manggil pelayan. hehe. diskon anz 15% mega 20%. lumayanlah,positive
"Pertama kali saya ke sushi tei di TSM Bandung. Saya kesini pada hari minggu, antriannya cukup banyak namun kebetulan saya datang sendiri dan oleh pelayannya dengan cepat diarahkan ke sushi bar. Menu favorit saya adalah salmon sashimi, kacang edamamenya enak, juga menu roll sushinya yang juga enak ditambah free ocha yang bisa di refill sama sperti di restoran sushi tei. Lanjutan",positive
"Pertama kali belajar makan sushi ya disini, sushi tei. Deg2an karena takut aneh rasanya. Apalagi yg mentah. Tapiiiii, pertama nyoba ternyata enak bgt. Pertama emang rekomen temen katanya kalau mau makan sushi pertama kali makan dulu yang mateng. Udah terbiasa baru coba sashimi. Dannnn, memang enakkk. Dari situ rajin dateng ke sushi tei. And addict. :D selama ini aku emang. Lanjutan",positive
