content,polarity
"Sebenarnya makanan disini enak, tapi nggk tau kenapa gw ngrasa bumbunya kurang meresap,, tapi rekomended sihh buat yang suka kemewahan,, hahahah",positive
"First time nyobain makan disini, dan jatuh cintaaa !! dari mulai masuk dan duduk langsung di service dgn baik. makanan dateng dgn platingan yg cantik banget smp sayang buat dimakan yaaa pas dicobain rasanyaa juga luar biasaaa maknyuuusss. tempatnya nyamaan pokonyaaah! Very recomended",positive
"bareng makan sama temen, tempatnya enak bgt. makanan juga enak tempatnya santai buat ngobrol.",positive
"Makan malam di FRESCO Restaurant, by Hilton Hotel Bandung. suasana yang begitu sangat nyaman yg berlokasikan di pinggir kolam renang serta suasana outdoor yang begitu sejuk. di tambah makanannya yang memanjakan lidah, good taste and fresh for the beef. chef profesional ( chef putra ) masakan yang begitu enak dan pelayanannya yang begitu ramah. all in all a perfect stay.",positive
"Mission completed. Thx hilton buat venue yang romantis, dekor yang bikin baper dan pelayanan yang memuaskan dr tim hilton mas wisnu dkk yang super cool dan ga tegang. Pokoknya the best deh buat fresco resto.",positive
"Tempat yang sangat nyaman, sangat privasi dan romantis untuk merayakan ulangtahun bersama kekasih. Terimakasi kepada wisnu atas pelayanan yang ramah, cepat, dan sangat memuaskan dari awal reservasi sampai dinner",positive
"Tempat yg nyaman utk kongkow bareng teman dan keluarga. Makanannya juga enak2, suasana dan viewnya keren.recomended untuk yang mau bikin acara special",positive
"Romantic dinner @frescorestauran selain makanan nya yang taste nya super amazing, servicenya pun excellent,, intinya recommended banget untuk kalian yang ingin Romantic dinner bersama pasangan kalian.",positive
"Starter duck leg in spices nya top dagingnya lembut banget and enakk banget by chef Purwa , pelayanan nya juga cepat dan dilayani dengan ramah, thanks to mas Wisnu buat servis nya",positive
"Makanannya enak semuaaa, Tempat makan plus nongkrong yg wajib di datangin, Pelayan bernama Wisnu ramah dan gesit. Harga sepadan dgn rasa dan kenyamanan tempatnya.",positive
"Karena sangat excited, kami sudah sampai fresco restaurant sebelum magrib tiba. Ketika sampai, kami disambut oleh para staff yg luar biasa ramahnya. Setelah memesan makanan, kami ingin sholat magrib terlebih dahulu, senangnya kami diantar ke mushola untuk sholat. Itu benar-benar pelayanan yang sangat baik. Semua makanan yg kami pesan enak. Kami lahap habis makanannya. Selain itu kami suka sekali dengan. Lanjutan",positive
"Good taste.yummy cocok untuk makan bersama teman dan keluarga. stafnya sangat friendly special untuk risa, fariz dan juga chef yovie dan dervin.",positive
"Makanan yang saya coba ""braised beef rib, balsamic, forest honey glazed"" porsi dan rasanya supperb. Recommended utk dicoba. Ditambah dengan view yg menghadap swimming pool dan pelayanan yang sangat baik dari staffnya.",positive
"Lantai 6 hotel Hilton Bandung, enak buat nongkrong, deket kolam renang juga, bisa langsung byurrrr. hehehe. harga relatif standar buat restoran berkelas seperti ini. makanan nya enak banget, cuma kurang banyak buat porsi jumbo kaya saya, tapi ditawarkan untuk nambah koq, entah gratis atau tidak, saat saya mengungkapkan kurang banyak porsi yang saya dapat. hahaha. pengalaman yang menyenangkan dan tak. Lanjutan",positive
"Restoran yg bagus, makanan dan menu sangat banyak, cara penjajian juga cepat, jadi kita tidak perlu menunggu lama, apa lagi saat ke sini, perut sudah benar2 lapar, sip untuk semua menu masakan nya, ikan nya juga segar",positive
