content,polarity
Saya nginep di hotel valley tibanya mlam krna hujan trpaksa kami makn dalam kmar jdi tdak bisa menikmati pemandangan malam di cafenya.makanannya enak.,positive
Di valley kami sekeluarga sangat senang melihat lampu lampu kelap kelip di kota bandung dan udara yg segar dan dingin dingin serasa jiwa kami sehat kembali Walaupun harga makanan cukup mahal tapi porsinya juga besar jd sesuai dan satu lg yg paling penting staff nya ramah ramah skali,positive
"tempat bagus, makanan biasa saja karena dingin jadi makanan apa saja enak sich, tapi sialnya jika hujan yaaa, secara keseluruhan bagus. makanan ringan perlu perbanyak deh karena banyak pengunjung (sepertinya) hanya ingin makanan ringan untuk menghabiskan waktu menikmati udara segar dengan pemandangan yang menarik dari atas kota bandung",positive
"The valley restoran n resort yg bener2 keren pemandangan dan tempatnya bener2 keren banget menu restoran yg berkelas sebanding rasa dan harganya, sempet menginap disini yg bikin unik lift nya yg dr kaca bikin degdegan ketika turun kebawah cos pemandangannya terlihat bgt dr atas seolah mau terjun kebawah, kerennya kamar penginapannya unik2 dan yg pasti keren abis dgn pemandangan alam. Lanjutan",positive
Menikmati makanan yang lezat dengan pemandangan kota Bandung sungguh perpaduan yang sangat bermakna.,positive
"Restoran ini merupakan favourit kami sekeluarga, karena selain menawarkan pemandangan yang indah juga makanan yang dihidangkan sangat enak. Restoran ini sudah lama berdiri dan tetap menjaga mutu dan rasa makanannya",positive
Ini restoran memang berkelas. Harga memang mahal. tapi sesuai lah dengan rasa dan kualitas dan kuantitas.,positive
Tempat indah Makanan . boleh lah. Petugas sigap dan ramah Dicoba kambing ala korea nya juara Buat penutup colenak nya juga enak bgt Tp tempat nya betul2 indah Bandung memang surga nya indonesia,positive
"Resto dengan pemandangan sangat bagus, melihat Bandung. Makanan & minuman banyak pilihan, cita rasa cukup enak, harga relatif mahal.",positive
"Kami mengunjungi the valley untuk makan malam. Pemandangannya sangat indah di malam hari, kami bisa menikmati indahnya kota bandung dng gemerlap lampu2 yg menyala.",positive
suki valley all u can eat pemandangan bagus tempat romantis makanan enak pelayanan memuaskan menu makanan lengkap,positive
"Makanannya yg hrs gue akui uenakkkk bgt, pemandangan juga okkk, kmrnya juga lumayan, yg bgs di karavan, buat anak2 juga lengkap bgt, buat bulan madu juga oke bgt.",positive
"2001 pernah ke sini, dan 2014 juga, tp progressnya luar biasa, selain menu yang enak, layanan menyenangkan, view kota bandung nya keren bgt di malam hari, sussi nya enaaaak bgt, kalo ke bandung saya mau ke sini lagi",positive
"Agak nyesel datang kesini pas malam2 View nya enggak keliatan seberapa bagus Terlalu gelap dan remang2 , Makannya sih enak2 tapi lumayan bikin jebol isi dompet",positive
"Kita dateng kesana magrib"" gitu, makan diarea outdor biar bisa liat citylight, untuk harga makanan memang waww tp porsinya banyak ko, kl mau yang murah pesen steak salmon aja 190K untuk yang standarnya 245K tenderloin isinya banyak dan komplit. pelayanannya okai secara ini resto mevvah, makanannya juga okai, tempatnya romantic banget apalagi kl datang buat rayain sesuatu yang special harga. Lanjutan",positive
Kalau ke bandung jangan lewatkan ngafe di valey dago pakar.kita bisa menikmati makan malam sambil menikmati pemandangan yg sangat bagus dr atas.makanan nya juga semua enak.kalo mau coba nginap jg hotelnya ada yg berbentuk caravan .asyik banget.udaranya juga segar sekali.breakfast nya juga mantap sekali apalagi linting capgomeh nya enak banget,positive
Steak sebenar-benarnya steak especially chiken cordon bluenya yang ngangenin plus makan yang diselimuti view Bandung yang top markotop. pas banget datangnya malam ya ma pasangan anyway ma keluarga juga tetap asyik. Jalan menuju ke lokasi memang berliku perlu usaha dan kerje keras.,positive
"Terletak di Dago Pakar. Menyajikan pelbagai makanan dari main course hingga dessert. Yg menarik dari tempat ini adalah karena anda bisa melihat view hota bandung dari atas (terutama dari outdoor dining area). Sayangnya ketika hujan deras, anda wajib pindah ke area indoor karena tampias air hujan.",positive
"Cocok buat yg bawa pasangan, pacaran, pdkt, suasana nya enak, hanya terlalu gelapp smpe susah liat menu , tp bs liat kota bandung dr atas, indahh. utk menu harga nya relatiflah, mahal jg krn bayar suasana. The Valley tempat yg luas. harus di coba utk yg main2 ke Bandung",positive
Kalo ada yang ingin berkunjung ke sini. Tempatny jg ckp bgs. Apalagi viewnya yg mendukung banget untuk acara weeding keluarga anda. Tp syangny tempat ini uda tutup. Cuma tinggal kenangan aj yang ada di sini. Tamannya padahal bagus dekorasinya. Syang ya guys,positive
"Merayakan Ultah Istri tercinta saya sengaja memilih tempat ini, terutama diruang outdoor, suasana nyaman, tenang dan suara life Music yang terdengar sayup2 terasa lebih mantap, tapi yang tidak kalah penting adalah Makanannya yang hampir rata2 Oke punya, saya sudah sangat sering berkunjung ketempat ini hampir semua makanannya Oke, hanya saja harganya memang agak mahal He He He namun terbayar dengan. Lanjutan",positive
"Waktu dateng ke sini banyak yg bilang mahal bgt, tp waktu coba disini kayanya worth it bgt yah ,pelayanan, makanan, and atmosphere nya the best bgt di sini. Yah patut dateng lagi kalau mau makan enak dengan suasana yang the best bgt. I will come again next time",positive
"Kalau makan disini sebaiknya duduk di bagian outdoor. Dari situ akan terlihat kpemandangan citylight nya yang bagus banget. Selain itu, harga makanan disini tergolong cukup mahal dibanding kafe-kafe di Bandung, namun porsi makanannya besar kok jadi cukup sepadan dengan yang kita bayar.",positive
"Tempat ini sebenernya enak banget kalau buat dinner romantis atau sekedar kumpul-kumpul bareng temen-temen. Karena pemandangannya yang luar biasa cantik di malam hari, makan sambil melihat kerlap kerlip kota Bandung dari atas. Untuk harga lumayan cukup mahal namun sebanding dengan view yang mereka tawarkan.",positive
"Tempat ini cocok dikunjungi bersama keluarga. Makanannya yang tidak terlupa antara lain sup nya yang mewah dan zupa zupa. Ketika kita bisa menyanyi bersama orang tua yang sudah sepuh di sini sambil memandang kelap kelip kota BANDUNG dari lembah yang curam, sepertinya kebahagiaan dan kenangan bersama keluarga menjadi tidak terlupa.",positive
"Restoran yang romantis, bisa melihat view kota Bandung yang bagus di malam hari. Udaranya juga sejuk. Makanan yang disediakan mulai dari masakan Sunda sampai international. Rasa makanan OK. Harga tergolong mahal. Penyajian makanan agak lama.",positive
View bandung malam luarbiasa Makanannya enak enak tp harganya luarbiasa juga Jarak nda terlalu jauh tapi pemandangannya luarbiasa dan suasananya asyik,positive
"Makanan yang disediakan begitu banyak dati mulai makanan lokal sampai westernpun ada. yang paling saya suka yakni dessert slice cake yang dipajang tepat ddepan pintu masuk banyak pilihan dan rasanya pun yummyy . lalu untuk tempat anda bisa pilih tempat d dalam atau diluar tetapi biasanya ketika hujan tiba, tempat d luar ditutup. Sayangnya disini tidak bisa reservasi untuk dinner. Lanjutan",positive
"Saya ke bandung baru kemarin baru kesampaian makan disini. Kami makan di the valley suki. Kenyang, enak, pelayan ramah, dan pemandangannya keren kalau kita duduk dekat jendela. Ya dengan harga Rp. 190.000,-/orang sudah termasuk pajak kita bisa makan sepuasnya, sistemnya kaya hanamasa tapi lebih asek tempatnya.",positive
Tempatnya bagus view bandung terlihat jelas. tapi yang pastiii dingin sekali di sini. Begitu masuk para waiter n waitress nya menyambut dg ramah. dan menunjukkan kita table yg bisa kita pakai or sudah qt book sebelumnya. untuk dinner romantis memang di sini pas sekali karna suasananya indah. tapi memang harganya cukup merogoh kocek. ada juga all you can eat nya. Lanjutan,positive
"Suasana kafe ini sangat romantis di malam hari, outdoor ataupun indoornya asyik. zupa soupnya enak. Harga makanannya cukup mahal. Sebagian besar menu western.",positive
ini merupakan salah satu tempat dinner yang romantis terutama pada malam hari. terdapat area open space. namun hati-hati bila hujan turun. Makananya sebagian besar adalah western food. Steak nya enak namun tidak terlalu istimewa. harganya lumayan mahal dan porsi makanan cukup banyak.,positive
"Dengan pemadangan yang indah dimalam hari, disertai udara sejuk Kota Bandung, kami menikmati Zuppa Soup yang panas sangatlah nikmat. Harga tergolong mahal, namun untu sekali-kali OK lah.",positive
"Menunya western, kaya steak, dll. Enak bgt, sebanding sama harganya yg tinggi. Waitressnya agak kurang responsif tapi ramah kok. Lebih asik makan di outdoor area, bisa liat kota Bandung dari atas, terus kalo malem"" romantis. Oya, sempet ketemu artis lho saya (Dion Wiyoko). Haha.",positive
"Berharap bs dpt outdoor table biar bs dpt view ok, ternyata baru dibuka jam 3pm, while kita kesana for lunch. Zuppa soup nya enak. Porsi makanannya terlalu banyak unt sy & keluarga. Harganya cukup tinggi. So, hati2 waktu order menu, jgn sampai over, sayang kan kalau ga habis.",positive
"Pemandangan sekitar bagus, dapat harga baik karena bukan hari libur suasana tenang dan fasilitas tambahan yang diberikan sangat banyak.",positive
Meskipun jalan yang ditempuh cukup sulit dan harus menanjak namun terbayar dengan pemandangan yang di dapat. Rasa makanan juga enak meskipun dengan harga yang cukup fantastis. Menjadi salah satu cafe favorite saya di bandung karena tidak pernah kecewa dengan The Valley,positive
Restoran dengan dua tempat. Menyajikan pemandangan kota bandung yang sangat cantik. Rasa makanan sangat enak dan cocok untuk lidah orang Indonesia. Harga cukup mahal. Tapi sesuai dengan rasa.,positive
"sejak pertama mengunjunginya jaman kuliah dulu, sampai saat ini 15 tahun setelahnya valley tetap menjadi favorit saya. makanannya mantap, areanya luas, suasananya sangat romantis, harganya jg bikin tisrisss. heheee. gapapa. rela mengencangkan ikat pinggang bbrp minggu sblm ke banddung demi makan malam di valley.",positive
"Kami makan di Suki Garden, mencari yang panas-panas setelah menempuh perjalanan jauh, Restorant yg bersih, makanannya banyak dan bervariasi, harganya juga tidak terlalu mahal, pelayanannya sangat baik . Kota Bandung juga berkelap kelip indah terpampang di sejuknya angin.",positive
"Saya ke The Valley untuk farewell rekan kerja. Suasananya sangat indah pada malam hari, dengan bintang-bintang di langit dan lampu-lampu di rumah / gedung-gedung. Iga bakarnya nikmat.",positive
Lagi laperrrr kemari. Eeh g taunye rasanya biasaaaaaaaa beeeett makan be 2 abis 700k sajah. Overpriced food with good view.,negative
Tempat ini sangat romantis dengan pemandangan malam yang bagus. Cocok untuk dinner keluarga. Suasana malam hari juga romantis dengan kerap kerlip pemandangan Bandung pada malam hari,positive
"Pemandangannya bagus, nyaman, adem. Pelayanan juga ramah & cukup cepat. Makanan enak, lupa menu yg dipesan tapi semuanya tasty & delicious deh pokoknya. Kebetulan berkunjung pas sesaat setelah hujan, jadi ya dingin2 gitu deh. Tersedia mainan jumper binatang u/ anak2 sembari menunggu, lumayan bikin senang kedua balitaku. Harga ya gitu deh, pricey hehe. Tapi namanya tempat wisata premium, dimaklumi saja. Lanjutan",positive
Positif : 1. Makanan enak 2. Jenis masakan beragam 3. View bandung malam bagus banget Negatif : 1. Kalo ramadhan suka cepet penuh 2. Harga menengah ke atas Keaimpulan : Recomended. Apalagi kalo ditraktir,positive
"Kualitas makanan sangat baik, sbanding dengan harga yang tinggi. Lokasi yang berada di dataran tinggi, membuat kita bisa melihat keindahan kota Bandung dari The Valley. Pelayanan yang baik dan sopan dari karyawan, hanya kurang cepat menangani order. Tempat ini di desain sedemikian rupa sehingga memberikan kesan nyaman kepada pengunjungnya.",positive
"Kawasan Dago memang terkenal dengan pemandangan alamnya yang indah, dan salah satu yang paling menarik adalah The Valley, yang merupakan hotel dan restoran yang menyajikan pemandangan kota Bandung. Pengunjung dapat memilih untuk bersantap di dalam ataupun di luar ruangan. Makanan yang disajikan khas internasional dengan harga yang cukup mahal.",positive
