content,polarity
"Bandung nih kayaknya banyak banget kafe yang harus dikunjungi, salah satunya tempat ini. Cocok banget buat penggemar bakso. Selain baksonya enak, tempatnya juga oke banget!",positive
"Warung Lela (atau disingkat Wale) berdiri sejak lebih dari 10 tahun lalu. Pertama kali saya datang ke sini ketika saya masih menggunakan seragam putih abu. 10 tahun berlalu, saya kembali kesini bersama keluarga saya. Yang membuat saya takjub adalah. rasa dari menu favorit saya -- Mie Yamin Baso -- sama persis dengan apa yang saya rasakan 10 tahun lalu! Mie. Lanjutan",positive
"saya selalu menyempatkan datang ke sini apabila ke kota Bandung sekedar bernostalgia untuk semangkok mie dengan baso lokasinya di rancekendal , utara kota Bandung bumbu nya gurih, bakso nya enak dan ayam suwir nya renyah saya rekomendasikan kopi hitam nya, enak",positive
"ke tempat ini butuh mobil yg sehat karena jalannya cukup curam. suasana tempatnya cozy. menunya sedikit. harga sich std, rasanya biasa banget",positive
Suasana restoran sangat unik dengan bahan utama dari kayu. Yaminnya juga enaak banget. Wajib beli pisang gorengnya juga yang sangat khas dan enaaak banget. Harga murah meriah dan sangat bersahabat. Enak buat nongkrong rame-rame.,positive
"Salah satu tempat favorit buat ngebaso dan hangout sama temen2. Basonya enakkk,, juaralah. Tempatnya juga bagus,, furniturenya dari kayu jadi kesannya hommy. Menu basonya juga bervariasi ada mie baso biasa, ada rica2, dll. Harganya lumayan walopun ga murah2 amat tapi worthy secara enak rasanya. Tempatnya deket masjid jadi kalau mau sholat juga bisa jalan dikit.",positive
"Ga pernah bosen ke tempat ini. Makananya enak, tempatnya asik, murah meriah enak deh pokoknya. Ga bakal nyesel kesini.",positive
"Waktu dan effort perjalanan menuju warung ini terbayarkan dengan hidangan mie yamin (asin/manis) plus bakso/pangsit rebus. Belum lagi jus strawberrynya yangs angat kental dan segar, slurrpppp. Highly recommended",positive
"Pagi2 ujan makan mie yamin di warung lela kesannya ga seenak dulu waktu pertama kali coba di tahun 2010 an.numpang nge charge sebentar krn mau cek wa.di tegur pelayan haha padahal posisi.saya sdh mau balik pulang.ketakutan bener siii.ampun deh, benerin lg ya pelayananna!",positive
"Makanannya enak, tempatnya bergaya rumah tradisional, ada dua tempat yg berhadapan, tempat awalnya adalah rumah tradisional di ruang depan ada jualan baju,",positive
"Setiap saya berkunjung ke Bandung saya selalu menyempatkan untuk mampir ke Wale kebetulan weekend kemarin tempat kami menginap cukup dekat dengan Wale. Seperti biasa saya selalu memesan yamin manis spesial yg terdiri dari yamin , bakso, tahu dan siomay. Dan memesan teh addictea rasa thai tea yg kebetulan juga tersedia di Wale. Rasa tetap sama sejak pertama saya berkunjung hanya. Lanjutan",positive
"Rasa mie enak dan cocok buat santap malam. Untuk rasa baso, siomay dan tahu biasa sajah. karena baso nya baso produksi pabrikan jadi rasa nya biasa. Tapi mie nya memang enak.",positive
"Lokasinyanya agak masuk2 tp masih di daerah dago atas, masuk terus lagi dari Congo Cafe. Pemandangannya oke & restaurant ini suasananya seperti di rumah tradisional jadi lumayan enjoy. Makanannya lebih ke mie ayam, yamin, bakso & bihun gitu hanya utk baksonya agak kecil ukurannya menurut saya dan juga rasanya kurang sedap jadi agak hambar gitu. Untuk harganya lumayan murah.",positive
"tahu tempat ini mungkin sudah 7-8 tahun lalu. dan hampir setiap tahun setelahnya pasti menclok kesini. cuma 2 tahun belakangan, absen. tempatnya mungil, parkiran penuh. HOMEY banget. menu ringkas dan enak. yamin asin dan manis + pangsit. sekalian cuci mata dengan view dari bukit. ga rugi dan ga nyesel walo tempat nya sedikit mojok.",positive
"berada di Area Dago atas,luamayan agak jauh mengingat jalur ini luamayan sempit & padat. cuma menu bakso nya lumayan enak dan tempat nya juga mendukung untuk bersantai ria.",positive
"setiap kami kesini, selalu memesan makanan yang sama, yaitu yamien manis bakso dan yamien asin bakso. saya dan istri setuju bahwa makanan yang kami makan sama dengan makanan yang kami makan 10 tahun yang lalu.",positive
"Tempat makan favorit dari taun 2009, rasanya enak, saya paling suka dengan mie rica-rica dan jus strawberrynya yang kental dan segar. Tempatnya sejuk karena di wilayah dago atas, cocok buat makan santei sambil menikmati view kota bandung",positive
"Rasa dari mienya sendiri sudah cukup enak ditambah bumbu dan taburan ayamnya makin lengkap rasanya, apalagi ditambah sambal dan juga basonya. Untuk minumnya kita bisa pesan minuman tradisional yang bermacam-macam jenis, dengan aroma jahe sangat cocok di nikmati hujan-hujan pada malam hari. Untuk tempat dan suasananya oke juga.",positive
"selalu, setiap ke bandung pasti terbayang mie lela. diusahakan, disempatkan untuk mampir. dgn mie yamin manis kumplit, pangsit goreng dan jus stroberinya membuat saya ketagihan dan selalu ingin kembali. harganya standar lah untuk ukuran bandung. tempatnya oke, bs bawa pasangan ataupun keluarga ksini.",positive
"Mie nya kayanya sih bikin sendiri ya. tempatnya di dago atas, mienya enak apalagi mie ayam rica-rica nya top banget. sekedar informasi mereka menaikkan harga ketika dalam masa libu lebaran.",positive
"Warung Lela termasuk sebuah restoran yang dapat dikatakan lokasinya relatif tersembunyi. Makanan yang mereka sediakan cukup beragam. Dengan model restoran yang memanfaatkan rumah dengan nuansa alam dan pemandangan Bandung yang indah, tempat ini menarik dijadikan untuk tempat makan santai anda, dan tentunya enak,",positive
