content,polarity
"Tempat nya terkesan mewah tapi rasa makanan biasa saja,,sy pesan gurame bakar jimbaran yg kata nya menu favorit di sini, ikan gurame di bakar di lumuri dgn bumbu kacang trus di kasih kecap buat cocol nya,,menurut sy bumbu gurame nya biasa saja, ga enak2 amat,,soal harga ya sesuai dg kemewahan tempat nya,,sy mkn berdua sm istri cm habis 150rb.",positive
"Tempat cukup memadai dengan pelayanan yang cepat. Aneka hidangan seafood dgn citrarasa sunda. Suasana interior yg modern mewah ditemani suara alunan gending sunda membuat suasana terasa hangat dan nyaman. Tersedia pilihan makanan ala carte dan paket individu dan paket keluarga, harga terjangkau.",positive
Terletak di pertemuan jalan setrasari dan setraria. Restoran ini menyajikan makanan sunda dengan free kerupuk sebagai menu appetizer.,positive
"Standard rasa makanannya, namun lokasinya strategis menuju tol pasteur. Jadi kalau belum makan dan harus kembali dari Bandung cukup direomendasi. menu yang oke gurame terbang.",positive
"Pelayanan cepat dan ramah, dapat di reservasi, interior yg unik. Makanannya enak dg porsi yg pas, sesuai dg harganya. Namun jenis2x minumannya biasa saja. Overall disarankan",positive
"Resto cukup mewah, menu masakan khas sunda. Diberikan Compliment Krupuk gendar rasanya enak. Menu favourite nya udang galah, cumi telur, Gurame goreng, Tahu goreng & Kankung hot plate. Sop iga nya enak.",positive
"Restoran suasana Sunda banget, tapi menu makanan banyak variasinya, sate udangnya yummy. Ada joglo yg deket kolam ikan, tempatnya nyaman disitu tapi sayang agak banyak nyamuk bila malam.",positive
Kemarin saya dan keluarga kedatang tamu. Kami semua makan siang di raja rasa. Dan pesan 2 paket makan yang komplit. Seperti : ayam goreng/ bakar. Ikan gurame goreng dan bakar . Cumi goreng dan. Bakar pedes. Tahu gireng gadi2 . Juga tambahan gurame kuah dan kepiting saus s'pore Banyak nya macam makanan. Rasa nya biasa -biasa . Pelayanan cepat dan. Lanjutan,positive
"Ini resto langganan kami ketika ke bandung. Lokasinya dekat dr jalan pasteur bisa langsung melalui jl maranatha jadi tdk terlalu macet Kami pesan 1 set nasi dengan ayam bakar seharga 40rban. Sudah termasuk dengan karedok,bakwan,tempe goreng kering , dan sepotong ayam bakar Untuk rasanya ayamnya meresap dan manis, tapi bakwannya keliatannya sudah agak dingin (mungkin stock dr pagi). Porsinya mengenyangkan. Lanjutan",positive
"Resto ini menawarkan masakan Sunda dan seafood. Tempstnya cukup nyaman dengan layanan yang baik. Menu beragam seperti Nasi ulam, Ayam goreng, Ayam bakar, Udang jimbaran, Ikan bakar, Ikan goreng dan sebagainya. Satu paket nasi ulam terdiri nasi putih yang dibentuk tumpeng mini, lauk sesuai pilihan, gado-gado, perkedel kentang, kering tempe, bakwan udang, kerupuk dan sambal. Wah rasanya enak dan mantap. Lanjutan",positive
"Makanannya enak enak,menunya juga lengkap terutama seafoodnya mantap. Cocok buat santap bareng keluarga kalo ke Bandung lagi restoran ini sangat di rekomendasikan",positive
"Makanan yang dihidangkan diluar ekspektasi, ternyata rasanya enak banget. Waktu itu nyobain ikan goreng, sayur kangkung, sambal, tahu goreng, nasi timbel, tempe, semuanya enak-enak. Lokasinya pun sangat mudah dijangkau dan sangat nyaman tempatnya. Ada yang dengan meja atau duduk lesehan.",positive
Sudah lama sekali tidak mengunjungi resto yang satu ini. Tahu goreng berbumbunya enak. Gurame ma'keke nya manis pedas kurang berapa enak. Nasi ulamnya komplit dan murah.,negative
"Awesome restaurant, makannya enak2, stafnya ramah dan pelayanannya cepat. Sangat direkomendasikan utk jenis masakan loka",positive
"Resto seafood mix seafood.dgn suasana yang nyaman, dan cukup sejuk. Menu makanan yg sangat variatif dan rasa yg baik dan harga yang pantas. Layak utk anda coba.",positive
Kunjungan ke restoran ini sangat mengecewakan karena dua menu yg saya pesan tidak tersedia seharusnya saat menyajikan menu hal ini disampaikan ke pembeli,negative
Kalau ke Bandung boleh kudu mampir ke sini. Menu sunda komplit. Enaklah pokoknyamah. Ada paket2 buat beberapa orang kalau malas atau bingung pilih2 menu. Harga sangat bersahabat. Recommended !,positive
"Tempatnya enak buat makan bersama keluarga,,,sudah 2 kali kesini dengan senjang waktu yang lama.tempatnya masih bersih dan menyenangkan.Ada bagian lesehan dan bukan lesehan.Ada kolam ikan yang bikin adem.Untuk makanan disini ada masakan sunda dan chinesse food.Yang saya suka ayam goreng nya .dan kangkung hotplate.rasanya pas.Untuk gurame bakar menurut saya terlalu manis.",positive
"Makanannya yang memiliki porsi besar, cocok untuk anda yang makanya banyak hehe. kemarin kami makan disana dalam rangka perayaan ulang tahun",positive
Jika anda hendak naik ke Lembang dari arah Pasteur coba lah mampir ke restoran ini. Sebagian besar menu yang ditawarkan adalah menu seafood. Rasa yang ditawarkan cukup enak. Restoran cukup luas dan terdapat taman-taman dan kolam sebagai pelengkap santap siang. Di sisi lain saat masuk kita disambut dengan koleksi-koleksi restoran berupa batu-batu unik. Begitu pula dibagian lain interior-interor dihiasi dengan. Lanjutan,positive
Restoran ini bangunannya cukup cantik. Di dalamnya terdapat koleksi benda benda yang unik dan antik. Makanannya sendiri terutama makanan Sunda. Kami mencoba gurami bakar dan kangkung. Citarasanya cukup enk tapi cenderung manis. Harganya premium sesuai kelas restoran.,positive
"Menunya 80% adalah menu seafood jadi sebenarnya lebih ke seafood restaurant daripada sundanese restaurant. Pemiliknya satu grup dgn Raja Sunda. Harga tergolong lebih tinggi drpd di Raja Sunda, dan tidak disediakan lalapan gratis maupun kerupuk aci gratis. Yg disediakan gratis hanya kerupuk gendar dan sambal. Karedoknya enak. Tahu goreng bumbunya isinya kosong seperti makan kulit tahu saja, didalamnya kosong. Genjer. Lanjutan",positive
"Tempatnya tidak terlalu luas, akan tetapi di dalamnya ada beberapa pilihan. Bisa makan di tempat duduk ataupun lesehan (ada pilihan di ruangan yang agak sempit atau di ruangan yang agak luas). Selain tempat parkir di lokasi resto ada disediakan tempat parkir di seberang resto. Untuk makanan yang patut dicoba adalah gurame goreng fillet, ayam goreng, ayam bakar dan tahu krispi.Hmmm. Lanjutan",positive
"Restorannya bagus, tempatnya nyaman dan makanannya juga enak-enak. Viewnya bagus, ada kolam ikan yang ikannya gede-gede. Lokasinya lumayan strategis, dekat dari pintu tol pasteur. Cocok untuk tempat makan bareng keluarga",positive
Makanan biasa aja.nggak mahal juga nggak murah.kurang sreg bumbunya.minumnya juga biasa aja.nggak ada yang istimewA,positive
"Tempat yang bagus, bisa melihat kolam ikan koi, boleh coba gurame goreng garing yang terkenal. Daging gurame yang difillet lalu digoreng satu per satu sangat enak. Cumi bakar isi cukup terkenal disini",positive
Kami sekuarga sering juga ke raja rasa sea food restoran ini . Makanan nya enak yang biasa oesan afalah udang windu bakar nya,positive
Kayanya seperti Rumah yang diubah jadi tempat makan. Namun tempat makan berupa lesehan . makanan sih Sunday plus seafood,positive
"restoran untuk kalangan menengah ke atas. makanan dan minuman dengan harga yg tidak akan mungkin dicoba oleh MBR. tetapi, rasa tidak akan dapat dicundangi oleh harga. bnyak tempat makan dengan harga terjangkau, namun dengan rasa istana. Utk Raja Rasa, memang makanannya seperti makan di istana (emang pernah makan di istana jang????)",positive
"Gak ngerti ya kenapa resto ini menduduki peringkat 12 dari 1800an resto yang ada dibandung. Harga mahal! Lokasi tersembunyi, dan rasa makanan biasa aja. Jangan terlalu percaya sama review yang menyesatkan lah.",negative
Seorang teman mengajak kami ke restoran sea food ini. Walaupun agak susah mencarinya di kawasan SUkajadi. Namun setelah menikmati makanannya kami tidak menyesal. Hidangan lautnya banyak pilihan dan bumbunya lua biasa. Selain itu ada angklung elektik yang bisa bernyanyi sendiri.,positive
Makanan di Raja Rasa sangat memuaskan. Resto Raja Rasa terletak di sebelah hotel Zodiak Sutami. Makanan sunda mengadi kegemeran saya. Seafood di Raja Rasa sangat segar dan saya pasti akan ke sini lagi. Terima Kasih,positive
"Saya kesini sama keluarga, makanan nya enak dan seafood nya segar, ga bau amis juga. Untuk harga bisa dibilang lumayan mahal",positive
"Jika ke bandung anda tak ke raja rasa berarti kurang komplit. Tempat nya strategi, decorasi nya bagus. Dan Udang bakar , ayam goreng enak .",positive
"Lokasi agak sesikit tersembunyi do lawasan Sukajadi Bandung Utara. Namun restotan seafood ini merupakan salah satu tempat favorit untuk menjamu teman bisnis. Selain pilihan menu yang lengkap dan bervariasi dan tentu saja memanjakan lidah, suasana resto juga apik dengan pelayanan prima. Namun yang paling mengesankan adalah dekitasi serta adanya sebuah angklung elektronik yang bisa memainkan lagu-lagu secara otomatis. Merinding hayi. Lanjutan",positive
"Saya membawa tamu saya dari Korea yang ingin mencoba makanan Indonesia. Raja Rasa memiliki suasana yang nyaman, variasi menu makanan Indonesia yang beragam (meskipun mayoritas adalah masakan Sunda dan Jawa), kualitas rasa yang baik, penyajian makanan yang menarik. Tamu saya merasa nyaman dengan tempat dan variasi makanan yang disajikan dan sangat terkesan dengan pedasnya cabe rawit yang luar biasa pedas.",positive
