content,polarity
"resto nostalgia yang wajib dikunjungi, tempat yang nyaman buat keluarga, parkir yang luas. hidangannya hampir semua enak, terutama steak, saslick dan es krim.",positive
"tenderloin steak nya juara,, tempat mdh d akses meakipun tersembunyi, nyaman, tema jadul, tdk crowded, pelayanan biasa,",positive
"rasa tizi dari jaman dulu ga pernah berubah, bumbu steak yg lezat dan tigkat kematangan yg pas bkin nagih terus. . kalian harus coba bbq sausage dan tenderloin disini",positive
"Makanannya enak, tempatnya nyaman banget. betah untuk ngobrol .Ini tempat makan steak, lidah sapi yang terfavorit sampai hari ini. Restaurant yang sudah puluhan tahun ada di Bandung, tapi berhasil konsisten dalam menjaga rasa yang disajikan. Tempatnya juga tenang, kalau mau ngedate ini salah satu tempat yang bisa jadi pilihan.",positive
"Tizi termasuk restoran dan cafe yang punya gaya tersendiri, tempat ini menjadi ajang panggung bagi pemusik cafe, tempat ini tidak terlalu ramai, suasananya juga tenang. waktu tahun 80an. tiap malam ada live musik. masakannya juga enak,",positive
"Untuk tempat keliatan udah lama banget tapi cozy, pelayanannya ramah, taste nya lumayan cuma mungkin kurang berinovasi untuk menu.",positive
"Cafe dari jaman waktu kuliah tahun 70 an sampai sekarang masih punya citra rasa tersendiri, Jaman dulu cafe tidak bertebaran seperti sekarang, waktu itu cafe ini terkenal mahal jadi tidak setiap minggu bisa ke cafe ini. Mungkin sebulan sekali, sampai sekarang cafe ini tidak pernah ikut promosi discount discount seperti cafe lain. Sampai sekarang tetap langgeng dan tidak sepi pengunjung,. Lanjutan",positive
"Tizi's adalah salah satu tempat yang punya tempat khusus di hati saya. Masa kecil saya di kota Bandung dan dulu belum banyak Cafe yang menyediakan makanan western yang enak seperti sekarang, Tiszi's salah satu favorite keluarga. Selain Makanan berat di area Bakery ada beberapa snack seperti cheese stick yang enak, sayang sekali sekarang pilihannya tidak beragam seperti dulu. Banyak menu. Lanjutan",positive
"Buat yang bingungg mau dinner kemana, ane saranin ke tempat yang satu ini. lokasi jalan dago sebelah mcd maju dikit ada jalan kecil masuk aja gan disana ada plang tizi. menu fav kata gw sich tetep steak nya bro, emang harga lymn sich tapi untuk menyenangkan pasangan kali kali bolehh lah bro. haha.",positive
"Salah satu tempat terbaik di Bandung untuk makan steak yang sudah ada sejak lama (tahun 70an). Suasana yang romantis, strategis terletak di jalan dago yang terkenal. Sangat cocok untuk makan siang, malam atau acara khusus bersama keluarga atau perayaan tertentu. Secara umum soal rasa, varian menu, harga, pelayanan, kebersihan dll semuanya terbaik. Jadi bagi anda pendatangpun serasa belum ke Bandung. Lanjutan",positive
