content,polarity
"Siomay ini pasti bakalan saya coba kalau jalan-jalan di bandung, akan tetapi yang membuat tidak betah antriannya yang lama sekali dan pelayanannya yang lelet. Sebagai alternatif bisa dicoba batagor riasari yang ada di seberang dengan harga yg relatif sama namun antrian yang tidak mengular.",positive
"Saat dtg kesini sangat ramai dan antri panjang. Rasanya jg enak namun, agak mahal utk seukuran siomay yg cukup kecil, makan di tempat pun jg tersedia namun penuh sehingga kami hanya utk dibungkus dan dijadikan oleh - oleh. Tapi untuk rasa juaranya lah di Bandung.",positive
"Antrian panjang karena mungkin weekend, hampir 1/2 jam nunggu. Harga juga mahal hanya utk batagor yang rasanya biasa saja, rasa tepung tetap lebih dominan. Ga ngerti kenapa antrian panjang hanya utk batagor mahal yang rasanya biasa saja.",positive
"Kalo bli cuman buat oleh2 mending cari yg lain deh. Ini udah mahal, sebiji Rp 13500 kecil pula sesuapan jg kelar dah, hadeuhh mn kenyang, mending baso sekalian jelas. Pelayanannya jg lemot bgt. Cari parkir juga susah, mending naik motor kl kesini. Lebay aja org2 yg bela2in ribet2 buat beli kesini. Ga lg deh",negative
Kami kemari siang hari waktu makan siang di hari Minggu bersama dengan teman kelompok kecil ber-delapan orang . di Lantai atas kami harus menunggu kursi orang yang sedang makan karena semua kursi penuh . akhirnya kami dapet 1 Meja untuk ukuran 4 orang yang akhirnya di tempati ber-enam . saya berdua menunggu antrian lagi di Meja lain karena Meja tersebut. Lanjutan,negative
"Saya mencoba menu mie yamin di Batagor Kingsley, rasanya enak tetapi harganya relatif mahal untuk ukuran mie yamin. Sayapun membeli oleh-oleh Batagor Kingsley, harganya tergolong mahal, 1 porsi isi 3 buah = Rp 40.500,- dengan ukuran yang relatif kecil. Batagor di depan Kartika Sari Dago bisa dijadikan alternatif makan Batagor di Bandung :)",positive
"Saya pesan sekitar 50 pcs untuk acara keluarga saya, dan si pelayan sana bilang akan sampe di 30 menit sampai ke rumah saya, padahal rumah saya tidak jauh dari tempat batagor ini yakni di daerah Kosambi. saya menunggu hampir 1 jam setengah entah kenapa bisa lama batagor sampai k rumah saya dan ongkir saja dikenakan 50ribu? weleh weleh . mending. Lanjutan",positive
"Batagor Kingsley rasanya pas dan enak karena ikannya cukup terasa, sayang porsinya cukup kecil jadi kalau mau agak kenyang mungkin cocok pesan dua piring. Untuk harga cukup terjangkau, dan yang pasti Batagor ini bisa dibawa pulang untuk oleh-oleh.",positive
"Akhirnya, rasa penasaran untuk merasakan nikmatnya batagor yang terkenal ini tertebus. Rasanya memang enak. Saat saya tanya sama pelayannya, menu favorit batagor campur plus minumnya es cincau. Klop. Harganya lumayan sih, tapi sebanding kok dengan rasanya. Tersedia dua lantai untuk area makan. Oh, ya di sini juga dijual beraneka makanan untuk oleh-oleh.",positive
"Datanglah di pagi hari untuk menghindari antrian cukup panjang. Disediakan beberapa tempat duduk bagi yang memesan dibawa pulang. Harganya cukup mahal, tapi ukuran batagornya cukup besar dibanding batagor biasanya, dan rasanya enak dan renyah.",positive
"Batagor kingsley merupakan batagor paling enak yang pernah saya makan, batagor ini selalu ramai dipenuhi pengunjung, kalau berkunjung ke kota Bandung wajib mampir kuliner ke batagor kingsley",positive
"Saya bersama keluarga makan malam di tempat ini karena selain menu utama batagor terdapat menu lain. Saya hanya memesan 2 menu yang akhirnya datang setelah 45 menitan, itupun setelah beberapa kali saya tanyakan. Dari segi rasa beberapa menu yang sblmnya pernah saya coba lumayan enak. Saran sblm memesan lbh baik tanyakan berapa lama pembuatan menu yang dipesan",negative
Bandung memang sudah terkenal. Surga nya kuliner. Batagor batagor juara ada di bandung. Hampir semua batagor sangat lezat. Tapi entang mengapa. buat batagor kingsley. saya ga bisa kelain hati. Dari semasa kuliah di bandung. Dan sekarang di bogor. Kingsley selalu pilihan batagor saya. Walaupun agak mahal. tapi saya lebih baik makan batagor agak jaran. yang penting batagor kingsley. Apalagi sekarang. Lanjutan,positive
Batagor Kingsley sudah dikenal para pecinta kuliner. Batagor dan siomay nya lezat membuat ketagihan pecinta kuliner. Rasa batagor dan siomay tidak berubah sejak dulu tetap Lezat.,positive
"Datang ke tempat ini selalu penuh, batagornya recommended, hampir semua mobil plat B :p. but it's worth to wait.",positive
Kebetulan dekat tempat menginap di asia afrika. Jalan kaki hanya 500m. Teman titip beli buat oleh oleh. Rasa biasa saja. lumayan mahal.,positive
Tempatnya bersih parkiran luas dan sedia macam macam oleh oleh khas bandung . Bisa makan ditempat dan banyak cemilan pula disini .,positive
"Setelah pindah ke jalan besar, tempat makan batagor khas Bandung ini menjadi lebih nyaman. Masakannya pun lebih beragam. Namun tempat ini tetap mempertahankan kualitasnya. Namun pada weekend, cukup sulit untuk parkir di dekatnya.",positive
"Kalau ke Bandung pasti beli batagor disini. Karena waktu terbatas saya memilih untuk take away. Antrian tidak jelas, jadi siapa saja bisa menyalip antrian, terutama ibu-ibu. Untuk take away, ada isi 6 pieces / box dan isi 10 pieces / box. 1 batagor seharga Rp 13,500. Butuh waktu 30-45 menit sampai pesanan kita jadi, tapi overall worth it.",positive
"Setiap ke Bandung, salah satu yang dicari adalah batagor. Lokasi strategis, kalau rasa ya jangan ditanya, enak deh. bisa dimakan di tempat maupun take away.",positive
Cocok untuk anda yang gemar kuliner. Batagornya enak dan besar. Saran saya coba untuk share makanan dengan partner liburan anda agar dapat mencicipi banyak jenis makanan yang tersedia disini.,positive
"Batagornya enak, mi yaminnya enak. Ada aneka makanan yang bisa dicicip di satu tempat, apalagi sekarang tokonya sudah direnovasi jadi bagus. Ada mushola. Area oleh-oleh khas bandungnya banyak pilihan. Sayang tidak ada area parkir jadi parkir memanjang di jalan, Agak merepotkan bila hujan.",positive
"Batagor kingsley ini enakkkkkssss!! Ga banyak tepung , daging semuaaa , udah gituuu ukuran batagor ny juga lumayan gedeee . Yaa tpi kalo makanan enak maa meskipun ukuran batagor ny gede tetep rasa ny pengen lagi lagi dan lagi yaks",positive
Kelezatan batagor dan siomay kingsley terletak pada kandungan ikan tenggiri sebagai bahan baku dan berpadu dengan bumbu serta rempah pilihan. Kedai kecil ini selalu padat pengunjung dan tersedia pula pilihan makanan lain seperti mi ayam dan es campur. Baru-baru ini kedai direnovasi cukup besar untuk menambah daya tampung dan kenyamanan.,positive
"Kalau ke bandung coba macem2 batagor hasil rekomendasi sodara,temen sampai trip advisor. hmmm masih ga ada yg ngalahin kingsley masih tetep paling enak,tapi juga mahal hehehee.",positive
"Tahu nya enak, cuma adonannya agak alot menurut saya pribadi. Agak mahal, 1 potongnya 12ribu. Cukup besar sih. Okelah untuk icip aja.",positive
"Batagornya sangat gurih dan tempat yang sangat bersih, harga relatif terjangkau. Disarankan untuk berkunjung tidak terlalu malam karena cepat habis",positive
"Batagor Kingsley ukurannya lumayan gede, dan rasanya memang edun . saya sendiri sampai bawa buat oleh-oleh buat makan di rumah sama keluarga dan keluarga saya juga suka banget makan batagor yang edun ini . dan makan dua buah udah cukup mengenyangkan karena ukurannya itu. Tapi kalau beli sering-sering sih agak lumayan mikir juga karena harga satuannya Rp 12.000,-, cuma worth. Lanjutan",positive
"Nostalgia batagor bandung asli, paduan olahan batagor nya pas + saos kacang bikin nagih terus, 1 porsi sekitar 20rban, lumayan lah cocok dengan rasany",positive
"Saat hari libur, harus sabar antri karena pengunjugnnya banyak. Batagornya enak degan bumbu kacang yang pas. namun harganya relatif lebih mahal dibanding batagor lainnya. Parkirnya agak susah karena berada dipinggir jalan dan tidak punya lahan parkir sendiri",positive
"satu porsi isi 3 batagor. Kalo rasa memang selera tp menurut saya rasa batagornya so so (bahasa alay biasa2 ), trus kami juga coba tahu yg diolesin aci digoreng biasa juga. Es cendolnya no special. Maaf ya rasa kurang Oke apalagi kalo suruh bayar sendiri hahaha",positive
"Tempatnya bersih, nyaman dan bisa merokok meskipun parkir mobil agak susah karena menggunakan badan jalan. Batagor kuahnya enak dan cendol Elizabeth nya maknyus. Tapi tetap harus bersabar karena selalu rame dan butuh waktu sekitar 15 menit sampai pesenan datang.",positive
Setiap kali ke Bandung selalu setia mampir kesini. Selain Batagor ada mi dan juga di depan nya ada buah es dll. Juga selalu beli untuk dibawa ke pulang,positive
"Batagor dan siomay nya dari ikan dengan ukuran yang pas, mantans untuk disantap ditempat.dengan bumbu kacang nya yang khas, membuat kudapan yang joooooss.Sering saya bungkus untuk oleh2",positive
"Kalau anda pergi ke Bandung, jangan lupa makan batagor kingsley yang ada di jl. veteran. batagornya enak, bumbunya pas. cuma memang untuk cemilan, harganya terbilang lumayan mahal. tapi kebayar kok sama rasanya.",positive
"selain batagor, banyak penjual kuliner lainnya sehingga tidak perlu menghabiskan waktu untuk mencari di tempat lain.namun untuk rasa idolanya masih batagor dan somay Kingsley, kuliner lainnya rasanya standart",positive
"pada waktu kami ke bandung kmi mampir membelikan oleh2 untuk keluarga didepok,dan kami mampir kesini dengan harga yg lumayan mahal tetapi enak sih.",positive
"Lokasinya tidak jauh dari BIP jadi pasti selalu ramai oleh pengunjung. Waktu masuk kita langsung disambut pelayannya yang bertanya apakah untuk dibungkus atau makan di tempat. Kebetulan kita mau makan di tempat dan diarahkan ke lantai 2. Tempat makan sebenarnya cukup lias tapi karena banyak pengunjung hawanya terasa panas. Kita pesan batagor goreng, batagor kuah dan siomay goreng dan tak. Lanjutan",positive
