content,polarity
"Selagi di bandung cobalah kuliner di Bakmoy Mahmud, mereka memiliki menu makanan lain yang tidak kalah enak juga, seperti nasi lengko, kangkung petis dan rujak yang ehmmm enakkk.",positive
"Liburan ke Bandung pastinya mencari kulinernya donk. nah jangan sampai kelewat nih ""Bakmoy Mahmud"" , lokasi nya ada di jalan mahmud pastinya. letaknya ada di gang kecil. Setiap kali ke Bakmoy Mahmud pasti ramai sekali, ya karena rasanya tidak bohong, uenakkk. *haha Selain Bakmoy ada kok menu lainnya, seperti bakut(non halal), petis kangkung, nasi lengko, dll.",positive
Bakmoy favorit kami sekeluarga. Rasanya gurih dan super enak. Ditemani dengan es jeruk dan kerupuk putih. Super yummy deh. Harga sangat terjangkau. Lokasi masuk gang kecil tapi mudah ditemukan karena banyak orang yang tahu dimana lokasinya. Recommended place.,positive
Bakmoynya cukup beda dengan bakmoy yng ada di jawa tengah. kalo di bandung ini bening. rasanya nyooss enak banget di lidah. tempatnya cukup tersembunyi. parkirannya juga cukup susah. karena jalannya kecil. terus masuk ke jalan mahmudnya juga mobil gak boleh masuk karena cuma muat satu mobil. kalo motor bisa. tapi ini juara banget bakmoynya. loteknya juga enak. eh nama nya. Lanjutan,positive
"Menunya ada banyak dari lotek,bakmoy,rujak surabaya,lengko,dll. Buat saya cuma suka rujak petis surabaya. Apalagi di bandung susah mencari rujak jawa timuran. Isi rujaknya cukup komplit,yang kurang hanya cingurnya saja. Hinsari pas makan siang,pengunjungnya padat. Parkirnya juga agak susah karena lokasinya di jalan kecil",positive
"Mau review ini bingung dahhh. Semua makanan yg di jual ny enakk semuaaa dari nasi bakut mantab , nasi bakmoy mantab , lotek juga mantabb. Dan ini beneran ga boong itu semua enakkk cobain dan buktikan sendiri dee hahahah",positive
"Tersedia berbagai masakan enak di ""Bakmoy Mahmud"" (bukan hanya bakmoy) dengan harga relatif terjangkau. Enak dan terjangkau. Nama besar ""Mahmud"" sudah tersebar bukan saja di Bandung, tetapi hingga kota-kota besar lain di Pulau Jawa bahkan Sumatera (bagian Selatan). Memarkir kendaraan, terutama roda empat, sering kali agak sulit khususnya di hari libur karena memang letak rumah makan ini di dalam gang. Lanjutan",positive
"Penasaran sekali melihat ramai sekali pengunjungnya, kita mampir. dan saya mencoba nasi bakmoynya dan yang lainnya memesan sendiri-sendiri. bakmoy nya enak, kayaknya lain deh dengan yang ada di surabaya. tapi lama banget nunggunya. karena ramai. menu rujak loteknya juga enak.",positive
"Bakmoy, makanan nasi + campus kuah+daging+tahu semur+ kerupuk rengginang = dahsyat hahaha nikmati bgt makanan satu ini, buka jam 11am-4pm, 18rb saja untuk 1 porsi bakmoy",positive
"Favorit saya di sini adalah lotek, nasi lengko, sama rujak Tapi bukan berarti makanan lain ga enak, hampir semua menunya enak Cuma sayang rasa enaknya berkuraaaaaaaang banget karena owner dan pegawainya judes amit2. jadi kalau mau makanan enak, datang ke sana, pesan, jangan pakai banyak tanya atau request, terima makanan anda apa adanya saja Oh ya 1 lahi minusnya, parkirnya. Lanjutan",positive
