content,polarity
Tempatnya nyaman bersih juga makan juga enak pelayanpun sigap ketika kita meminta bantuan kebanyakan makanan yang d tawarkan western dan tidak akan salah ketika anda mencoba letak di daerah jalan cemara belakang cipaganti daerah setelah Bank Mandiri . Parkir kurang luas saja.,positive
"Resto ini mempunyai indoor dan garden dengan orn men rotan yang dominan dipakai sebagai penghias lampu dan kayu untuk meja kursi. Bagian belakang bernuansa kebun yang teduh. Penataannya cukup baik dan serasi. Layanannya baik dan ramah. Menu cukup beragam seperti Gurame kremes ebi, Tahu telor, Kerapu saus nyonya, Dendeng dua rasa dan masih banyak lagi. Gurame kremes ebi merupakan Gurame goreng. Lanjutan",positive
"Tempat nya nyaman, service memuaskan, makananya bikin ketagihan, tempat terbaik untuk dikunjungi bersama keluarga atau pasangan",positive
"Kami pesan kepiting soka, capcai, tahu telur dan ayam.rasanya pas, terutama kepiting Nya.harganya juga tidak terlalu mahal.cuma penyajiannya agak lama dan makanannya keluar satu Persati dengan selisih waktu relatif lama.",positive
"Ini kedua kali saya ke sini untuk makan malam. Di kali pertama, tempat ini terasa sangat menyenangkan dan eksklusif. Dengan makanan yang lezat, atmosfir yang kalem, cocok sekali makan malam dengan keluarga di tempat ini. Tetapi terakhir kali ke sini, sudah ada tambahan outlet jajanan yang membuat suasana jadi tidak semewah dulu. Makanan tetap enak, tetapi pengalaman makan di sini. Lanjutan",positive
"tjendana bistro tempat makan yang terkenal.pilihan menu makanan banyak,portion makanannya besar,saya yang sukanya sotong jumbo.enak banget.nasi goreng kambing.harganya kelas menengah",positive
"Pas masuk suka banget sama suasana restoran ini, Tempatnya cukup luas dan jarak antara meja yang satu dan yang lain ga terlalu dekat. Cocok buat pergi bareng keluarga. Recommended Mango Chicken dan Es Cendol Green Tea!",positive
"Cendana bistro, cafe yang berada di jalan sukajadi ini masih satu management dengan Zen Reflexiology. akan tercium wangi yang sama dengan aromateraphy yang ada di zen reflexiology. cafe nya sangat modern dan homey. ada mini garden di cafe ini. Makanannya pun cukup enak dan harganya terjangkau.",positive
"kudu cobain yang namanya Rujak Serut Pindang !! asem mangga muda, asin, pedes dan BALACAN alias terasinya nendangg pollll di mulut gaesss.\ biar balance cobain juga terong abon sama dessertnya cendol greentea. harga aman dikantong lohh.",positive
"Sejak buka cendana bistro saya sudah coba makanan, untuk saya kurang cocok , makanan nya biasa-biasa tidak ada yang sepecial .",positive
"Jika anda ke bandung, ciba dan mampir di Tjendana bustro dan cafe. Tempat dan suasanya enak . Bisa makan di samping Taman ,",positive
"Rencana makan rame2 sekantoran, udah di planning dari 2hr sebelumnya, pesen VIP room utk keleluasaan & suasana yg nyaman. Kenyataan nya pas nyampe sana musiknya berisik banget sampe bikin sakit kuping. Wkt itu ternyata disebabkan karena ada acara ulang tahun. Tapi seharusnya kalaupun ada acara atau event, audio tidak seharusnya sampai mengganggu ruangan VIP, karena dimana2 ruangan VIP itu harus. Lanjutan",negative
Restoran cukup baru di bandung. Tempatnya bagus cuma kalo sedang ramai tempat parkir terbatas. Makanan enak cuma porsi kecil dan harga mahal.,positive
"nice place, nice price, nice taste. ditambah live music jadi pengen bawa doi kesini, sayang waktu itu ngumpulnya sama temen2 kantor, semoga lain waktu bisa datang lagi ke tjendana bistro.",positive
"Resto indonesian food di Bandung yg 1 ini bener2 bikin nagih. Makannya enak banget. Favorit gw yaitu mango chicken, kepiting soka gandum, tamarind soup fish, ikan saus nyonya tjendana, and roti cannai (both roti canai tissue and roti canai chicken curry.) Bumbu mango chicken nya enak. Asem2 seger gimana gitu. Kepiting soka gandumnya jg enak bgt. Ada kremes2nya (anak kecil. Lanjutan",positive
"Bulan januari lalu dateng bersama rombongan dari jakarta, awalnya mau makan daerah lembang, tp karena jalanan macet kt decide coba tjendana bistro yg kelihatan baru buka,suasananya bagus sekali, interiornya saya suka ditambah ada garden dan kolam dibelakang, karena rombongan besar kita di kasih private room dekat garden, serasa dilembang, beruntung sekali kita dapet tempat. Menunya sangat menarik, masing2 dari kita. Lanjutan",positive
"Interiornya menarik, di bagian dalam terdapat kaca besar dimana kita bisa melihat langsung ke taman. Makanannya biasa, servicenya lama dan parkirnya susah.",positive
