content,polarity
Cabe Rawit Resto termasuk pemain lama yg masih bertahan sampai sekarang. Since 2002.(kebayangkan banyak pelangganya) Overall menunya komplit : - indonesian - chinese food -sea food -europe - bandung snack Overall tastenya oke.harga lumayan tinggi dibanding lainya Tempat : interior sederhana tanpa ac tapi ngga panas hawanya .(dibawah pohon rindang) Smooking n no smooking area dipisahkan Mushola tersedia. Untuk pecinta. Lanjutan,positive
Iga Bakarnya walau dibilang level 5 tidak terlalu pedas. Makan enak hanya nasi nya agak terlalu keras. Tetap maju dan improvement terus ya,positive
"Setiap kali saya ke Bandung, saya selalu menyempatkan diri untuk mampir ketempat ini. Menu favourite saya adalah ca kangkung daging hotplate, sup iga, dan kungpaw chicken nya.rasanya istimewaaa. Untuk minumannnya, juice adalah pilihan yang gk pernah salah. Dan bigberry strawberry nya seger banget.dan porsinya besarrrr. Hebatnya adalah tempat ini memiliki taste yang tidak berubah dari saya mengenalnya sejak beberapa tahun. Lanjutan",positive
"Makanannya enak, suasananya juga lumayan, kebersihan oke, porsinya banyak harganya agak tinggi untuk mahasiswa.",positive
"Lokasi strategis, nyaman, cocok untuk acara individu, berdua, berbanyak, pelayan ramah dan rapi. Menunya lengkap dari yang berat sampai ringan, sayangnya tidak diperkenankan mengambil foto menu. Harga agak mahal. Karena sudah makan siang di tempat lain sebelumnya, saya hanya memesan Siomay kuah. 2 Jempol, enak banget. kuahnya gurih, siomaynya berasa banget.",positive
"Resto mempunyai tempat yang luas ada bagian indoor dan outdoor. Interiornya minimalis dan mengesankan. Layanannya cukup baik. Tersedia beragam menu masakan Nusantara. Menu andalan Sapi lada hitam dan Udang goreng telur asin. Selain itu ada Sapo seafood, Tahu king, Sop iga, Nasi timbel dan lainnya. Sop iganya sangat lezat dan segar. Sapi lada hitam rasanya enak dan mantap. Rata-rata masakannya. Lanjutan",positive
"Pilihan makan dan minuman banyak untuk dipilih. Dan tempatnya besar, dibagi menjadi beberapa bagian dan konsep. Untuk harga cukup pas buat dikantong.",positive
"Tempat nya enak,pelayanannya lumayan bagus. tapi saat pemesanan makanan sangat lama,alangkah baiknya dikasih minum dulu kalo makanannya lama. kebersihan makanan juga perlu ditingkatkan. makanannya enak,harganya juga pas untuk mahasiswa,",positive
"pagi pagi sarapan dsini lama banget makanananya jadi,harga 30-100 permakananya,makanan lumayan tapinya enak",positive
"Lokasi resto di dekat Dago dan suasana nya lumayan . Menunya komplet makanan Indonesia sea food dll. Pelayanan OK,harga juga bersaing . Salah satu pilihan untuk makan di bandung",positive
"Tempat makan yang menyajikan sop iga dan buntut spesial cabe rawit yang memiliki citarasa pedas yang medium, dan juga banyak variasi makanan lain ala barat dan indonesia dan beragam minuman unik segar dan beragam pilihan, akan tetapi untuk harga untuk kelas menengah ke atas, dan suasana tempatnya kurang nyaman.",positive
"Ini salah satu restoran favorit saya jika berkunjung ke Bandung . Lokasinya strategis , makanannya lengkap dan bervariasi. Layanan tamah dan harga lumayan bersaing . Tetapi yang paling OK adalah suasananya .",positive
Jarang banget ada tempat kaya gini. Buka dari pagi loh jadi bisa nongkrong dari pagi. Tempatnya bikin betah lama-lama di sini. Menu makanannya juga banyak dan komplit. Ada paket sarapan dan makan berat.,positive
"Dari segi makanan ok banget, tp dari segi kecepatan pelayanan perlu ditingkatkan lg, minuman datangnya terlambat untuk 2 jus alpokat menunggu 20 menit. Overall OK lah",positive
"terletak disekitar kawasan kampus unpar, caf ini banyak di manfaatkan oleh mahasiswa dan mahasiswi untuk mengerjakan tugas sambal wifi gratisan",positive
"Enak tempat, suasana dan makanan minumannya. Banyak mahasiswa ITB, Unpad yg jadikan tempat ini u belajar. Harga bersaing dengan fast food. Layak untuk bawa tamu, karena desain dan suasananya yang nyaman. Parkir juga cukup. Ada WIFI meski kadang gangguan. Overall memuaskan",positive
"Pertama kalinya mencoba makan di Cabe Rawit. Lokasi cukup strategis, berada persis besebelahan dgn cafe Ngopi Dulu. Suasananya resto nyaman, tempat makan bersih & toiletnya terjaga, harganya msh cukup reasonable. Sesuai rekomendasi, saya pesan sop buntut, menurut saya rasanya enak, dagingnya empuk, ga pakai susah misahin antara tulang & dagingnya. Anak saya yg berumur 3thn juga lahap Sebenarnya masih banyak. Lanjutan",positive
"Tempat yang nyaman untuk hang-out atau sambil kerjain tugas. Makanan berat dan ringan, semua tersedia. Rawonnya selalu keasinan.",positive
"Baru kali ini ketemu rumah makan di Bandung yg semuamuanya enak. Biasanya cuman 1-2 menu doang yg enak, kali ini nemu deh yg ampir semua menunya cocok di lidah dan kantong. Kata si waiter : sop buntutnya top & guramenya juara. Pas dicobain bener loh.enak semuanya. Kuah sop buntutnya gak eneg & enak. Gurame pesmolnya jg enak banget. Kata nyokap. Lanjutan",positive
"saya diajak kesini oleh teman saya yang sedang kuliah di bandung, pertama diajak saya kira seperti Cabe Rawit yang ada di dekat UNPAR, ternyata jauh berbeda,,tempat ini letaknya sangat strategis dekat dengan jl.dago dan memiliki pilihan menu yang cukup banyak.suasananya sendiri sangat cozy, mendukung untuk duduk lama untuk ngobrol sambil makan dan minum. Kualitas makanan dan minumannya pun rasanya enak. Lanjutan",positive
"Kalau mau cari tempat makan malam yg lengkap menunya, murah, tempatnya nyaman buat nongkrong. disinilah tempat nya :) Tapi kalau soal rasa ya cukupan lah. Banyakan yg makan disini anak muda.",positive
"Lokasi masih sekitar Dago Bandung,, di lokasi yg teduh tempat ini termasuk salah satu cafe yg selalu penuh, tetutama anak anak kuliah krn lokasi jg dekat dengan kampus Unpad dll.WIFI gratis dan lumayan kenceng bisa bikin betah nongkrong atau sekedar ngobrol bersama teman.Menu nya lumayan banyak pilihan dari nasi goreng, sop buntut , roti bakar dll dengan harga murah sampai. Lanjutan",positive
"Di sini itu kita bisa makan,nongkrong dan sekaligus ngerjain tugas kuliah karna ada wi-fi gratis lumayan buat ngerjain tugas yg banyak dari dosen selain itu tempatnya keren buat photo ma temen temen . Konsepnya bagus studio dan cafe dibikin jadi satu. Cobaan deh k sini di jamin ketagihan. :)",positive
Saya direkomendasikan untuk makan disini lalu saya memesan sop buntut. Di setiap meja disediakan sambel khas cabe rawit yang menggunakan bahan alami gula merah dan rawit. Sop buntutnya empuk dan sambelnya enak namun rawonnya terlalu manis sama sayang ketika saya mau order cireng banjur tidak bisa dipesan di jam makan siang.,positive
"Restaurant dengan menu nasi tempong pertama di Bandung, perpaduan ikan asin dan sambel yang sempurna. Setiap ke Bandung tidak pernah absen kesini.",positive
Wajiblah kesini lagi klo ke bandung lg.begah banget enak banyak.ga rugi bayar 1 juta. tempatnya cozy banget parkirnya gampang tempatnya enak banget deket dari dago.jarang nih ke bandung dapet tempat makan kaya gini,positive
Ada banyak promo disc dadakannya. Kalau mau ke bandung wajib harus nyobain cabe rawit. rame pula disini tempatnya. sop iga nya wajib di cobain,positive
"Ini enak, itu enak, yg ono mantap, yg situ wenak, apalagi? Ya balik balik lagi nyobain ini itu, rekomended lah. Mau apa aja ada, tradisional, asian, western, macam dari cendol sampe iga bakar dan sop buntuts",positive
Tampilan Cabe Rawit yg baru sangat menyegarkan. Menunya beragam. Menu kepiting-nya ok dan roti gempolnya juga.,positive
Sayang sekali proses pemenuhan order makanan lama sekali. Lebih mengecewakan lagi sudah 1 jam lebih tiba tiba datang di sampaikan oleh waitress tidak ada (tenderloin dan sirloin). Harusnya kalau tidak ada sejak awal sudah di sampaikan supaya bisa ganti dgn yg lain. Sungguh mengecewakan.,negative
"Suka sama desain interiornya. Makanan juga enak dan variatif. Ada menu untuk sendiri juga menu untuk keluarga. Ohya, sesuai namanya. Sambel cabe rawitnya maknyos banget!",positive
"Tempatnya cozy. Banyak mahasiswa yang nongkrong sambil belajar dan makan tentunya di cafe ini. Emang nyaman banget buat diskusi atau ngerjain tugas bahkan untuk sekadar baca novel. Menu favoritku di cabe rawit ini udang kremes. Aku suka banget. Udangnya yang masih segar dilumuri kremes telur tooop banget. Apalagi dimakannya dengan sambel lencon khas cafe ini, wuiiih sedaaaap. :)",positive
"Terletak di belakang RS. Boromeus, daerah Dago, sangat gampang dicari. Kalau dari arah jalan layang masuk Jalan Dago, belok kanan pas sebelum RS Boromeus kira2 400 meter kiri jalan. Lumayan rame, tapi pelayanannya cukup cepat. Kami pesan 2 roti bakar dan 2 kopi yang nikmat. Porsi yang cukup besar buat kami, tapi buat beberapa teman akan kurang. HArga juga gak. Lanjutan",positive
"Kemarin 10-3-15, sy diajak anak sy mkn siang disini. Sy pesan Udang Kremes dan sayur asam. betul2 enak. Dan yg spesial disini adalah Sambal Lencong nya. Yg pedes tapi tetap mau nambah. Juga Juice Blackberry nya . Enak.",positive
"Termasuk salah satu restoran lengkap yang ada di Bandung. Ada seafood, ada Indonesian. Minumannya banyak yang menggunakan gelas besar",positive
"Saya memesan nasi uduk dan juice strawberry super gede kemarin. Untuk rasa, memang sangat enak dan juice nya sangat segar dan menguntungkan krn emang sgt gede porsinya! Terdapat byk variasi makanan juga di sini, suasana cafe juga cukup tenang, bersih, dan terdapat area outdoor yg sgt luas.",positive
"Terletak diseputaran Dago yang terkenal. Tempatnya luas dan bisa untuk makan beramai-ramai. Tersedia juga menu porsi besar. Makanannya enak dan sangat bervariasi. Ada sea food dan indonesian food : ikan, sayuran, ayam sapi dan tersedia juga menu sarapan. Minumannya juga bervariasi.Harga terjangkau. Karyawannya ramah dan memberikan informasi mengenai menu.",positive
