content,polarity
"Bagi yang suka mie daging babi di Bandung, di sinilah tempatnya. Rasa mie dan kekenyalannya pas, ditambah dengan harumnya daging babi.",positive
"Untuk penggemar pedas, mie ini mungkin layak dicoba. Saya pesan mie rica dengan bakso udang, menurut saya rasanya biasa saja. Tipe mie-nya besar dan gemuk, bukan yang tipis jadi bumbunya tidak terlalu menyerap ke dalam mie-nya. Hanya terasa di permukaan. Bakso udangnya juga tidak istimewa. Untuk yang tidak suka pedas, bisa pesan mie yang tidak pedas karena lumayan berasa bumbu. Lanjutan",positive
"mie rica nya sangat pedas, siapkan perut anda. porsinya cukup untuk 1 orang, jadi tidak terbuang. ada juga menu yg tidak pedas. di luar restoran biasanya ada tukang es krim durian yang enak.",positive
"enak banget mie yang satu ini , mie rica nya bisa pilih level an nya pedes banget atau enga, menurut saya sih yang ga terlalu doyan pedes, yang ga pedes pun pedes banget hahhaaa, tapi buat yang doyan pedes ya biasa saja kali ya mie ini non halal ya, tempatnya kecil jadi sabar antri saja apalagi kalau weekend",positive
"Gw tuu penggemar makanan yg keriting2 , baso , dan pedes. Dan kalau makan di siniii , terpuaskan siudah semua nyaaa!! Dari makanan yg keriting2 ny mie enakk!! Basoo enakkk!! Pedes ny juga manteb bngett!!",positive
"Mie ricanya uenak, apalagi pakai babi, jarang2. Bakso udang gorengnya jg enak. Buka tiap hari, tapi awas ada jam istirahat tutupnya dari jam setengah 3 sampai setengah 5 kalo g salah. Pokoknya Top dah.",positive
"Setiap wisatawan yang datang ke Bandung, wajib hukumnya untuk mampir ke Mie Rica ini. Di Mie Rica ini tidak seluruh makanan halal (ada yang haram juga, tapi cuma beberapa menu saja). Menu andalan saya adalah Mie Rica Pangsit, Mie Yamien asin Pangsit, Baso Udang Goreng, es lidah buaya. Baso udang goreng adalah menu wajib yang harus dibeli dan harus dicoba. Lanjutan",positive
"Tempatnya orisinil. agak panas. ruangan terbatas. sehingga pd saat long weekend siap2 antri tempat.tapi terobati oleh rasa mie dan bihunnya. dgn pilihan rasa pedas, manis maupun asin. lokasi dekat sekali dgn jl braga. cukup berjalan kaki. tempat parkir kurang memadai. tp bisa parkir sepanjang jl Braga yg legendaris.",positive
"mie rica ini adalah pelopor mie rica di bandung. di cabang jl kejaksaan, tersedia mie rica menggunakan daging babi cincang yg diaduk dengan saos rica. pangsit gorengnya juga enak",positive
"Langsung 3.8 / 5 Pedasnya pas, kalo mau lebih mild bisa dicelup ke kuah. Sy gak makan babi nya tp mienya sendiri pake rica udah lumayan enak. Aroma rica dan minyaknya kayak nempel ke mie. Buat yg gak tahan pedes kayak saya, disarankan: 1. Pesen yg Asin 2. Celup ke kuah 3. Minum Alpukat Agar bisa menikmati mie nya dengan. Lanjutan",positive
Mie rica babinya terkenal enaknya. Dan jangan lupa pesan pangsit serta udang gorengnya juga. Satu kekurangan dari restarant ini ada di kuahnya. Kuahnya serasa hambar alias tasteless.,positive
saya pelanggan setia Mie ini.terutama di cabang-nya yang di Paskal Hypersquare.mie-nya memang sangat enak.makanan andalan saya selain Mie adalah pangsit goreng.,positive
"Positif: Harga murah, rasa lumayan, pelayanan ramah, Mienya bagus teksturnya. Negatif: Banyak lalat, kedainya panas, susah parkir.",positive
"Mie ayamnya enak, dan yang paling di rekomendasikan mencoba pangsit goreng/bakso goreng. Mie sangat cocok dengan es jeruk manis",positive
"setiap ke bandung ga pernah miss makan ini, ini mie enak banget, apalagi bagi yg penggila masakan PEDAS, dan aneka BAKMIE, ini wajib coba!",positive
"Akhirnya nyoba Mie Rica yang terletak di Jl. Kejaksaan. Disini mesti datang sblm jam 2pm, karena mereka akan break dan buka lg sekitar jam 4.30pm. Selain mir, mereka sajikan bihun juga. Buat yang ga suka pedas, jangan khawatir. disini bisa asin atau manis. Mie Pedas Casau enakkkk! Baso Udang Gorengnya pun layak diorder juga. Ohya pangsit gorengnya enak, perpaduan udang. Lanjutan",positive
"Pangsit goreng yang kering ditambah saus yang enak menjadi pasangan serasi mie rica baso ikan, tempat terbatas jangan lupa datang lebih awal",positive
"Salah satu depot mie favorit saya ketika sedang berkunjung ke Bandung. Sesuai dengan namanya, depot ini terkenal denganmie rica nya yang menggoyang lidah. Bagi anda penggemar pedas wajib mencoba mie ini. Bagi yang tidak terlalu suka pedas jangan kuatir, di depot ini anda juga bisa memesan mie manis yang tak kalah sedapnya.",positive
"Masakan yang lezat dan bernuansa khas. Menu favorit adalah Mie Rica Pangsit Kuah, Mie Casio, serta Bakso Udang Goreng. Harga kisaran Rp 29.000 - 45.000 per porsi. Lokasinya dekat dengan Jalan Asia-Afrika dan Jalan Braga. Recommended di Kota Bandung!!",positive
Enak. Setiap ke Bandung menu wajib buat saya sekeluarga. Pedasnya mengigit. Hanya sayangnya tempatnya kurang luas dan parkir tidak ada.,positive
"Mi rica ini udah terkenal dari dulu, kalau kesini yang harus dibeli ya mi rica nya. Mi nya sih biasa saja, tapi ayam rica nya itu mantap banget, pedesnya luar biasa. Kalau yang ga biasa makan pedes sih saran saya beli menu yang lain, karena saya aja suka pedes, tapi kalau makan mi rica suka ga kuat sama pedes nya.",positive
"Mie Rica yang terletak tak jauh dari jalan Braga ini masih saja diminati hingga sekarang. Walaupun tempatnya kecil dan lokasinya tersembunyi tapi selalu dipenuhi orang (terutama jam-jam makan). Mie nya enak dan lembut, dengan pilihan toping yang mantap. Walaupun ramai tapi pelayanan disini cenderung cepat (tak sampai menunggu lama). Harga juga masih masuk akal dengan porsi yang disajikan sesuai.",positive
"lokasi masuk dari jalan di samping bebek garang ,sekitar 50 meter disebelah kiri. mienya enak dan beda dari mie lainnya.",positive
Tidak sengaja dpt makanan rumah makan otentik di daerah Braga yg lebih didominasi bar & cafe. Puas sekali rasanya bisa makan makanan seperti ini saat liburan di Bandung. Note : mengandung babi,positive
"Saya hampir setiap bulan mengunjungi kedai mie ini. Kedai mie ini menyediakan mie super pedas demgan topping daging babi chasio. Tidak banyak gerai di Bandung yang menyajikan mie babi dengan rasa yang sangat lezat. Oleh karena itu, gerai mie ini merupakan salah satu yang paling dikenal di Bandung.",positive
Visit pertama kali disini 26 des 14.kami pesan 2 mie rica. Kesan pertama porsinya lumayan banyak dan mienya tidak keriting cenderung lurus dan agak tebal. Dagingnya lumayan banyak dan menurut saya terlalu pedas sehingga kurang bisa menikmatinya. Hanya sanggup 5 suapan setelah itu i give up.saya passed it on to husband yang lumayan bisa menahan pedasnya. Untuk yang suka pedas. Lanjutan,positive
"Setiap kali saya ke Bandung PASTI makan di depot ini dan mie favorit saya adalah mie rica (asin). Untuk travelers muslim, daging yang digunakan adalah babi.",positive
