content,polarity
"Tiap kali ke bandung, saya selalu makan cuanki disini. Rasanya endess dan porsinya mantab! Ga ada duanya deh. Selain kenyang, enak dan harganya sangat cocok di kantong. Walaupun kalo kesini harus rela antri.",positive
"Baso nya lumayan enak untuk harga Rp. 15.000 Batagor nya biasa saja. Tempatnya sangat ramai, sampai antri untuk masuk makan disana",positive
Saat berkunjung sudah ramai hingga susah cari tempat dan banyak juga yg antri tuk take away.alhasil Enak bgt dan lumayan murah.kurangnya kurang klo pesan satu porsi haha.,positive
"Cuanki terkenal di bandung, ada cabang di deket suis Butcher tapi harganya lebih mahal sedikit. Cocok untuk makan sore2. Selalu penuh, harus buru2 cari tempat duduk. Batagornya juga enak. Bisa pesan 1/2 porsi",positive
"Tempat favorit saya kalo ke bandung, ga pernah kelewat kalo singgah ke bandung. Sebagai pecinta baso mantaplah.",positive
"Tempatnya kecil tapi teduh. Selalu ramai dan untuk cari parkir aja susah, meski tukang parkirnya banyak banget. Pas kesana, kondisi sedang penuh dan harus menunggu 15 menitan untuk dapat meja. Satu porsi terdiri atas bakso, tahu goreng, tahu bakso dan cuankie. Bisa request juga jika hanya ingin menu tertentu. Pesan di depan dan mangkok di bawa sendiri ke meja. Rasanya. Lanjutan",positive
cuanki ini berbeda dengan cuanki yang biasa dijajakan pedagang keliling. Tempat makan ada yang di dalam atau di luar.,positive
Entah kenapa cuanki ini juara bangetttttttt.baru disini doang ngalamin mau makan cuanki sampe antre.kalau menurut saya sih lebih direkomendasikan buat take away karena disana tempat duduk nya terbatas.tapi ini cuanki paling mantappppp di bandung.,positive
"Paling susah cari parkir mobilnya, soalnya penuh. Tempat makannya juga sesak dan panas. Tapi cuankienya enak, nggak susah ngunyahnya. Kaldunya juara. Harganya terbilang murah rp15000 se porsi. Udah bolak balik ke sini nggak pernah kapok.",positive
"batagor atau kepanjangannya baso tahu goreng serta cuankie yaitu baso dengan ditambahkan siomay dan tahu dengan kuah panas serat bumbu penyedap yang khas membuat kedua makanan ini paling dicari jika anda berkunjung ke indonesia tentunya, banyak sekali pedagang kaki lima bahkan restoran mewah pun mampu menyajikan makanan ini dengan rasa yang lezat dan enak.",positive
"Dari segi tempat mungkin sangat sederhana, tapi rasa tidak perlu diragukan lagi. Harganyapun cukup terjangkau. Kekurangannya harus sabar antri dan panas-panasan menunggu giliran.",positive
"Baso malangnya dan kuah yang enak. Ada batagor nya. Sangat terkenal karena rasanya. Tempatnya kecil, sempit dan agak pengap (bagian dalam). Kurang enak untuk berlama lama dan bersantai. Lagipula bau dari batagor dan basonya akan menempel di baju kita apabila berlama lama disana.",positive
"Kalau ke bandung cobalah untuk menikmati cuanki serayu ini. Baik baso cuanki atau batagornya sangatlah enak. Saya lebih suka memesan semangkuk cuanki dan dicampur batagor, anda tak akan puas hanya datang sekali",positive
"Harus sering bertanya untuk menemukan tempat terkenal ini karena letaknya di dalam suatu gang. Memang gangnya tidak kecil, hanya saja tidak familiar dengan jalanan di Bandung. Antrian untuk pesan baksonya cukup panjang. Porsi baksonya mengenyangkan. Rasanya enak sekali. Saya sarankan untuk makan baksonya dengan kuah original dahulu lalu campurkan kecap atau saus setelah menikmati versi originalnya. Harganya tergolong murah untuk. Lanjutan",positive
Rasa baso cuanki dan batagor cukup. Selalu ramai pengunjung. Buka sekitar jam 10 pagi. Dari jl Riau menuju jl A Yani ada sisi kiri jalan (sekitar jl anggrek).Harga per porsi sekitar Rp 14 000.Datanglah lebih awal karena selalu ramai pengunjung,positive
"Meskipun kami tinggak di Bandung, namun kami sekeluarga sangat senang wisata kuliner di kota sendiri. Kuliner di Bandung enak2, sangat banyak dan bervariasi, tetapi yang enak dan murah itu yang perlu dicoba. Nah, Batagor & Baso Cuanki Seraya adalah salah satunya. Kalo kami orang Bandung, ada Batagor & Baso Cuanki khusus untuk turis dari luar Bandung, karena harga per porsi. Lanjutan",positive
"gausah ditanya lagi rasanya. dari temoat parkirnya aja udah keliatan yang makan sebanyak apa. apalagi kalau lagi hujan enak banget makan cuanki. jangan lupa juga coba batagornya, enak banget. harus tambah dibungkus bawa pulang. haha. walaupun ngantri tapi ngelayaninnya ceoet banget, lebih cepet makan di temoat dari pda di bawa pulang.",positive
"buat pelayanan sendiri menurut saya kurang karena kalo pesen harus rebutan tapiii buat rasa cuanki serayu ini enak dan tempatnya lumayan bersih. lalu dengan harga 15rb km bisa dapat semangkuk cuanki yang berisi baso, siomay dan keringan batagor",positive
"Hapir sering saya makan di cuanki serayu, saya suka sama batagor keringnya sama baso nya enak. Tiap makan disini pasti nambah 2 kali hehehe. Kalian yg dateng ke bdg wajib mencoba",positive
rasanya biasa saja. lumayan saja untuk ngemil di daerah riau. tapi bukan pilihan kalau sengaja jajan ke sini,positive
"disini selalu ramai dan antrian bisa panjang sampai ke pinggir jalan, tapi enak dan worth it utk di coba. Cuanki dan batagornya enak dan cukup murah. hanya saja antriannya bikin sesak dan jalur keluar masuknya agak membingungkan apalagi saat membawa mangkuk bakso berkuah panas. agak kotor karena ada tempat sampah di bagian luar sehingga banyak lalat. tetapi tetap jadi salah. Lanjutan",positive
"Saya tidak sengaja menemuka warung bakso dan batagor di Jalan Serayu ini saat melewati jalan brantas yang ada di samping jalan serayu. Saat itu saya penasaran melihat ada banyak orang dan sepeda motor terparkir di pinggir jalan di sudut jalan serayu. Keramaian itu membuat saya penasaran, dan saya pun berbelok menuju pusat keramaian itu untuk menghilangkan rasa penasaran. Dan ternyata,. Lanjutan",positive
"Baso Cuanki Serayu bisa dimasukin ke bucket list kalau mau berburu baso enak di Bandung. Rasanya enak, harganya juga murah. Saya suka dengan pangsit gorengnya karena berbeda dengan baso cuanki di tempat lain. Batagornya juga enak.",positive
"Tempat nya kecil, tapi cuanki nyahutt banget deh, klo penuh yang d riau tinggal ke serayu satunya lagi di jalan mangga.",positive
"Tempat ini cukup terkenal di Bandung. Bagi kalian yang sedang mencari tempat jajanan murah di Bandung, cuanki serayu bisa jadi pilihan. Namun, bersiaplah untuk sabar mengantri jika kalian datang pada jam makan siang, pulang kerja atau weekend.",positive
Awalnya saya penasaran dengan makanan seperti apakah cuanki itu? Ternyata semacam bakso+pangsit/siomay diberi kuah. Beli setengah porsi saja sudah cukup mengenyangkan. Jika kesini sebaiknya agak pagian sehingga tidak perlu terlalu antri. Pilihlah tempat kosong di dekat pohon jika masih ada yang tersisa karena di dalam sangat panas. Yang agak mengherankan adalah kenapa pesan tidak sekalian bayar? Jadi harus mengantri dua. Lanjutan,positive
"Saat paling tepat berkunjung ke Cuanki Serayu adalah jam 11-12 wib, belum terlalu penuh sehingga terlayani dengan baik. Semua menu enak terutama yang berkuah. Untuk take away juga dipisahkan counternya sehingga tidak menganggu yang makan ditempat. Minuman dan jus buah juga tersedia cukup lengkap. Tempatnya memang padat sehingga panasnya sangat terasa (non AC) tetapi waktu tunggu tidak terlalu lama karena. Lanjutan",positive
Bakso adalah makanan yang sangat populer di Indonesia. Makanan yang berupa bola daging dengan kuah panas ini merupakan makanan yang diadopsi dari Kuliner Cina. Hampir setiap daerah di Indonesia memiliki varian Bakso yang berbeda. Salah satunya adalah Cuan Ki. Varian Bakso yang berasal dari Kota Kembang Bandung ini sepintas namanya mirip Masakan Cina. Namun ternyata Cuan Ki adalah singkatan dari. Lanjutan,positive
"Walaupun tempatnya kecil dan gerah, tapi tempat makan ini selalu penuh. Terletak di sekitaran jalan Riau. Saat jam makan siang agak susah mendapatkan parkir di sini. Rasa cuanki dan batagornya cukup enak, harganya murah, pelayanannya cepat. Bukan tempat untuk nongkrong lama, tapi lumayan untuk ganjel perut.",positive
"Rasanya enak, kuahnya unik.sampai disini harus antri karena ramai sekali. Batagornya juga enak.",positive
"Kalau mau coba cuanki di kota Bandung, maka harus ke cuanki serayu. Tempatnya kecil dan standar warung baso biasa. Tapi cuanki, tahu baso, batagor gorengnya. enak banget! Harus makan dgn sambal pedesnya ditambah krupuk aci. Harga seporsi 10rb. Sangat terjangkau. Bisa pesan minum jus juga. Mantabs! Kalau penuh dan harus ngantri, bisa nunggu sambil beli kue ape di pinggir jalannya. Lanjutan",positive
