content,polarity
"Track yang terjal , agak sulit di tempuh dengan motor. Jalanan menanjak. Pemandangan sekitar yang keren, suasana sejuk dingin. Harga makanan tidak terlalu mahal , porsi cukup kenyang. Saya memesan soto santan. Rasa standart",positive
"Pertama masuk sini, sepi, art spacenya juga kurang menarik. Ada toko souvenir yang harga barang-barangnya selangit. Pas masuk restorannya, baru wow! Viewnya benar-benar lepas! Dibatasi fasad dari kaca, dilengkapi sofa-sofa besar warna-warni, benar-benar spot bagus untuk foto2. Sayangnya justru spot terbagus untuk foto ada di smoking room. Makanannya western style. Harganya lumayan mahal sih. Tapi untung rasanya tidak mengecewakan, walaupun. Lanjutan",positive
Desain bangunan yang artistik dan dibangun untuk mendapatkan view yang bagus untuk berfoto serta makanan dan minuman yang tidak terlalu mahal serta adanya live music pada saat saya datang cukup menghibur.,positive
"Tempatnya super nyaman, sejuk, pemandangan indah, cocok untuk foto dengan latar alam. Untuk harga makanan tergolong cukup untuk ukuran cafe cafe.",positive
"Pemandangan yang ditawarkan cukup bagus, staffnya friendly. Sayang, menunya tidak lengkap dan rasanya biasa saja, rasa tidak sesuai harga.",positive
"dengan bangunan dan dekor minimalis temapat ini memberi pengunjung pilihan untuk memandang alam, seni dan bersosialisasi lewat kafe yang dapat memberi inspirasi bagi siapa pun pengunjungnya. bagi anda yang ingin tersinpisrasi dengan ke senian minimalis dan alam yang indah. tempat ini cocok.",positive
"Bagus banget pemandangannya,buat makan-makan keluarga,pasangan atau kantor juga cocok and pasti makanananya enak bgt",positive
Tidak akan salah ketika anda mencoba makan malam atau makan siang disini tempatnya cozy makanan juga uptodate . enak semua boleh dicoba saya paling suka pizzanya . khasnya itu lawang wangi gedung besar berwarna putih lalu banyak spot untuk ambil gambar untuk harga cukuplah dan saya tidak bosan untuk selalu balik lagii kesiniii,positive
"1st time coba kesini, katanya tempatnya bagus. Pas menuju ke lawang wangi jalanannya super duper jelekkk jd harus hati2 bgt jalan nya. sampao di lawang wangi tempatnya art cafe gt yaah oke lah untuk melihat pemandangan kota dr atas. Makanannya biasa ajah, dan harga lumayan agak dikit mahal lah yaaa. tp klo mau dtg mending sore ato malam biar keren. Lanjutan",positive
"lawang wangi terletak di dago atas sehingga memiliki pemandangan bukit yang indah, ditambah dengan dinding kaca yang tinggi sehingga pengunjung memiliki pemandangan yang luas. Terdapat berbagai instalasi seni dan lukisan diruang pameran dan terdapat jembatan kayu menjulang dengan pemandangan yang indah. Untuk makanan, tidak terlalu enak.tapi harga rasional. Kalo sekedar duduk-duduk minum kopi sih OK. Kalo lapar dan expektasi makan. Lanjutan",positive
"makanannya enak, dan viewnya amazing,. hanya sign menuju lawangwanginya kurang jadi tidak semua orang bisa tau ada lawangwangi disitu kecuali orang yang lewat.",positive
