content,polarity
"kemarin nyobain aglio olio tuna, mushroom soup, potato cheese, steak icip dikit, dan semuanya itu enak sihh. bahkan aglio olio abis dalam sekejap banget, padahal porsinya lumayan banyak saking lahapnya. Tempatnya juga cozy. Stafnya ramah dan tanggap. love it!!",positive
"Makanan nya enak enak dan eye catching utk di foto,suka. tp minuman nya juga enak dan tempat nya nyaman utk kumpul kumpul ama temen.",positive
"Interior cukup nyaman ada beberapa pilihan tempat duduk, sofa atau bangku biasa. Memesan: 1. alaskan salmon steak seharga IDR85K sebelum pajak. Rasa ikan enak dan tidak amis. Namun ukuran ikan termasuk kecil. Mashed potato juga enak, namun sayurannya biasa saja. 2. Nasi goreng, rasa standar, berisi telor mata sapi, sate ayam, nugget, krupuk, harga sekitar IDR49K plus pajak 3. Beehive. Lanjutan",positive
"Berada di Kota Bandung dan dekat dengan kampus ITB ,tempat ini menyajikan makanan cepat saji dari barat . dan suasana tempat ini sangat nyaman dan enak dinikmati",positive
"Tempat makan yg luar biasa nyaman dan menyediakan makanan dan minuman yang enak dan beragam yang cocok untuk dicoba semua, layanan dan suasana sangat baik",positive
"Awalnya ragu dengan kecepatan pelayanan disini Tapi not bad lah, tepat waktu kok :D Aku lupa pesan juice apa kayanya mixed juice gitu, oke sih. Dan makanannya juga well cooked. Ohya ini mereka kasi gratis ice cream. Bisa di coba tanya dengan waiter nya Love.",positive
"Suasananya nyaman sekali utk berlama-lama bersama teman atau keluarga. Menunya jg menarik untuk dicoba dgn harga yg cukup reasonable. Rasanya jg tdk mengecewakan. Saat berkunjung sy mencoba ""Monster burger"", ukurannya sesuai dgn namanya!! Beef patty gurih dan empuk, ditambah onion ring yg crunchy membuatnya semakin terasa spesial!",positive
"Menu lengkap, nasional dan western ada. Dessert enak dan bagus untuk difoto. pencahayaan minimum dapat diatasi dengan menambah lampu dari senter hp.",positive
"makanan yang kami pesan tidak ada yang gagal, semua mantap,mulai dari pasta alfredo , alaskan salmon, burger sampai au gratin. minuman lumayan, mocacinonya pas, mojito mintnya ga berasa. tp lumayanlah utk tempatnya nyaman, unik dan tema lebahnya dominan sekali. utk pelayanan, bgtu menyajikan, piringnya membentur meja seperti di banting walau tidak terlalu keras beda dengan mba yg mengenakan behel (lupa. Lanjutan",positive
"Dengan penataan ruang yang cukup terbuka, membuat Beehive menjadi nyaman walaupun tanpa AC. Suasana lighting yang baik membuat makan menjadi lebih menyenangkan. Chef recommended adalah Monster Burger, beef patty yang lembut berpadu dengan onion ring renyah, mantap. Satu lagi yang tidak boleh ketonggalan, salmon steaknya lembut, mashed potatoes dibumbui dengan seimbang. Orang juice? Very fresh.",positive
