content,polarity
I love ur pizza and calzone.karakter si roti nya itu lembut di dlm mulut dan rasa nya enak enak semua menu nya. pizza nya tergolong murah namun enak bgt.,positive
"Begitu memasuki Jalan Lengkong Besar pelankan laju kendaraan, jangan sampai kelewatan. Jalannya searah dan muternya lumayan kalau lagi macet. Dari luar tempatnya terlihat kecil, tapi begitu masuk ternyata cukup luas, dengan jarak antar meja yang tidak terlalu dekat. Suasananya nyaman. Pelayannya sigap dan ramah. Pizza dan pastanya enak, terasa sekali kejunya.",positive
"Awalnya kesini karena sering lewat kalau ke kampus atau pulang kantor, karena dekat dengan transit angkot kalapa-bubat. Tempatnya kecil dan cozy dari luar, kalau ngga diperhatikan betul ngga akan tahu kalau ini restaurant. Pas sudah masuk, tempatnya indaaah banget, Suasananya kayak suasana teras bangunan lama gitu. Terus penataan lightingnya juga bagus, apalagi yang berpasangan. Kesannya romantis dan cozy banget. Pelayannya. Lanjutan",positive
"Pizza dan pastanya enak banget, terutama penne chicken pesto dan calzone pizzanya. Suasananya menyenangkan.",positive
Makanan nya enakkkk ak sempet beli spaghetti sama pizza . Dan it ga mengecewakann . Enakkkk keju ny kerasaaa,positive
"Ga perlu jauh2 dah buat rasain kelezatan spageti italia perlu dateng aja ke resto eatalia, kita semua bakal di jamu beragam menu masakan itali yang dijaminn muantapp dah. 4 jempoll buat makanan disini.",positive
Buat harga murah banget untuk ukuran makanan italia yg gede banget porsinya . Rasanya italia banget . Pilihan pasta nya juga lumayan banyak . Tempatnya cukup nyaman . Recommend bagi yg suka makanan italia . Tempatnya dri luar keliatan kecil tp waktu masuk luas juga ko . Will back again to eat in this place,positive
"Kemarin kami merayakan ultah teman kami disini, makanan yang cukup enak, tetapi porsi minumannya sangat sedikit dengan harga yang cukup mahal",positive
"Pertama kalinya datang ke Eatalia, saya datang bersama dengan teman dan 1 orang anak. Tidak memsungkan ketika memlilih makanan untuk anak karena disini menyediakan menu dengan porsi anak. Kami memesan Cheese Bacon Deluxe, pizza dengan roti berwarna hitam. untuk keseluruhan menu yang saya pesan tidak mengecewakan . Namun ketika kami menanyakan tentang menu yang hendak kami pesan waitres tidak menginformasikan. Lanjutan",positive
"Mau mencoba pizza dengan variasi rasa yg agak berbeda dr pizza biasa, di sini tempatnya. lokasi di tengah kota, interior yg nyaman, menu2 pizza dan pasta yg ditawarkan agak berbeda.kami pesan the olkers .Pizza di sini ber ukuran sedang,tidak terlalu tebal,keju mozarela begitu terasa dan tidak pelit, dengan sedikit rasa chilli, cukup enak, harga standar.minuman jg cukup enak terutama green. Lanjutan",positive
Restoran ini berada di tengah kota Bandung ini menyajikan berbagai hidangan pizza dan juga pasta. Dari pizza yang rasanya manis seperti pizza green tea disini ada. Rasa pizzanyapun enak banget menurut saya. Ketebalan pizza dan rasanyapun pas dilidah.,positive
"Menu pilihan pasta dan pizza nya banyak sekali. Untuk rasa, bumbunya pas tapi pastanya kurang aldente. Terlalu matang. Yang paling enak aglio olionya. Yang kurang enak spicy tunanya.",positive
