content,polarity
"Enak banget . Ayam goreng nya sedap mantaap, harha juga terjangkau Pokoknya bakalan balik lagi saya kesini .",positive
"Ayam goreng suharti dari dulu emang enak sekali, saya dan keluarga setiap ke bandung pasti ke tempat ini. karena ayam nya enak lunak dan garing. di sini juga tersedia bermacam-macam menu ada gudeg bacem dll.",positive
"Ayam goreng suharti, resto ayam goreng yg satu ini sdh lama dikenal masyarakat, ygmn menyediakan ayam goreng kremes lunak daging sp ke-tulang2nya, juga tersedia jenis makanan lainnya spt gudeg, tempe/tahu.",positive
"Gimana ya, bicara ayam goreng Sebenarnya, ini jenis menu makanan yang bisa dikatakan biasa Bahkan, biasanya di rumah suka masak juga Ntah kenapa rasa ayam goreng suharti, dari dulu hingga enakkkkkkkkk :'( Tahu nya juga dia pake tahu susu Udah ah. tetap masih mau jadi pelanggan setia disini. Love too much !",positive
"Terletak di jl Cipaganti Bandung di seberang POM Bensin. Ruang makan cukup luas . Makanan khas jawa yang cukup beragam. Ayam gorengnya empuk nan lezat, juga hati ampela nya enak serta karedok dan buntilnya.Tempat parkir cukup luas",positive
"Letaknya di belokan jalan cipaganti, tempatnya juga besar. makanan favorit disini adalah ayam goreng kremes, jangan lupa minta kremesnya yang banyak karena menurut saya kremesnya enak banget. anda juga bisa membeli kremesnya saja lho untuk dibawa pulang.",positive
"Saya disini makan ayam goreng kremes, dan sayur lodeh. Tempatnya sih di rancang khusus untuk makan doang. Untuk rasa ayamnya sih lumayan enak, tapi sayur lodehnya enak banget.",positive
"Paling pas kalau lagi bosen menu dirumah atau ingin mengunjungi rumah keluarga lain kita selalu bawa menu ayam goreng Suharti ini. Tinggal telepon sambil lewat kemudian diambil, bayar dan langsung dibawa sebagai oleh-oleh.",positive
"Sama seperti resto ayam Duharti lainnya, resto ini menyediakan masakan khas Yogya. Masakan andalannya adalah ayam kremes, gudeg, gurame goreng dll. Suasana resto nyaman dan ruang makannya luas.",positive
"Ayam suharti di bandung jalan cipaganti : memang ayam goreng nta gurih dan krispi , enak sekali . Tapu jika bawa pulang . Minyak nya banyak nya sekali .",negative
"RM Ayam Goreng Suharti berada di sisi kiri jalan. Pastikan Anda berada di jalan jalur kiri agar tidak terlewat. Jika itu terjadi, Anda harus memutar jalan yang searah. Positif: Ayam goreng Suharti memiliki citarasa khas dimanapun Anda membeli. Jadi jaminan rasa tetap terjaga. Ruang makan yang besar membuat Anda nyaman menikmati makanan. Ini memang bukan fastfood jadi jangan berharap Anda. Lanjutan",positive
Kawasan cipaganti bagi wisatawan luar negeri khususnya dari belanda pasti menggenal kawasan cipaganti sejak dulu. Dikawasan ini ada tempat makan yg sangat terkenal yaitu ayam goreng suharti. Ketika masuk telah disambut dengan senyuman dr para pelayan yg chantik juga ada alunan musik tradisional. Kemudian ketika menunggu pesanan ada sajian makanan yg disebut otak-otak yg sgt enak. Oh ya klu mau. Lanjutan,positive
Ayam Suharti sangat dekat dengan hotel grand serella tempat kami menginap. Ayam kremesnya maknyus. Beli 1 setengah ekor saat berbuka. kembali lagi beli 1 ekor untuk saur. mantaap,positive
"suahrti selalu jadi pilihan makan siang kalo ke cipaganti, tempatnya kalem, pelayananannya bagus, rasanya enak dan harganya masih terjangkau.",positive
"berbuka puasa di sini pada minggu lepas, pak supir yang mencadangkan tempat makan ini. makanan nya disini sedap dan harga berpatutan. tempat nya luas dan cantik. recommended too others to dine in here to taste authentic sunda indonesian food.",positive
