content,polarity
"Hari ini saya mencoba cari tempat ngopi yang berbeda. Sebelumnya hanya nongkrong di seputaran Kota Bandung. Ternyata ada tempat yang sangat menarik untuk tempat ngopi, Cafe D'Pakar yg berada di lereng tebing sebelum Tebing Keraton. Anda harus mencoba nikmarnya ngopi di ketinggian.",positive
"Tempat wisata yang lagi happening.Tempatnya memang bagus pemandangannya, tanah taman yang lapang dengan banyak meja dan kursi untuk yang mau makan di area terbuka. Tapi kurang nyaman kalau mau menyantap makanan di area terbuka karena anginnya sering bertiup kencang. Jadi kami makan di cafe nya kemudian baru deh foto2. Makanan nya sendiri cenderung biasa.",positive
"Kesan pertama dateng kesini, waitinglist. Nunggu hampir sekitar 20menitan buat duduk di area outdoor nnya. Ada yg indoor juga cuma kurg bagus buat foto"". Jadi kalo udah duduk di satu tempat ga boleh pindah"". Sistem pemesanan makanannya sih kalo buat aku kurang bagus. Karena kita harus memilih sendiri dan langsung bayar dikasir, dan itu ngantri banget karena kasir cuma 1. Lanjutan",positive
"Jalan menuju lokasi agak ekstrim,usahakan kondisi kendaraan oke,untuk rasa sih menurut saya biasa aja,tp mungkin kebanyakan orang kesini karna pemandangannya. Viewnya ok bgt",positive
"saya datang ke lokasi ini karena beberapa gambar yang indah dari rekan2 untuk datang ke lokasi ini, kita harus menuju wilayah utara kota bandung via dago lalu dari terminal dago, kita akan terus naik menuju THR (taman hutan rakyat) ada persimpangan ke kanan kemudian ikuti lagi kurang lebih 3 km 1 km terakhir jalan agak rusak, jadi berhati2lah khususnya kalau. Lanjutan",positive
"Tempat bersantai menikmati dinginnya Bandung apalagi ditemani keluarga dan sahabat. Makanan dan minumannya bikin nongkrong tambah seru, mulai dari snack hingga makanan berat dengan harga yg cocok di kantong.",positive
"Kami datang sekitar pukul 11 pagi di akhir pekan. Pengunjung cukup banyak, tapi tidak terlalu padat. Disarankan untuk tidak mengendarai mobil sedan, karena ada beberapa bagian jalan yang rusak. Sebelum masuk, anda akan diminta untuk membayar pesanan anda, dengan minimal order Rp. 25.000,- . Pilihan menunya cukup bervariasi. Kami memesan puding silky green tea ( dengan wangi yang terlalu menyengat. Lanjutan",positive
"Mau mencari udara segar pemandangan indah disini sangat tepat. tapi jalan menuju kemari sangat rusak harus diperbaiki, selain rusak menanjak dan berpasir.",positive
"Pemandangan yang luar biasa dari cafe ini, menyajikan sentuhan cemara dan eksotisnya alam hutan raya bandung. selain itu makanan dan minuman yang terbilang murah banget. keren !",positive
"Konsep cafe kekinian di bagian depan Taman Hutan Raya (Tahura) Juanda menawarkan makanan ringan dan minuman. Arsitekturnya menarik, menyatu dengan alam dan hutan pinus disekelilingnya.",positive
