content,polarity
"Tempat paling favorite untuk menikmati ramen, takoyaki dan dessertnya. Paling TOP untuk dessertnya. sebelum mulai banyak tempat dessert bermunculan disini udah cukup banyak menu dessert yang dihidangkan. Wajib banget penggemar dessert untuk coba ke sini.",positive
Pertama kali nyobain kedai lingling waktu di cihampelas dan kedainya masih kecil terus sekarang tempatnya luas di sukajadi luas jadi cocok untuk makan dan ngobrol lama. Favoritnya dari dulu itu ramen sama es kriuk nya. Di sini juga ada mushola dan toilet. Bisa sambil ngecas juga karena di setiap dinding disediakan colokan. Tempat duduknya juga ada yang lesehan. Di sini. Lanjutan,positive
"Kesini di ajak bestie yg lg sama sama galau hahaha tp waktu nyoba dessert disini enak bgt , jd ngelupain perasaan galau, tempatnya jg cozy bgt pdhl tempatnya ga begitu gede, tapi enak bgt buat ngobrol ngobrol santai, harga nya jg worth it bgt lah. Sayangnya bingsu disini kadang ada kadang engga pdhl bingsu nya enak , semoga next. Lanjutan",positive
Pertama kali nyoba dulu waktu masih di cihampelas. Rasanya enak. Tempat yg sekarang (deket pvj) lebih nyaman. Cocok buat tempat kumpul sama keluarga,positive
"Rasa nya enak banget, seger buah-buahan dicampur es krim nya juga pokonya kalo siang siang mah cocok banget patut dicoba kalo main kebdg!",positive
Dari jaman masih kuliah dan sampai sekarang tetep suka banget sama ramennya kedai ling-ling. dari dulu cuma booth kecil sampe pindah ke cihampelas selalu dicari. semuanya enak-enak bangeettt!!! you should definitely try!!,positive
"Oia ada lagi nih satu tempat nongkrong, mungkin ""untuk yang belum tau"" tempat ini menyediakan dessert yang lumayan lezat, ada takoyaki dan menu menu lainnya Harganya lumayan ( mahal engga, murah engga) Tempatnya juga nyaman Dan wifinya juga kenceng Staffnya baik Pelayanannya cepat",positive
"Baru pertama kali ke Kedai Ling-Ling yang di Sultan Agung. Pesan Ramen dan Dessert. Ramennya enak, mienya lembut, dessertnya okelah.",positive
"Dessert yang disajikan disini luar biasa enak-enak banmget, harga sangat murah dan terjangkau, pelayana cepat dan sangat instagramable cocok buat foto-foto",positive
"Lokasi tepat di sebelah PARKVIEW HOTEL di seberang SUKAJADI HOTEL. RASA pas di lidah, dessertnya tak terlalu manis terasa pas di lidah, tidak membuat eneg, malah membuat ketagihan. Untuk menu utama seperti udon, rasanya gurih namun tak terlalu asin, enak bgt. HARGA Acceptable, sesuai kantong. pelayanan ramah, cocok utk tpt nongkrong malam minggu. SARAN kalau bisa pada waktu week end. Lanjutan",positive
"dari jaman sma suka banget sama okonomiyaki disini. sebelumnya sih dia cuma buka kaya stall di event gitu, tapi sekarang udah punya kedai sendiri.",positive
"Okinomiyaki dan Mango Dessertnya enak bgt, harganya juga bersahabat, bakal sering ngedate di tempat makan ini lagi, soon :)",positive
"Saat bulan puasa dan ingin berbuka dengan yang hangat-hangat akhirnya terlintas untuk mencoba ke Kedai Lingling. Dengan tagline ""The Best Ramen in Town"", ini cukup menarik kami untuk mencoba. Tempatnya cukup luas, ada pilihan lesehan dan duduk di kursi. Parkirnya luas dan lokasinya cukup strategis, tidak jauh dari mal PVJ Bandung. Disini juga disediakan musholla, yang sayangnya agak kecil, sehingga. Lanjutan",positive
"Waktu liburan taun baru kesana nyobain ramen sama dessert nya. Lumayan sih rasa ramennya, harganya juga murah, trus mango dessert na enak pisaaaan tapi dari hotel lumayan jauh, lewatin pvj juga jadi rada macettt",positive
"Deliciosoo ! Saya pesan okonomiyaki dan es jellynyaa. Seneng rasanya nemuin makanan enak dan murah. Untuk lokasinya sendiri cukup strategis karena dekat sekali dengan Paris Van Java, tempatnya pun cukup luas dan adem. Menu-menu disini kebanyakan Japanese Food. Pokoknya kalau ke Bandung harus cobain ya ke Kedai Ling-Ling ! :)",positive
"Oishiiiiiii~ delicious, enak, maknyos, hmm semua yg enak2 deh pokonya yaa. somebody say ""makan makanan enak itu bikin bahagia"" nah makanya harus coba mango heaven dessert, rasanya lumeeeer",positive
"disini menjual berbagai jenis makanan jepang, tapi yang paling saya pesan adalaha okonomiyaki dan takoyakinya. manggo dessertnya juga enak banget, kentel banget.",positive
"Mampir ke Bandung, tepatnya di daerah Sukajadi harus nyobain Ramen disini. Tempat parkir yg luas, tempat makan yg rame. Disini enak buat ngobrol2 santai. Dan satu lagi Thai Tea nya enak. Untuk servicenya perlu ditingkatkan lagi Terima kasih",positive
"Dengan tagline ""the best ramen in town"", tapi ternyata biasa aja. Tapi untuk menghangatkan badan boleh lah, porsinya pun oke. Harganya juga oke. Menariknya, tempat ini seperti foodcourt, dengan banyak tenant, jadi pilihannya beragam. Yang cukup menarik adalah dessert-nya tapi nggak sempet nyobain karena udah keburu kenyang ramen. Hahaha",positive
"Bagi penggemar masakan jepang, wajib coba restoran ini. Pertama di rekomen teman takoyaki nya enak dan beda. Maka kita pesan takoyaki, okonomiyaki, manggo heaven dessert, Thai tea. Takoyaki nya lebih berisi dan ada pilihan isinya. Saya pribadi suka sama okonomiyaki nya dan dessert nya sangat enakkk. Sayang rasa Thai tea nya agak aneh.",positive
Paling juara desert di sini. Beragam pilihan desert tersedia. Enak banget. tempat cukup nyaman. Ada ruang mushola yang memadai. Namun untuk tempat parkir khususnya mobil agak sedikit kesulitan. Selalu penuh.,positive
"Kedai yang menjual berbagai macam snack jepang seperi takoyaki, okonomiyaki, lalu ada berbagai pilihan ramen yang tidak kalah enak. Yang terkenal juga pilihan dessertnya yang menyegarkan! Makanan favorit saya dari dulu, apalagi sekarang kedai yang di sukajadi sudah besar dan luas sehingga sangat nyaman",positive
