content,polarity
"Mampir ke warung sate ini emang mantab, ada sate ayam, kambing, sapi, dan kelinci.ditambah gule yg gurih.pokoknya maknyussss",positive
Ke sini karena suami dulu kuliah di bandung dan hobi banget makan di sini. Rasa sate nya menurut saya enak tapi tidak istimewa. Minum sirup markisa yang seger sama es lilin nya yang enak. Sayang nya pegawai nya ngerokok di dalem jadi terganggu bau rokok.,positive
Kami makan malambdi Sate maulana Yusup di jl. Yusup . Kami pesan sate ayam. Sate sapi dan sate kambing . Yang enak adalah sate ayam . Sate kambing dan sapi juga ok laghh. Karena kenayakan pengunjung mengakibatan agak terlambat dan kewalahan bakar sate Nya. Tapi bumbu kacang cabe rawit sejak lama sudah siap. Sate maulana yusup sudah terkenal sejak saya. Lanjutan,positive
Nikmat bgt sate nya lembut daging nya n tdk bau n suasana t4 nya pun enak cocok untuk pgie bersama keluarga,positive
"Sate maualana ini salah satu legenda sate di bandung, selain gedung sate- tentunya. ^^ satenya sih biasa rasanya. tapi porsi satenya guede2. biasa kan sate gitu kecil2.",positive
"Sate Maulana Yusup sudah aja sejak puluhan tahun lalu dan masih eksis sampai sekarang, menunya khas, satenya besar2. Selain sate ada pilihan menu lain tentunya. Sayang. parkir di tempat ini agak sulit",positive
"Kemarin pesan sate dengan lontong, ternyata porsinya mengenyangkan sekali. Dagingnya besar, empuk, dan bumbunya enak, sesuailah dengan apa yang direkomendasiiin orang-orang. Pelayanannya lumayan cepat walaupun ramai. Dari sini, bisa langsung buang kalori karena dekat dengan FOs. Hanya saja, harganya cukup mahal.",positive
"Sate legendaris yg paling enak di bandung. Lokasinya di sayap dago jadi dekat ke kota. Boleh dicoba, one of the best sate in bandung!",positive
"kami selalu menyempatkan mampir kemari kalau bertandang ke bandung. dengan potongan daging yg besar, saos kacang yg kental, dan harga yang standar membuat kami sangat merekomendasikan sate dsini!",positive
"Satenya gede2. Bumbu nya dipisah. Dikasih irisan bawang merah dan cabe rawit dikukus, porsi lontong sama Nasinya juga pas. Pokoknya saya suka.",positive
"Rasa sate ayam yang lezat dan empuk, bumbu berlimpah dengan irisan bawang merah dan acar. Sate sapi dan kambing juga Ok.Harga per 10 tusuk 40K untuk semua jenis sate.",positive
"Untuk para turis luar Bandung tidak asing lagi dengan sate ini, maka di saat weekend warung sate ini sangat ramai. Sate yang disajikan juga memiliki daging yang segar dan bumbu sate yang enak. Cocok sekali dimakan di malam hari.",positive
"Sate ini sangat khas dengan bumbunya yang asli dan juga daging ayamnya yang besar.jadi,ini sangat cocok untuk dinikmati pada malam hari",positive
"Sate kambingnya juaraaaaa. empuk dan tdk berbau. Sate ayamnya juga enak, per tusuk dagingnya besar. Bagi yg biasa makan porsi kecil, 5 tusuk sdh cukup kenyang. Tapi untuk sate kambing pesanlah 1 porsi, tdk akan menyesal.",positive
"Sajian sate dan gule kambing dengan daging yang besar2. Rasanya itu loh.lezat sekali. Sate kambing dengan bumbu kacang. Sayang tidak disediakan bumbu kecap. Bentuk potongan sate kambing mirip sate kambing buatan orang arab. Gule kambingnya, lezat sekali. Tidak seperti warung lain, gule ini diisi dengan daging kambing asli, lengkap dengan tulang2nya. Maknyusssss",positive
"lokasinya ditengah kota dekat dengan jalan Dago dan jalan Riau, sate nya enak dan tidak terlalu mahal, pelayanannya cepat dan pegawainya ramah,",positive
