content,polarity
disini salah satu tempat favorit saya makan steak. disamping rasanya enak. harga murah mulai 10-30ribuan. shake vanila juga minuman favorit saya. daging empuk gampang diiris. sayang parkirnya kurang luas.,positive
Kalo yang ini makan steak tp dengan harga bersahabat ya di sini tempatnya yg cocok. Menu-menu steak ada d sini. Klo yang saya sering makan biasa chiken doubel steak hargany jg ckp murah sekitar 23rb. Soal rasa lumayan buat kita goyang lidah. Banyak menu-menu lainnya yang buat kalian semua ketagihan.,positive
"daging has yang empuk di siram bumbu yang khas,, juga shake strawberry yang yummy, enak juga untuk kumpul bersama teman dan sahabat",positive
"Di warung steak ini makanan nyaa murah murah berkisar 10 sampai 20 ribuan,, kalau kesini saya suka beli yang chicken double. yaaa kualitas makanan nya juga sebanding lah sama harga nya. buat anak kuliahan kalau lagi ga ada uang tempat ini sih cocok",positive
"Berada di pinggi jalan kopo yang selalu macet , kalo lapar bisa mampir sambil menunggu macet selesai",positive
"bagi yang suka steak wajib ni cobain makan di tempat ini karena, harganya terjangkau dan tempatnya bersih dan ada tempat khusus untuk smoking area jadi tidak akan campur dengan orang yang merokok dan rasanya juga bombastis",positive
"akses mudah untuk ke warung steak and shake, dilengkapi musholla. sirloin steak enak, namun chicken mushroon steaknya asin. cocok untuk tempat ABG Bandung nongkrong karena harga yang murah.",positive
Harga-harga steak di WS cukup murah dan bisa dibilang harga mahasiswa. Sehingga banyak acara-acara mahasiswa mampir ke situ untuk makan bersama. Dan juga waktu tunggunya terbilang cepat.,positive
"Warung Steak merupakan restoran yang menyajikan steak dengan harga yang ekonomis. Aneka menu steak yang ditawarkan disini berupa steak daging sapi, daging ayam, dan daging ikan. Menu favorit saya apabila berkunjung di Warung Steak adalah Steak daging sapi tenderloin dengan minuman milk shake.",positive
"Warung Steak atau lebih dikenal WS, memang menyajikan hidangan berbagai macam steak yang murah dan lezat, tanpa sengaja mengunjungi warung steak ini karena diajak oleh pasangan, dan setelah mencicipi ternyata rasa dan harga sangat berbanding terbalik, steak yang sangat lezat dengan harga yang sangat murah, sehingga sering saya mengunjungi warung steak ini, untuk makanan yang sering saya pesan adalah steak. Lanjutan",positive
"Kalau dibanyak tempat steak membutuhkan waktu lama sebelum penyajiannya, di tempat ini menurut saya cenderung cepat dan sesuai dengan lidah maupun dengan dompet saya. Saya pernah nunggu teman sampai 2 jam disini, tapi gak kerasa karena makanannya membuat saya lupa waktu. Hehe",positive
"Makan di warung steak selalu dipenuhi oleh pengunjung utamanya mahasiswa, sejak dulu warung steak ini menyajikan steak dengan citarasa yg enak namun tidak bikin kantong bolong, berbagai jenis steak pun disediakan, ada steak ayam, daging sapi dan menu lain. Waktu tunggu makananpun tergolong cepat.",positive
"Makanan di Warung Steak and Shake enak sekali. Steak ayam, sapi, ikan, cumi menjadi pilihan utama di sini. Harganya murah dan makanan di warung steak sentiasa memuaskan citarasa saya. Chicken Cordon Blue & Steak Chicken burger menjadi pilihan kegemaran saya. Saya pasti akan ke warung steak di Bandung pada masa yang akan datang.",positive
Tempat makan favorit mahasiswa. Dimana lagi bisa makan steik dengan harga murah kantong mahasiswa sehingga tempat ini sering dijadikan tempat traktiran ultah atau ketika dapat nilai bagus. Walau sebenarnya tidak murah-murah amat karena tepungnya lebih banyak daripada dagingnya. Rasanya sih lumayan sesuai slogan ada harga ada rasa. Bisa juga sekalian mencoba french fries dan milk shakenya. Hati-hati jangan langsung menyentuh. Lanjutan,positive
"Ada harga ada rupa. Saya menyukai restoran ini karena harganya murah dan kualitas masakan yang seimbang. Makanannya cukup enak kalau mau ""enak"" dan ""murah meriah"". Pelayanannya juga serupa dengan yang kita bayar. Tidak terlalu bagus, tetapi juga tidak buruk.",positive
"murah meriah.cocok untuk segala kalangan, khususnya pelajar dan mahasiswa.rasanya ga kalan kok sama restoran steak yang gede.",positive
"tempatnya enak.steaknya jg lumayan n murah meriah.tempatnya jg asik,cocok bgt buat nongkrong anak2 muda",positive
klo lagi pingin mkn steak tapi dengan harga yg cukup terjangkau cocok d WS makan bersama dengan keluarga atau sahabat sangat menyenangkan. steak yg cukup enak dan murah serta orange jus yg begitu segar.,positive
menu steak hemat dengan pilihan juice beragam. cocok untuk mahasiswa,positive
"dulu ini salah satu tempat favorit saya, cuma makin kesini harganya makin naik&porsi makin kecil . . . kualitasnya kurang di jaga",negative
