content,polarity
"Resto ini suasananya nyaman dengan layanan yang baik. Penataan ruangannya cukup serasi. Menawarkan berbagai menu pizza dan pasta seperti Super supreme, Cheeseburger , Deluxe cheese, Tuna melt, American favourite, Beef spaghetti, Beef lasagna dan lainnya. Super supreme rasanya sangat enak dan nikmat. Beef spaghetti rasanya enak dan mantap. Deluxe cheese sangat nikmat dengan rasa kejunya sangat terasa.",positive
Pizzanya lumayan enak terutama yang ikan tunanya. Paling suka yang jenis cheesy bites. Sup nya juga enak. Pelayanannya bagus.,positive
"ini adalah gerai pizza hut yg ada di dalam mall istana plaza. selalu penuh. dan susah parkir. lebih baik mengunjungi pizza hut lainnya, kecuali memang anda ada kerperluan ke mall.",positive
"Restoran pizza dengan menu yang lengkap dan variatif. Sangat menyukai chessy bites dan stuffed crustnya! Menu barunya yaitu cheese burger pizza oun tidak kalah enak. Saladnya selalu menggoda untuk dibeli. Kalau sedang tidak mempunyai budget banyak namun ingin makan pizza, saya selalu memesan sensasi delight. Jangan lupa pesan watermelon orange untuk minumnya",positive
"Karyawan yang sangat cepat dan tanggap, kualitas dan cita rasa tidak pernah mengecewakan, sukses terus pizza hut",positive
rasa pizza yang konsisten khas dari semua cabang Pizza Hut.masih pizza terbaik menurut saya dibanding kompetitor sejenisnya.Stuffed Crush yang enak.Cheesy Bite yang lezat.American Favourite dan Meat Lover favorit saya.hanya untuk cabang Istana Plaza pelayanan dan servis ke konsumen sangat perlu ditingkatkan.,positive
"sebenernya agak lucu juga sih ke bandung, tapi koq makan pizza hut. cuman karena lagi pengen pizza. jadi ya melipir ke sini. rasanya sama2 aja sih ama yang di jkt.",positive
"Walaupun saat ini banyak terdapat restoran dengan menu utama pizza dan makanan Italia, namun tetap saja restoran Pizza pilihan keluarga kami adalah Pizza Hut. Menu favorit yang sering kami pesan adalah Pizza Super Supreme, Spageti dan Salad, selain itu menu favorit kami yang lainnya adalah Chicken WIngs.",positive
"Baru aja take away paket duet hemat, eh ternyata sekarang makin banyak variant paket nya buat keitung lebih 'hemat'. Yang aku kurang suka itu buat harga di minuman nya mahal banget, harusnya dibuat standar aja Oh ya, Kalau kita berkenan jawab survei secara Online kita bisa dapet free garlic bread loch. Gratiss Ngga sempet moto abis sibuk jawab survei nya,. Lanjutan",positive
bermacam-macam rasa dan pilihan pinggirannya selalu memesan super supreme pizza dengan cheese bites sebagai pinggirannya saladnya masih segar-segar dan menyenangkan untuk mengambil sendiri,positive
"Di balik munculnya banyak restoran Itali di Bandung, PizzaHut masih merupakan salah satu alternatif restoran pizza terbaik menurut ku. Sesekali masih bisa merindukan pizza yang terdapat di sini. Apalagi, sering ada menu seasonal yang membuat kita semakin tergoda. Selain menu seasonal, pizza keju dan tuna nya selalu masuk ke daftar pesananku!",positive
"Ketika punya rencana merayakan ulang tahun dan rapat keluarga, saya mencoba memilih beberapa lokasi restoran yang strategis. Kemudian terfikir untuk mencoba di PH Bubat, setelah kontak dan dilayani dengan ramah, ternyata PH Bubat menerima untuk grup keluarga sebanyak 30 orang. Ketika kami datang ke lokasi PH Bubat, ternyata kami sudah disiapkan tempat yang sangat privat tetapi tidak mengganggu pelanggan yang. Lanjutan",positive
"Atas rekomendasi mbak waitress, akhirnya coba menu baru di PH berjudul italia beef orzo. Sebenarnya ada dua menu baru orzo, yaitu menu yang saya coba dan satu lagi oriental chicken orzo. Karena memang suka dengan rasa saus tomat PH, akhirnya saya coba yang menu itali punya. Begitu datang, porsinya pas (menurut saya, kalau teman saya laki2 bilang segitu tdk cukup. Lanjutan",positive
