content,polarity
Saya suka makan di sni. Variatif makanannya. Bukan hanya lo mie yaa. Ada mpek2. Makanan sunda. Batagor. Siomay. Clemons. Dll. Favorit saya adalah siomay/batagornya. Di sini. Rasa makanannya enak2 dan harganya terjangkau. Kita jadi kenyang dan ga bikin kantong bolong. Hhe,positive
"harga tidak terlalu mahal, rasanya juga enak, banyak pilihan makanan khas Bandung lainnya. hanya tempatnya yang susah parkir dan meja kursi yang seadanya.jadi datang memang hanya untuk makan.",positive
"Lomie yg terletak di jl Imam Bonjol dulu jualan di gerobak pinggir jalan dengan kursi plastik tanpa atap ,kini masuk ke area pujasera di depannya.Menjadi salah satu lomie enak di Bandung yg msh banyak penggemarnya. Tapi sayang tempatnya kurang nyaman, selain krn selalu penuh sesak, jg kurang terjaga kebersihannya. Belum lg pelayanan yg kurang ramah, asal2an dan itu jg dirasakan. Lanjutan",positive
Lomie yang awalnya kental kuahnya tp setelah diaduk jd encer.rasanya gurih bgt.bsk mau balik lagii ke bandung.,positive
"Kami direkomemdasikan oleh teman untuk makan disini. Tempatnya mudah dicari. Kami memesan Lomie. Disajikan di mangkok yang lumayan besar dengan porsi yang penuh dan banyak. Saya suka sekali dengan tekstur mie dan pangsit rebus yang lembut dengan rasa kuah yang sederhana. Benar-benar lezat. Tempat ini sudah buka dari pagi. Kami kesini sekita jam 9 untuk sarapan, dan pengunjung juga sudah. Lanjutan",positive
"Salah satu menu andalan di pujasera imam bonjol. Tempatnya selalu penuh, dan kebanyakan memesan lomienya. Kuahnya sangat kental, namun lama kelamaan akan encer. Rasanya kuat sekali dengan ebinya. Isinya standar, seperti baso dan siomay. Yang saya tidak suka paling hanya kursinya yang tidak terlalu nyaman",positive
"Saya tau tempat ini gara2 salah satu iklan kecap maknyoss, padahal saya tinggal dibandung tapi baru tau tempat ini hehehe.udah gitu kalo beli perlengkapan bayi dan anak untuk kado selalu ke jalan ini. Beneran pas coba ini lomie yang paling enak yang ada di bandung. Porsinya lumayan besar, mie nya kenyal dan enak, kuahnya kental dan rasa ebinya pun terasa. Lanjutan",positive
"Imam bonjol merupakan tempat makan berbagai macam makanan, selain lomie juga ada siomay dan Clemens yang memiliki harga cukup terjangkau, salah satu yang menonjol disini adalah Lomie yang cukup menggoyang lidah, salah satu lomie terbaik di Bandung meskipun saya lebih menyukai Lomie di dekat SMU 20 Bandung",positive
"Saya sering kesini waktu kuliah sampai sekarang belum menemukan pesaing Lo Mie yg memiliki keunikan citarasa yang sama. Lo Mie ini adalah mie yang di atasnya diberi setumpuk kangkung segar, disiram kuah seafood mental yang manis gurih, dan diberi suwiran halus daging ayam. Hmmmmm sedap ! Lokasinya di belakang RS St Borromeus dan jalannya satu arah. Pokoknya tombo kangen Bandung. Lanjutan",positive
"Ini merupakan salah satu tempat makan gabungan kaki lima yang ada di jl Imam Bonjol Bandung. Tempat ini terdiri dari banyak penjual makanan dan minuman, tetapi yang terkenal adalah hidangan Lo Mie nya dengan kuahnya yang kental. Tempat ini cocok untuk dikunjungi ketika waktu makan siang sampai sore. Tempatnya cukup terpencil dan sedikit sulit mencari tempat parkir ketika waktu makan. Lanjutan",positive
