content,polarity
"Jack Runner Roastery dekat dengan tempat kami menginap di Harris Hotel Ciumbuleuit. Dengan kondisi jalanan yang macet di saat long week end, memutuskan kami untuk ngopi dekat hotel saja. ternyata jack runner merupakan pilihan yang tepat. kopi nya enak dan juga fetuccini alfredonya juga nikmat. dekorasi jack runner juga sangat unik, terdapat motor besar di dalam area kafe. yang perlu. Lanjutan",positive
"kalau kesini itu wajib coba nasi gorengnya, ada kulit jeruknya tapi ngga bikin pahit. rasanya nagih banget! cocok buat kantong mahasiswa yang pengen nongkrong-nongkrong, ada wifi dan tempat main di lantai atas. kopinya lumayan enak.",positive
"Kami ke sini karena letaknya berdekatan dengan hotel Harris Ciumbuleuit tempat kami menginap. Memang sejak awal menginap kami sudah mengincar akan ke tempat ini. Suami saya penyuka kopi penasaran untuk mencoba kopi di sini. Jack runner melakukan roasting kopinya sendiri (memasak kopi hingga siap digiling), wanginya semerbak memenuhi cafe ini meski kami duduk di teras atas. Kami ke sini untuk. Lanjutan",positive
"Awalnya saya hanya sekedar 'iseng' ingin duduk sejenak, setelah berjalan kaki menyusuri turunan Jalan Ciumbuleuit. ""Sepertinya tempat ini menarik"", ujar saya dalam hati sambil mengamat-amati tempat ini dari seberang jalan. Dari luar, posisi tempat ini sebetulnya memang relatif 'biasa saja' (meskipun fasad bangunannya tampak hangat dan mengundang), tetapi begitu masuk, perasaan saya awalnya untuk mencoba, langsung terjawab dengan pelayanan yang. Lanjutan",positive
"Tempatnya cozy, dan baristanya asyik. banyak cerita soal penyajian kopi dan memberikan sample racikan kopi disana. Meskipun cuma pesen cappucino, tapi enak banget. Ternyata meski cappucino tapi kopi hitamnya dicampur antara kopi jabar, bali dan toraja. jadi rasanya lebih pekat.",positive
Kopi creme brule nya sangat baik sekali. Rasa makanan sprt kwetiau goreng dan ayam saus thai juga enak dan porsi cukup besar. Puas dah.,positive
tempat yang sangat cozy. sayang kami datang pada jam2 mau tutup.he.he. tapi kita masih disambut dengan sangat baik. sempat berbincang_bincang dengan roaster nya. pulang dengan 2 bag hasil roastingan mereka. mantaaaaapppppp.!!!,positive
"kopinya enak dan sangat terjangkau, makanannya enak, wifinya kenceng. cocok buat ngerjain tugas, atau ngobrol santai. ada mainan di lantai dua, dan meja buat anak - anak. desain tempatnya bagus :)",positive
"Sebenarnya saya datang ke sini tanpa rencana sebelumnya. Kemudian barista memberikan saya secangkir kopi, dan terdapat kertas kecil menerangkan tentang kopi. Ia dengan menyenangkan bercerita tentang kopi, dan membuat saya mencoba biji kopi yang baru panggang. Mereka juga memiliki mesin pemanggang kopi yang menjadikan ruangan harum luar biasa. Saya juga mencoba makanan mereka, rasanya enak tetapi kopi mereka lebih enak.",positive
"ketika datang pertama kali saya kesini cukup membuat perasaan nyaman dari interior cafe nya. berkonsep dari kayu cukup nyaman untuk dilihat, saya suka kopi disini awalnya saya di referensikan oleh teman saya untuk kesini dan pada akhirnya saya mengujungi tempat ini. jika kesini pesan kopi cold drip , cremebrullee , kopi dengan metode V60 cukup asyik , disini cukup komplit. Lanjutan",positive
"cafe ini cukup unik, dengan tempatnya yang tidak begitu besar, tapi memberikan pelayanan yang besar, anda bisa mencoba nasi gorengnya bagi yang tidak suka western food, kopinya punya taste yang berbeda, walaupun saya sering menikmati kopi dibeberapa daerah untuk yang satu ini lumayan menurut saya. harganya juga masih dlm taraf normal.",positive
