content,polarity
"Bakso malang yang paling terkenal yah bakso malang karapitan, BMK yang di jl merdeka ini letaknya di samping gramedia. selain itu, di mall2 juga udah banyak BMK kaya di ciwalk, dll.",positive
Disini ga cuma ada baso aja. Rasanya lumayan lah. Soal harga rada mahal. Tempatnya bersih dan nyama,positive
"Selain bakso, di sini ada berbagai macam menu. Rasanya enak tetapi harganya lumayan untuk anak kosan. Tempatnya bersih dan designnya modern, sama seperti cabang BMK lainnya.",positive
"Salah satu nama jalan di kota Bandung yang terkenal dengan dunia kulinernya? ya jalan Karapitan ! Karena itu dengan tuntutan kreatifitas kuliner, maka muncullah Bakso Malang Karapitan dengan singkatan BMK. Rasanya cukup khas, variasinya banyak, dengan bermacam aneka minumannya pun menjadi tujuan kuliner Bandung yang cukup memadai. BMK ini sudah banyak cabangnya, baik di dalam kota maupun diluar kota Bandung. Lanjutan",positive
Bakso Malang Karapitan memberikan kebebasan pilihan kombinasi menu dan bumbu sesuai selera masing-masing pengunjung termasuk volume hidangan yang bisa disesuaikan dengan minat masing-masing. Aroma dan rasa kuahnya sungguh mengundang selera.,positive
Lokasi di tengah keramaian kota menu makanan biasa biasa dan tendensi untuk simple dan plain namun tempat lumayan buak nongkrong melihat lihat banyaknya anak muda sambil istirahat sejenak,positive
"kalau makan disini rasa kuah basonya mantap tidak berlemak,,jadi tidak terlalu jijik.udah gitu basonya juga kenyal dan enak.recomended deh",positive
"saya kesini bersama teman-teman saya, di BMK ini saya memilih nasi goreng dan es teh manis. untuk rasanya lumayan, tidak ada yang istimewa.harganya sekitar 20 ribu untuk nasi goreng, standar restoran lah. cocok untuk bersantai kalau abis jalan-jalan di sekitar jalan merdeka.",positive
"Bakso Malang Karapitan, letaknya persis di seberang pusat perbelanjaan jln merdeka, resto menyediakan berbagai jenis makanan selain bakso, juga tersedia bakwan dsbnya, makanan khas tradisional Indnesia, cocok di lidah hemat di kantong.",positive
"Bakso malang karapitan ini termasuk fav saya kalau ke bandung tp biasa makan di jalan karapitan yg rasanya jauh lebih enak beda ama tempat lain, sehabis makan sembari menunggu istri berbelanja terlihat kecoa yg berkeliaran waduhhhhh . kebersihan harus benar2 diperhatikan kalau sebelum makan tau ada kecoa udah pasti gak bakalan makan deh",negative
"Kuah baksonya terlalu asin menurut saya. Masih enakan yang dijual keliling di Malang. Tapi tempatnya bagus buat menjamu teman. Ada di banyak lokasi dan selalu ramai. Selain bakso juga menyediakan capcay, nasi goreng dan lain-lain yang menurut saya justru lebih enak.",positive
