content,polarity
"Menunya banyak pilihan, harganya juga terjangkau. Mau sensasi pedas, coba level tingginya yaa. Tempat ini selalu ramai dikunjungi anak muda.",positive
jigoku ramen itu pilihan menunya banyak banget dan harganya juga cukup murah. apalagi buat mahasiswa cucok dehhh. kalo mau kesini siap-siap aja antrin soalnya banyak banget fansnya. makanya kalo ga mau antri pas buka langsung aja kesini. rasanya enak minumannya juga asik seger. yang ga enak cuman toiletnya kadang bau dan ga bersih.,positive
"Kesini karena penasaran dengan restoran tematik kaya jigoku ramen. Dateng di tempat jam setengah 6, ternyata udah antri sampe harus nunggu sebagai waiting list sampe sekitar 1,5 jam :D Begitu masuk ternyata langsung disambut ama pocong disudut ruangan, memang aku dateng pas malem jumat yang temanya horor. Ramen dan kuahnya enak, dan harganya juga murah.",positive
"Bukan org bandung namanya kalau gatau tempat ini. yah tempat ini adalah tempat makan ramen yg pertama dibandung yg menawarkan harga murah dibandingkan tempat lain. Saya adalah pelanggan setia disini, dari sejak kemunculan pertamanya yg tempatnya masih berada di jalan pahlawan sampai sekarang pindah ke daerah cikutra dan telah memiliki cabang, saya masih setia makan ramen disini. Sampai-sampai saya punya. Lanjutan",positive
"jigoku ramen adalah salah satu tempat makan ramen yang terkenal di bandung. daya tarik dari tempat ini adalah selain rasanya yang nikmat, harganya yang ditawarkan juga tergolong murah, mulai dari Rp.9000 sampai dengan RP.23.000. dan yang membuat kita harus waiting list apabila hendak makan di tempat ini adalah adanya berbagai macam konsep hiburan yang berbeda setiap harinya. misalkan setiap rabu. Lanjutan",positive
"Lokasinya cukup jauh dan tidak tersedia parkir mobil. Harga ramen nya sangat2 terjangkau, Big Ramen dgn porsi jumbo hanya 23Ribu saja. Rasanya memang sedikit berbeda dgn ramen di restoran jepang lainnya krn topping nya disesuaikan dgn selera indonesia (siomay kering, tahu isi, ayam suwir, daging sapi) Tingkat kepedasan lv 7 menurut saya masih kurang menggigit. Lain kali saya harus coba. Lanjutan",positive
"kalau soal ramen, tidak usah bingung nyari sana sini, karena jigoku ramen udah paling terkenal seantero Bandung Raya. rasanya gak usah diragukan lagi",positive
"Inovatif, kreatif dan inspiratif adalah kata-kata yang menurut saya cocok disandingkan dengan Jigoku Ramen. Makanan yang disajikan dalam versi jumbo, tampilan menarik dan sangat sesuai dengan lidah orang Indonesia. Setiap saya mengunjungi tempat ini, selalu saja masuk waiting list terlebih dahulu. Promosi via twitter yang heboh dan kocak, membuat setiap orang penasaran untuk mampir dan mengisi perut disini.",positive
"Ini adalah tempat makan ramen favorit saya dan suami. Sayangnya jika datang ke tempat ini saat weekend, antriannya sangat panjang. Sehingga kami lebih sering datang disaat week day, untuk mengindari antrian tadi. Jigoku ramen cukup strategis dan mudah dicari. Terletak di pinggir jalan, sekitar area kampus Widyatama. Harganya pun sangat terjangkau, mulai dari 15 ribuan.",positive
"Sempet beberapa kali nyobain ramen di Bandung, waktu nyoba di Jigoku, langsung suka dan jadi tempat makan ramen favorite di Bandung. Harganya murah, menunya banyak dan unik, ga cuma ramennya aja yang unik, minumannya juga, pokonya beda dari yang lain. Favorite saya adalah virginia sweet cheese. Karena harga yang murah dan ramennya yang enak, tempat ini pasti penuh banget, waiting. Lanjutan",positive
"Pergi kebandung tanpa kuliner rasanya kurang lengkap.kali ini Bandung menawarkan menu ramen yang enak di lidah dan nyaman di kantong, namanya Jigoku Ramen di daerah Cikutra Bandung atau lebih tepatnya berada di jalan pahlawan. Untuk menikmati ramen ini tidak perlu mengeluarkan uang yang besar karena untuk menu ramen yang lezat dipatok harga tertinggi di Rp. 24.000 saja. dan yang unik. Lanjutan",positive
