content,polarity
Ceu Mar ini kuliner malam malam - subuh di daerah bandung. rasanya sebenernya biasa aja. tapi sensasi ngantri dan makan subuh2 nya bikin keinget terus. macem2 sih pilihan lauknya. tapi yang paling enak tentu jeroan2 sapinya. nyammmmmm,positive
"Halo kali ini saya mencoba makan malam di warung nasi ceu Mar, lokasinya di daerah Braga, Bandung. Tempatnya di pinggir jalan namun masakannya sungguh enak dan lezat, makanan khas sunda yang sangat enak. Saya tidak sempat berfoto karena saya makan dilokasi pada saat malam hari, dan warung nasinya dalam keadaan ramai pengunjung.",positive
Cara makan disana: ambil sendiri suka2 .baik porsinya maupun jenisnya. lauknya dangat variatif dengan banyak menu rumahan yang rasanya pas di lidah. Paru gorengnya enak. sangat recommended.,positive
"Kalau tersesat di bandung tengah malam,terus lapar. Warung ini tujuan pertama. Makanannya umum ( masakan sunda ),pilihan menu banyak,pasti salah satu ada yang cocok dengan lidah kita. Nasinya selalu hangat.",positive
"Saya tidak tau persisnya jam berapa warung Ceu Mar ini buka maupun tutup. Beberapa kali saya ke sana memang pada waktu dini hari sekitar jam 1 atau 2 dini hari. Dari beberapa kali kunjungan saya itu, selalu saja ngantri, nggak terlalu lama sih, paling cuma 2 atau tiga menit. Kalau soal masakan sih ya biasa aja ya, cuman ya itu. Lanjutan",positive
Tempat makan yang enak. Karena tertarik dengan beberapa menu akhirnya kalap ambil banyak. Pas bayar cukup kaget. 60 rb.lumayan lah,positive
"ini ceu mar yg di depan braga ga yah?? hehe takut salah. yang jelas waktu itu jam 10 malem kami kelaperan, keluar hotel nyari makanan, bingung karna rata2 di jalan braga cafe tempat nongkrong n hang outs anak gaul semua,sdangkan kami cuma mau makan.heheh.jadi lah kami masuk ke cafe yang terlihat biasa ga hiruk pikuk kaya yg lain persis di. Lanjutan",positive
Saat anda berkunjung ke Kota Bandung dan tengah malam bingung untuk memilih tempat makan dan nongkrong yang santai dapat mengunjungi Warung Ceu Mar ini. Jangan lupa mencicipi Kikil Setannya yang Joss.,positive
"Untuk makananya menurut saya sih biasa aja ya, menu yang disajikan pun berbagai macam seperti telur gulai, semur daging, ayam goreng dan beberapa macam kudapan seperti bakwan dll, untuk harga lumayan mahal ya, tadi makan semur daging di camput dengan sedikit gulai kentang dan tahu plus minum es teh manis seharga 23.000 IDR. Kalau buat nongkrong seh pas banget karena. Lanjutan",positive
"Rasa masakannya lumayan enak, tapi tidak luar biasa. Harga tergolong mahal untuk ukuran warung di pinggir jalan.",positive
"Kabarnya, warung ini berdiri sejak lama sebagai tempat makan para loper koran. Makanya, bukanya malam. Tapi, seiring waktu, warung Ceu Mar terus berkembang hingga seperti sekarang. Dengan konsep warung tenda, pengunjungnya cukup ramai. Menu yang ditawarkan beragam, mulai gule sampai aneka pepes khas masakan Sunda. Kita bisa memilih lauk-pauk yang disukai, lalu bayar, baru makan. Untuk sekelas warung, menurut saya,. Lanjutan",positive
Buat orang bandung cukup terkenal warung ceu mar. Warung yang legendaris karena sudah lama berdiri. Menunya cukup beragam. Bukanya sampai lewat tengah malam. Meski tempatnya biasa banget pengunjungnya cukup ramai karena makanan bisa dikatakan terjangkau semua kalangan.,positive
Ceu Mar adalah warung makan legendaris yang tersohor di kalangan pecinta kuliner malam. Aneka hidangan yang menggugah selera tersedia di sini. Namun harus bersiap untuk merogoh kocek sedikit lebih banyak.,positive
"menyajikan nasi rames dengan berbagai macam menu masakan rumah, buka sampai lewat tengah malam. harus sabar mengantri bersama pengunjung yang lain. Ceu Mar selalu melayani pembeli dengan ramah.",positive
"Typical makanan pinggir jalan yang mahal bgt untuk selevelannya, tapi enak banget dan udah beken banget kayanya, kesini sama pacar, secara dulu pacar tinggal di Bandung kayanya dia udah ngidam banget, awalnya males2an tapi pas nyobain kok enak banget, seumur2 gw blm pernah makan babat seenak itu. :D",positive
"Tempat di tenda pinggir jalan, makanan biasa saja, di sana banyak yang merokok, trus harga makanan selalu berubah ubah walaupun menunya sama, kadang harga bisa murah dan bisa mahal sekali, tidak rekomended.",negative
"Sekali kunjungan saja cukup. Lokasi tidak jauh dari hotel tempat kami menginap di daerah Braga dan warung C'Mar yang kami kunjungi adalah yang di jalan Terusan ABC. Untuk semangkuk sayur sop, nasi, dan bakwan bill yang saya dapat sekitar 37ribu rupiah dan menurut saya terbilang mahal, jika dilihat dari tempatnya yang hanya di pinggir jalan dan cukup berdebu. Saya kurang. Lanjutan",positive
"salah satu kuliner khas dari bandung di malam hari. dekat dengan Jalan Braga dengan makanannya yang enak dan variasinya yang banyak. mulai dari masakan khas sunda, aneka sop, gorengan dan berbagai macam minuma ada di sini. selama di Bandung, tempat ini merupakan salah satu tempat kuliner favorit di Bandung pada saat weekend. tiap weekend, tempat ini selalu ramai dengan pengunjung. Lanjutan",positive
"Tempat sederhana, makanan biasa biasa, hanya karena dekat dengan tempat hiburan malam jl braga makanya selalu ramai tiap malam",positive
"Makanan enak murah meriah dengan pecel ayam atau lele. Sambal lumayan pedas, porsi nasi besar. saya dan anak2 suka",positive
"wisata kuliner malam hari dibandung, tepatnya di cikapundung, area alun-alun asia afrika. Yang terkenal gulai kambing & babatnya. Tempat makanan bergaya prasmanan. Untuk rasa relatif enak. Harga mahal terjangkau. Pilhan menu banyak, ada ikan, daging, sayur, mie, gorengan & minuman. Buka mulai dari sore s/d menjelang subuh. Parkir kendaraan tersedia disekitarnya. Tidak ada WIFI. Bisa makan di area tenda atau. Lanjutan",positive
"makanan dengan porsi banyak dan murah. saya suka dengan makanan dsini. saya pesan lele nasi tahu tempe dan minum, rasanya enak dan porsinya banyak recomended.",positive
"Rumah makan ini buka saat hari gelap atau malam. Berada di dekat jalan Asia Afrika, Braga, kantor PLN dan jalan Banceuy di kota Bandung. Masakannya sederhana, ala Sunda dengan menu segar-segar, namun proses antrinya itu yang membuat orang terus berbaris untuk menikmati makan disini. Sebenarnya menu makanan disini adalah sederhana khas sunda, namun suasananya dan menu yang segar membuat para. Lanjutan",positive
"Ini kali pertama saya makan disini, menu prasmanan ambil sendiri yg disuka, gulai sapinya enak sekali! Pepes juga enak! Harga relatif masih terjangkau dan sambil nonton debat capres rame rame dengan tamu lainnya bikin suasana jadi tambah hangat.",positive
Sayang makanannya sudah tidak seenak dulu. Merupakan salah satu tempat untuk menikmati kuliner malam di bandung. Juga ditunjang letaknya yang strategis.,positive
"Beberapa tahun yg lalu saat saya masih kuliah dan kerja di Bandung, Warung makan ini menjadi salah satu favorit. Namun sekarang sedikit berbeda, karena harganya yang sudah agak mahal meskipun rasanya masih cukup enak.",positive
"Terletak di daerah asia afrika, mudah dicapai dari berbagai tempat. Harga tidak murah, tapi salah satu dari sedikit tempat makan di bandung yang buka hingga pagi hari. Pilihan yang menjadi favorit, gule daging dan babat, kacang merah. Kolestrol, berlemak, tidak terlalu bersih, tapi memang nikmat.",positive
"favorit banget buat anak-anak bandung. walau lokasinya di pinggir jalan dan kecil, tapi selalu ramai. makanannya rumahan banget.murah meriah, enak.",positive
"booming tempat makan yg buka tengah malem mpe dini hari , cobain deh ke Ceu Mar. karena klo mlm lewat situ kyknya tuh rame tereus ampe antri nya panjang tp org pd rela antri sgitu panjang buat makan disitu. udah nyobain ya makanan biasa aja , sy ksana dgn beberapa tmn ( bayar masing-masing ) dgn porsi makanan yg sama. Lanjutan",negative
