content,polarity
"Restauran ini punya nama yang unik, Balibu yang artinya dibawah lima bulan, saat ditanya, petugas restauran mengatakan daging kambing yg menjadi khasnya restaurant ini semua berusia dibawah lima bulan, sehingga dinamanakan Balibu. lucu ya. Sate kambingnya memang enak. variasi makanannya banyak. ada gurame goreng, sop iga, aneka sayuran, etc. suasanya tambah menarik dengan pondokan-pondakan tempat yang privat untuk makan dan. Lanjutan",positive
"Menu se sunda an dengan tambahan sate kambing muda ( BAwah LIma BUlan ). Satenya enak dan dagingnya masih empuk dan tidak bau. Masakan lainnya juga cukup enak. Suasana restonya nyaman dan besar,pemandangannya juga cukup bagus",positive
"Makanannya enak, tempatnya nyaman. Harga makanan relatif terjangkau dan pelayanan cukup cepat dan ramah.",positive
Kalau ke Lembang jangan lupa mampir kesini. Dengan menu andalan sate kambing baru lima bulan (balibu). Sambelnya mantap pedes pake banget.,positive
"Sudah 3x makan di sini. Makanannya khas Sunda, rasa nya enakkkk, gurih, pedas nya pas, suasana nya jg enak, harga sebenernya tdk terlalu mahal; tp krn porsinya kecil jadi harus pesan 2 porsi (jadi mahal).",positive
"sudah beberapa kali makan di tempat ini. Menu gurame dan sate yang disajikan tetap lezat. Saung tempat makan yang disedaiakan sungguh representatif, karena langsung berhubungan dengan tempat main anak-anak",positive
"Saung geulis merupakan salah satu resto khas sunda yang berada di daerah Lembang Jawa Barat. Konsep yang dimiliki resto ini terlihat seperti rumah. letak resto ini pas sekali di dekat pinggir jalan. penataan ruangannya juga original khas bandung banget, dengan lampu yang agak redup - redup mirip di desa. Pelayannya sangat ramah, dan cepat tanggap, dalam menata meja makan juga. Lanjutan",positive
rempah-rempah yang segar dan iga sapi pilihan menjadikan selera makan bertambah seakan ingin tambah dan tidak bosan memesan menu sop iga,positive
"MEnacoba bersantap setelah kembali dari survey tempat di daerah cikole. Adalah kesempatan pertama kami mencoba restauran khas sunda ini. beberapa menu kita pesan dan cukup bervariasi. Setelah disiapkan dalam beberapa saat, hidangan langsung kami santap. Untuk rasa cukup dapat dinikmati meskipun tidak luar biasa. Kami rekomendasikan adalah minuman-minuman yang bernama aneh seperti stronjer (?) strawberry + Jeruk, atau Sirsak+Jeruk yang. Lanjutan",positive
"Restoran ini menyediakan berbagai makanan Sunda yang merupakan salah satu ciri khas Indonesia. Letaknya yang strategis sejalan dengan obyek wisata Tangkuban Perahu memudahkan Anda untuk menjangkaunya saat berlibur dengan keluarga. Semua perabotan di design ala Sunda yg kental dengan pilihan indoor atau outdoor, sehingga memberikan Anda pilihan untuk menikmati hidangan dengan suhu sejuk kota Lembang, Bandung. Sudah banyak kalangan artis. Lanjutan",positive
