content,polarity
"Tempat untuk istiraht sehabis belanja di Pasar Dago, lalu dengan menu gocengnya yang membuat saya betah disini. Serta acnya yang sejuk dikala suasana siang hari.",positive
"Seperti KFC pada umumnya, disini ruangannya cukup besar, ada ruang khusus acara Ulang Tahun, di dalamnya juga ada tempat bermain anak, lumayan buat yang bawa anak.",positive
"makanan siap saji ini yaa kfc menawarkan ciri khas ayam yang renyah dan gurih. selain ayam ada juga beragam jenis minuman yang khas seperti ice cream floating yang dipadukan dengan sirop serta topping jelly yang kenyal. ada juga makan pelengkap lainnya, burger, kentang gireng dll. restoran makanan untuk sarapan salah satunya adalah bubur dan bagi anda pecinta kopi pun tentunya. Lanjutan",positive
"salah satu andalan menu KFC yang suka itu adalah menu gocengannya, atau engga rice box. selain murah meriah, enak juga. saya paling sering beli lychee floatnya.",positive
enak. andalan untuk makan tengah malam saat di daerah dago. makanan default. donutnya coklatnya enak juga,positive
"KFC Dago merupakan alternatif tempat makan 24 jam yang ada di sekitar dago. Lokasi sangat strategis satu bangunan dengan Superindo Dago, dan bersebrangan dengan Plaza Dago. Selain KFC, terdapat KFC coffee untuk yang berniat bersantai sambil minum kopi. Menu yang ditawarkan standar ala KFC. Tersedia Wifi, hanya sayang colokan listrik kurang banyak, jadi susah untuk mencharge laptop.",positive
KFC Dago seringkali menjadi penyelamat di saat lapar saat saya menginap di sekitaran hotel di dago. everyone loves KFC. so. KFC di lokasi ini menyegerakan anda untuk memesan saat anda kelaparan di dalam hotel.,positive
kfc dago untuk yg sedang mengalami kemacetan boleh lah mampir ke kfc dago untuk mengisi perut anda dengan amenu ayam kentuckynya +nasi +sup cream ( tergantung selera).dan tempatnya strategis.,positive
KFC Dago merupakan restoran fast food berlokasi strategis di tengah kota Bandung serta memiliki suasana yang nyaman sebagai tempat nongkrong dan tempat parkir yang luas. Adapun menu favorit yang biasa dipesan di sini adalah ayam goreng krispy yang sudah terkenal enak.,positive
"Di kfc ini tempatnya luas, jadi jangan takut ga dapet tempat. Kfc ini ada wifi gratis nya, jadi abis makan bisa wifi an deh. Satu hal yang bagus di tempat ini adalah wifi nya, karena kenceng banget. Untuk makanan sih standard dengan kfc lainnya.",positive
KFC di dago ini tempatnya strategis sehingga sangat cocok untuk kumpul-kumpul dengan teman sambil menikmati french fries dan minuman yang dijual disini.,positive
"tempatnya strategis di jalan dago makanannya sama seperti KFC lainnya ayam gorengnya crispy, gurih dan enak",positive
"KFC dago mungkin sama seperti KFC yang ada di seluruh wilayah Indonesia, baik menu, pelayanan serta harga, namun yang menjadi nilai plus adalah tempat ini berada di lokasi yang sagat strategis di pusat kota bandung sehingga akan efektif sebagai tempat nongkrong gaul, memanjakan perut sekaligus memanjakan mata anda.",positive
