content,polarity
"Hallo kali ini saya akan mencoba untuk makan di Giggle Box Ciwalk Bandung, Jawa Barat, Indonesia. Restoran yang lumayan bagus dan nyaman, pelayanan yang cukup baik. Untuk makanan dan citarasa lumayan cukup enak, suasananya sangat nyaman apalagi jika duduk di dekat jendela. Tempat nya saya suka, namun untuk musik yang di mainkan terlalu keras, jadi kepala pusing. terima kasih.",positive
Makanan disini itu sungguh sangat lezat dan harganya pun standar. Tempatnya sangat nyaman. Cocok untuk saya dan teman yang suka berlama-lama ngobrol sehabis makan. hehe,positive
"giggle box ialah restoran yang menawarkan berbagai macam dan ragam olahan steak yang beraneka ragam yang anda serta teman teman wajib mengunjungi ini, sekedar bersantai ataupun reunian memanglah tempat ini paling cocok untuk dikunjungi.",positive
"waktu itu beli beef brisket schnitzel dan rasanya biasa. tempatnya ok, kurang nyaman karena selesai makan, piringnya cepat sekali diambil untuk dibereskan.",positive
"Taste was excellent, semua yg kami pesan rasanya enak! Ice americano was good. But for appearance., sepertinya perlu 'didandani' agar sama enak dengan rasanya. Music nice. Membentuk suasana. Sound system-nya bagus. Tempat nice. Service nice. Sayang ga ada tabasco.",positive
"bagi anda yang ingin menikmati iga dengan cara lain? iga garang asem gigle box adalah cara yang tepat untuk anda nikmati. segar dengan kuah asamnya membuat perut lapar anda menjadi bahagia.hahahha. saya doyan banget, bahkan kebangetan doyannya dari pada harus di bakar Iganya.",positive
pelayanan yang ramah dan bersih. menu makanan variatif mulai dari tradisional dan western. nuansa untuk nongkrong asik dan romantis,positive
"rasa yang ditawarkan tidak wah, tapi cocok di lidah, harga cukup terjangkau. cuma 2x kesini dengan makan menu yang sama rasanya berbeda. walaupun sama2 enak tapi yg pertama lebih enak. semoga teknisnya diperbaiki lagi. servisnya mantab",positive
"Giggle box sering jadi pilihan resto saat kami ke Ciwalk/ Festlink. Tempatnya sendiri cozy & nyaman untuk nongkrong dan mengobrol. Menunya lumayan variatif, dari fusion lokal-western tersedia. Banyak pilihan minuman unik juga yang bisa dicoba. Porsi lumayan pas & rasanya oke. Hanya pelayanan harus konsisten walaupun ramai harus bisa terus menjaga kualitas.",positive
"sayaa tadi mampir ke restaurant ini , mungkin letaknya strategis , pertama masuk di kasih senyuman manis sama mba"" yang ramah , disitu pun saya memesan chiken grill , es thai tea dan super duper ice cream . yang saya mau komentari , (pendapat) sauce nya agak di banyakin karna terlalu sedikit , dan juga salad nya kurang banyak ,. Lanjutan",positive
"Sore tadi mampir ke Giggle bo. Yang di Ciwalk. Posisi berada di Young street atau wing kiri dari mall utama, di lantai 2 diatas Jonas photo. Ada dua tempat, yang satu didalam dengan deretan sofa warnacoklat gelap, dan dekorasi ruangan yag didominasi warna coklat, satu tempat lagi ada di teras menghadap langsung ke jalan mal yang didominasi warna broken white. Lanjutan",positive
"Makanannya enak harganya murah, yang lucu adalah interiornya unik dengan gaya eropa, dan lampu lampu gantung yang unik, serta lukisan di dinding yang tertata apik, harga makanannya terjangkau",positive
"saya berkunjung dengan teman-teman untuk makan disini. Rasanya enak, dan pelayanannya cepat. Harganya juga cukup terjangkau.",positive
Setiap Giggle Box memiliki desain yg tematik dan cukup menarik shg bisa dijadikan pilihan utk nongkrong bersama teman2. Rasa yang ditawarkan standard namun haragnya relatif terjangkau. Menu favorit saya di sini adalah grilled chicken.,positive
"Kumpul bareng dengan teman-teman eks kuliah di Giggle Box ternyata merupakan pilihan yang tepat. Tempatnya luas, adem, dan pilihan menunya cukup lengkap dengan kisaran harga 7 sampe 30 ribuan. Untuk appetizer, menu fruit salad cocok sebagai makanan pembuka. Segar rasanya menikmati potongan apel malang, nanas, apel fuji, honeydew melon dan campuran mayonnaise. Apalagi disajikan diatas kulit lumpia yang sudah digoreng. Lanjutan",positive
"Interior restoran sangat bagus, cocok untuk tempat berkumpul dengan teman2. Terlalu sempit untuk skala restoran yang cukup ramai. Saat itu harus menunggu yang lain selesai. Makanannya tidak ada yang spesial. Pancake oreo, nasi goreng, banana split rasanya biasa saja.",positive
