content,polarity
I love ur pancakes. enakkkkk soft bgt di lidah trus rasa nya pas tidak terlalu manis dan cukup juga isian toping nya.,positive
"Nyobain yang di PVJ, pesen Crab Pasta. Agak amis, pas dateng spaghettinya dingin terus minta tolong diangetin lagi. Kayaknya kalo siang perlu nyalain lilin karena kemarin pas kebagian banyak lalat. Ice lychee tea enak, cuma esnya kurang banyak sedikit lagi. Price ? Untuk spaghetti kisaran 70ribuan, sedangkan ice lychee tea sekitar 30rban",positive
Tempatnya nyaman untuk duduk berlama-lama karena penataan dan konsep tempatnya bagus. Makanan cukup enak dan harganya pun cukuplah dikantong. Pelayanannya bagus dan orangnya ramah-ramah.,positive
Cafe ini cocok buat nongkrong bersantai di Mall PVJ. Pancakenya enak. Hanya saja pelayanan sangat lama dan pelayannya bermuka masam dan jutek.,positive
Tempatnya OK di PVJ Bandung . Cocok untuk nongkrong anak muda dan mereka yang berjiwa muda. Menunya juga OK terutama hidangan andalan pancake dan Waffle. Harga lumayan !,positive
"pancakenya enak, tidak terasa bau tepungnya, selain pancake ada menu lainnya. personal favorit : burgernya. porsinya besar, harga sebanding dengan rasa.",positive
Tempatnya cozy. Cocok buat yg pengen nongkrong2 cantik Pancake nya enak bangeetttt Paling enak duduk di meja luar Cuma sayang pelayannya agak jutek.,positive
"awalnya gak begitu tertarik dengan makanan ini, krn diaja temen ya udahlah ikut aja makan disini, eh gak taunya sekarang jadi makanan fav.pancake nya punya cita rasa yang luaaar biasa.yang pasti enyaaak bangeettt",positive
"Cafe ini sangat cocok untuk nongkrong ketika jalan-jalan ke Paris Van Java, pancake nya enak dan menu minumannya bermacam-macam, yang pasti harganya masih cukup terjangkau.",positive
"Pancakenya enak banget di sini! Selain itu, saya juga coba salmon steaknya, enak juga. Menurut saya restoran ini termasuk yang saya akan kunjungi lagi. Anak-anak saya suka banget pancakenya. Bisa bikin kartu diskon di sini, cuman berhubung saya lupa terus ngeprint konfirmasi jadi belum diambil-ambil hahaa. anyway, recommended deh. Kalau tempat duduk dan meja sich belum optimal kenyamanannya masih bisa. Lanjutan",positive
"Tempat makan yang menyenangkan, interiornya unik dan suasananya asik. Menunya variatif, pancakenya enak dan tidak monoton. Porsinya cukup besar dan mengenyangkan. Selain pancake ada menu pasta juga bila ingin makan yang lain. Walaupun harganya cukup mahal, tapi bisa dibilang sepadan dengan kualitasnya",positive
"Pancious menyediakan pancake dan makanan italia dgn rasa yang sangat oke! Porsi yang diberi juga gede, jdnya gak rugi banget!",positive
recommended banget untuk para pecinta kuliner. silahkan datang kemari. dijamin enak. harga juga cukup kompetitif dibanding yang lain.,positive
Paduan dessert Waffle yang bersaus caramel dan pisang membuat lidah termanjakan ditambah kesegaran fruit punch serta suasana PVJ yang sangat romantis,positive
"apabila anda penikmat pancake, anda harus mencoba makan disini. cobalah makan pancake manggo atau greentea. sangat enakkkkkk sekali. harga tidak begitu mahal. namun yang mahal adalah minumannya. namun untuk harga, makanan dan juga pelayanannya sangat bagus sekali dan anda patut coba. tempatnya sangat cozy sekali baik bersama teman, keluarga maupun sama pacar. selain pancake adapula makanan lainnya yang patut anda. Lanjutan",positive
