content,polarity
"Ws cocok buat para pelajar atau mahasiswa karena harganya sangat ringan di kantong cukup murah dan rasanya juga lumayan enak,tapi sayang mungkin karena di malam minggu ramai pengunjung jadi pelayanyaya cukup lama nunggu pesanan hampir satu jam",positive
"Waroeng steak and shake, salah satu tempat makan favorit keluarga kami, selain enak harganya terjangkau,dulu kalo pesan makanannya agak lama datangnya tapi sudah 2 kali ini pesanan kami cepat datangnya ga sampe 10 menit dah bisa langsung menikmati menu pesanan,semoga layanan tetep terjaga.",positive
Steaknya lumayanlah enak. Ws cocok buat pelajar atau mahasiswa hehehe soalnya harganya terjangkau. Untuk makanannya oke kok.,positive
"Nyari steak murah ya ini, harganya terjangkau dan rasa juga lumayan. Menu favorite saya tenderloin double + extra sauce. Milkshake float nya mantap, jus alpukatnya juga gak kalah enak",positive
"Steak murah, cocok untuk yang budgetnya kecil tapi pengen makanan murah dan kenyang, selain steak juga makanan lainnya enak dan murah. Suasananya lumayan ramai, biasanya banyak keluarga atau anak sekolahan.",positive
"Waroeng Steak and Shake patut anda coba jika anda ingin menikmati steak dengan harga mahasiswa alias harga murah. Memang rasanya masih dibawah restoran-restoran steak mahal, tapi itu tentu saja wajar melihat perbedaan harganya. Restoran ini kebanyakan dikunjungi oleh anak muda terutama mahasiswa. Lokasi cukup mudah diakses. patut anda coba!",positive
Waroeng steak ini sangat terjangkau harganya Saya sarankan beli blackpaper steaknya Rasanya pedas juga Tapi dagingnya lebih tipis dari restauran steak yang lain Untuk minuman mending beli milkshakenya,positive
"Warowng Steak & shack enak lah steak nya , tapi kecil dan harga pun murahhh.banyak anak-anak muda pada nangkring di cafe ini",positive
Waktu mengunjungi Bandung saya menyempatkan diri untuk menikmati makan malam di Warung Steak karena lokasinya tidak jauh dari hotel tempat saya menginap. Menu yang saya pesan adalah daging steak terderloin dengan minuman milk shake dan secara umum menurut saya cita rasa makanannya lumayan enak dan harganya juga ekonomis.,positive
"ke bandung klo ga makan batagor serasa ga makan apa2. dari jaman saya sekolah dulu sampe sekarang, rasanya tetep sama. Enaaaakkkkk.",positive
"Salah satu kedai steak yang terkenal dari dulu karena harganya yang bisa dibilang sangat murah untuk ukuran steak. Pilihannya cukup banyak, dari ayam, sapi hingga seafood. Milkshakenya pun tidak kalah enak",positive
Waroeng Steak dimana kita dapat makan steak dengan harga yang cukup murah dan rasa yang enak. Milkshake merupakan minuman favorit disini. Yummyy,positive
"Waroeng Steak and shake ini merupakan tempat makan favorite, harga yang ditawarkan masih cocok dengan kantong mahasiswa. Untuk menu sebaiknya makan ditempat. Salah satu menu favorit saya adalah steak original, dan minuman favorit saya adalah mix juice apel, wortel dan jeruk yang tidak disaring. Untuk lokasi juga mudah di jangkau",positive
"Salah satu makanan favorit saya adalah chicken steak. Saat berkunjung ke kota dan lagi kepengin makan steak ayam maka segera meluncur ke WS terdekat, Selain rasanay lezat, harga juga murah. Cocok untuk ramai ramai.",positive
"buat pelajar yang pengen steak pasti kesini, murah sih. Kebanyakan steaknya di goreng pake tepung gitu sih. Lumayan lah asik buat ketemu kangen sama temen",positive
