content,polarity
Tempatnya rame banget dan penuh. Saya dan kawan- kawan sempet masuk waiting list 45 menit. Pedasnya ada beberapa level yang terendah level nol itu menenangka dan yang teratas level 4 itu mematikan cukup unik. Bagi saya rasanya biasa aza karna tidak terlalu special. Minumanya juga biasa gak terlalu banyak varian.,positive
"Nasi gorengnya banyak variasi, mungkin lebih ke rasa khas nusantara dengan banyak rempah khas Indonesia. Level pedasnya juga bervariasi. Namun tempatnya yang disayangkan kecil.",positive
"Suka makanan yang menantang ?. Yuk cobain ini ! Lokasinya di Dipati Ukur deket Unpad dan STIKOM. Wow, makanya tempat ini digandrungi mahasiswa dan muda mudi. Ajak pasanganmu kesini yuk. Harganya cocoklah buat kantong mahasiswa",positive
"Bagi Kalangan pecinta makan pedas mungkin Nasi goreng mafia ini sangat cocok, tempat makan ini sangat terkenal dengan nasi goreng levelnya.biasanya para anak muda sekitar yang sering sekali makan di tempat ini.Tapi tempat ini cocok juga untuk keluarga, disini juga menjual macam-macam sambal yang dibuat sendiri, apabila sedang ada di Bandung, mampirlah ke nasi goreng mafia di Jl. Dipatiukur no. Lanjutan",positive
"nasi goreng cita rasa bahan rempah yang diolah sangat luar biasa yang tidak ada dua nya, harga cukup dikantong",positive
"Nasi goreng tak biasa ini, enak rasanya. Rempahnya terasa banget. Harga bersahabat dan sudah buka di banyak cabang.",positive
"Sejak awal berdiri, dapat dikatakan saya sering makan nasi goreng ini, baik yg di cabang DU, Setiabudi ataupun BIP. Dulu sekali ketika awal dibuka, setiap saya memesan nasgor pelayananya sangat lama pesanan saya datang sekitar 1 jam setelah saya pesan dan aroma ketika mengoreng nasgornya pun selalu membuat tenggorokan tidak enak dan jadi batuk2. Namun sekarang sudah tidak lagi, pesanan. Lanjutan",positive
"minggu lalu sy mkn nasi goreng brandal.rasax enak bgt aplgi pke tambhn telur ceplok, kikil plus krupuk.minumx es teh jumbo haha",positive
Buat kalian yang sangat menyukai masakan berasa rempah rempah dan pedas kalian harus coba nasi goreng mafia,positive
"Saya memesan Nasi Goreng Brandal seharga Rp 17.500 dengan tingkat kepedasan Menggoda (level 1). Brandal ini kaya sekali dengan rempah dan aroma dari daun kemanginya harum sekali. Level Menggoda saja sudah pedas bagi saya. Banyak sekali pilihan topping tambahan untuk nasi goreng, sperti telur, kikil, dan lain-lain.",positive
"Ini nasi goreng yang ga mainstream. Zaman sekarang rasa nasi goreng dimana mana sama, tapi ini beda. kerasa banget rempah rempahnyaaaa. Dengan level pedas yang bisa dipilih. Deket kampus jugaaa",positive
"Apa bedanya nasi goreng mafia dengan nasi goreng pada umumnya? Sebagai pencinta nasi goreng yang sudah mencoba berbagai macam jenis nasi goreng dari yang murah dipinggir jalan sampai di restoran yang mahal, tentu nasi goreng mafia ini membuat penasaran dan wajib untuk dicoba. Setiap menu diberikan nama yang unik juga, ada yang namanya nasi goreng berandal, gangster, yakuza,dll nama-nama yang. Lanjutan",positive
"Setiap bulan saya pergi makan ke restoran ini. Dengan harga yang cukup terjangkau (15-30 ribu/orang) anda dapat menyantap berbagai jenis nasi goreng rempah yang sangat enak. Tentukan tingkat kepedasanmu, dan rasakan bedanya dengan nasi goreng lainnya. Tempatnya cukup ramai di malam hari dan cukup luas. Namun tempat parkir yang terbatas adalah kendalanya. Tidak disarankan membawa mobil kesini, atau anda harus. Lanjutan",positive
Nasi goreng pedas dan rasa dari rempah-rempahnya terasa pas dilidah. Nama dari menunya juga unik. Hanya tempat makannya agak kurang bersih.,positive
