content,polarity
saya salah satu penggemar mi aceh. mi aceh terkenal dengan makanan yang kaya bumbu rempah. saat makan disini ras pedasnya kurang nendang. kurang hot. tapi untuk rasa enak di lidah. harga cukup terjangkau.,positive
"Sesuai namanya, gampoeng aceh ini meyajikan makanan khas aceh. mie aceh dan roti prata nya pas dilidah. mie acehnya kaya bumbu",positive
"Seperti yin-yang,hidup itu harus seimbang. Bagi anda yang ingin menikmati kerasnya kopi aceh sekaligus menikmati lembutnya rasa udang yang dimasak dengan suhu yang tepat sehingga seperti meleleh dilidah ketika anda memakannya, berarti Anda harus mendatangi tempat ini. Menu kopi aceh dalam segala jenis penyajian dan mie goreng aceh special adalah menu juara yang sangat saya sarankan untuk dicoba. Bagi yang. Lanjutan",positive
Masakanny merah kaya yg pedas padahal ga terlalu pedas karena ga pake cabe rawit yah kalu dari harga ga mahal2 banget masih terjangkaulah,positive
"Lokasi sangat strategis di pusat kota Bandung. Tempatnya cukup ramai dikunjungi. Roti cane nya enak, namun nasi goreng agak biasa saja. Ada layar besar yang sering menampilkan pertandingan bola.",positive
"Sebagai penyuka masakan Aceh, Gampoeng Aceh Bandung merupakan restoran favorite saya. Lebih enak dibanding resto aceh di kota lain. Letaknya sangat strategis.",positive
"salah satu restoran aceh yang layak untuk dicoba, terletak di kawasan dago bandung yang sangat gampang untuk dicari karena tulisannya lumayan besar. jangan lupa untuk memesan mi goreng dan mi rebus nya. untuk minuman cobalah es timun.",positive
"Tempat yang nyaman buat nongkrong malam-malam sekitaran dago. Menjadi tempat yang dituju jika ingin nonton bola bareng. sangat memfasilitasi dengan proyektor gede, ditambah menu makanan yang mendukung seperti kopi saring, teh tarik dan mie aceh yang pedas.",positive
"Restoran ini juga terletak di tempat stategis yaitu jalan Dago. Tepatnya di sebelah Hotel Holiday Inn. Sesuai judulnya, restoran ini menyediakan berbagai menu masakan aceh. Favorit saya adalah mi aceh. Tapi saya biasanya hanya kuat makan setengah porsi karena rasanya yang pedas dan bumbunya yang menyengat. Harga standar tapi tidak terlalu mahal. Jangan lupa coba roti canainya",negative
"Terletak tepat di sebelah holiday inn, restoran ini menawarkan menu masakan aceh, saya mencoba menu gulai kambing disini dan ternyata rasanya enak juga, suasana cukup nyaman dan pelayanan juga bagus.",positive
Saya asli bandung. Kuliah di bandung. Beberapa kali menghabiskan malam bersama teman setelah main futsal ya makan2 snack khas aceh disini Positif : 1. Makanan khas aceh nya oke. Roti canai nya enak 2. Harga standar lah 3. Enak buat makan sambil mgobrol panjangggg sampe subuh 4. Tempatnya di jalan dago 5. Cocok banget buat solaturahim sama temen2 Negatif :. Lanjutan,positive
"Saya bertemu teman-teman di sini dan bersantap beramai-ramai selepas petang. Aneka kuliner dengan cita rasa Aceh yang kental membuatnya sangat unik dibandingkan berbagai rumah makan dan restoran di sepanjang jalan Dago. Suasana rumah makan ini terbilang romantis, berlampukan bohlam kuning dan berhias lilin-lilin kecil. Sebagian meja tamu berlokasi di luar ruangan, suhu Bandung yang dingin membuat kami tak segan memilih. Lanjutan",positive
Makan seporsi roti cane ama mie aceh baru deh terasa kenyang mie goreng acehnya enak banget gak kan terlewat mampir di sini kalau ke bandung,positive
"Either food or beverage. sesuai dengan harga yang dibayarkan dan enak menurut saya. saran untuk pemilik, dibuatkan tempat khusus untuk non smoking table, agak susah kalo datang bawa anak kecil.",positive
Rasa makanan sudah dimodifikasi namun masih cukup lezat di lidah. Kekurangannya adalah harganya terlalu premium.,positive
"Gampoeng Aceh adalah salah satu kedai makanan Aceh yang pertama di Bandung. Dimulai dari kedai kecil, sampai sekarang menjadi restoran yang cukup besar di kawasan Dago. Meskipun sekarang telah menjadi restoran yang cukup besar dan bagus, konsep restorannya masih sama, kedai sederhana yang tidak mahal, rasa enak, dan tempat yang cocok untuk berkumpul bersama teman. Saya sangat suka roti canai,. Lanjutan",positive
"Rasa nasi goreng yang nggak umum, lumayan enak dilidah, ada kaya' rasa bumbu Padang gitu, suasana enak, nyaman, ada hotspot, buka 24jam cocok buat kongko - kongko",positive
Restoran ini bersifat semi outdoor sehingga ketika hujan besar seringkali anginnya berhembus menerpa pengunjung yang sedang makan di dalamnya. Makanannya standar dan tidak terlalu spesial. Tidak tersedia baby high chair untuk balita duduk. Pengunjung bebas merokok di mana saja sehingga pengalaman makan menjadi tidak nyaman.,positive
"Selalu menyempatkan diri untuk mampir di Gampoeng Aceh, baik itu untuk sekadar makan atau mengobrol bersama teman. Menu wajib bagi saya adalah mie aceh dan martabak, ditambah kopi hangat. Lokasinya dekat dengan kampus, pusat perbelanjaan (BIP dan BEC) serta mudah dicapai oleh transportasi publik. Buka 24 Jam, pernah berkunjung pukul 3pagi dan masih ramai oleh muda-mudi Bandung. Begitu menyenangkan.",positive
