content,polarity
"Salah satu tempat makan baso paling rame di Bandung. Tempatnya bau sapi banget. Favorit menu disini tulang rusuk.mantappzz Kekurangannya cm tempat yg kurang sirkulasi dan meja berdekatan,",positive
"U/ Tempat : biasa , Antara 1meja ke meja lain Sangat berdekatan. U/ Rasa: baso enak bgt, empuk, gurih TAPI klo pesanan yg pakai tulang rusuk Kampir tdk ada sama skali daging trkadang bnar bnar tulang tanpa daging sma skali.",positive
Tempat kurang nyaman. Harga sebanding dengan basonya yang enak. Lokasi mudah ditemui. Pelayanan lumayan cepat.,positive
"Pengen nyoba semua baso yg di Bandung, katanya cobain Baso Semar. Enak bgt katanyaaa. tapi pas udah disana di kasihnya tulang aja yg banyaaak, kalo penyuka tulang sih ino mah surga. Tapi da aku mah gasuka tulang, ngga ada yg bisa dimakan jadi nilainya 2 aja. Sorry heuh :P",negative
Tidak banyak restoran Baso yang buka untuk sarapan. Tempat ini bisa menjadi pilihan untuk pengunjung yang sedang ingin Baso di pagi hari. Saya memilih makan di area depan supaya masih bisa menikmati udara Bandung pagi hari. Porsi nya besar untuk wanita. Rasa baso nya enak.,positive
"Pertama kali kuliner bakso Semar 2 yang buka 24 jam ini membawa kesan tersendiri buat saya. Ketika berkunjung cukup rame dan pilihan menu bakso cukup banyak. Rasa bakso benar-benar mantap dan kuahnya segar apalagi dilengkapi dengan tulang rusuk sapi semakin menggigit. Selain bakso tersedia juga mie yamin. Harga kisaran 28 rb seporsi untuk bakso spesial. Ok, selamat mencoba!",positive
"Bersama keluarga mengunjungi Baso Semar 2 sangat berkesan, mantap, dan nikmat. Basonya yg empuk dg campuran tulang lunaknya memiliki sensasi kriuk saat dikunya. Lemak daging sapinya sangat terasa. Selain baso, tempat ini menyediakan beragam minuman. Mulai dari Jus hingga milkshake. Baso Semar 2 sudah sangat terkenal dan sering dikunjungi orang2 terkenal. Bisa dilihat dari koleksi poto yg dipajang di dindingnya. Lanjutan",positive
"Lokasinya pas dan mudah di capai, baso nya khas dengan tulang sapi dan katanya sih semakin malam kuahnya makin enak dan saya juga merasakan demikian tapi justru makin malam makin rame deh. Tapi tenang aja buka nya aja 24 jam kok dan harganya berdua paling banter 50ribuan la :)",positive
"Kesan pertama makan ditempat ini adalah penyajiannya yang menurut saya luar biasa, dengan sensasi makan daging yang masih menempeldengan tulangnya. Kebetulan saya memesan baso urat special + tulang rusuk yang dihidangkan dengan 2 piring. Lokasi strategis dan harga relatif terjangkau.",positive
"Baso Semar ini lokasinya cukup mudah diakses. Rasa basonya enak, dagingnya sangat terasa, sama sekali bukan baso murahan. Cocok dinikmati apalagi jika udara di Bandung sedang dingin.",positive
Bakso semar ini enak banget.kalo kebandung dan kepengen bakso kesini aja deh.mau tengah malem jg oke.diajak sama temen org bandung kesini dan bener2 enak,positive
"Berkat informasi dari teman bahwa ada baso yang lezat, yaitu baso semar. penasaran dengan informasi dari teman tersebut, pada jam makan siang saya langsung coba dengan pasangan mengunjungi baso semar, dan ternyata setelah mencoba benar sekali baso semar sangat lezat dan mantap, saya memesan baso urat special + tulang rusuk, dihidangkan dengan 2 piring, 1 piring baso yang sangat banyak. Lanjutan",positive
"Saya makan bakso di tempat ini malam hari setelah jalan-jalan di daerah Cihampelas, tempatnya cukup ramai walau hari sudah cukup malam, saya memesan mie baso urat yang berisi mie dan bakso urat yang cukup besar, untuk rasa lumayan enak apalagi waktu itu malam hari dan setelah hujan jadi lebih berasa nikmat jika makan yang panas-panas, untuk harga juga lumayan terjangkau.",positive
"Saya dan teman-teman kelaparan ditengah malam, kemudian seorang teman yang warga bandung menyarankan makan bakso. saya agak heran kenapa jam 1 malam masih ada yg jual bakso di Bandung. Saya makin heran ketika sampai ditempat tersebut, ternyata rame banget. Untung masih ada beberapa kursi tersisa buat kami berempat. Saya memesan bakso dengan cacahan tulang sapi. Dan ga lama, seporsi besar. Lanjutan",positive
"Saya lupa kapannya tapi sangat ingat kalo baso semar 2 ini biasa ajah, masih paling enak baso semar yang asli di jalan semar pasirkaliki. Mungkin bahan dan cara masaknya beda jadi rasa dan aroma trus kuahnya juga beda dari image baso semar yang di jalan semar sendiri. But lumayan laah kalo untuk nge baso siang hari.",positive
"Amazing ! Kedai ini buka 24 jam sehari dan itu dibuktikan ketika seringkali saya melewatinya di pagi buta untuk berangkat ke Jakarta. Baksonya sendiri NOT BAD, dengan menawarkan keunikan bakso yang dicampur tulang rawan/tulang rusuk, mengenai harga relative terjangkau. Apabila larut malam (ketika tempat lain sudah tutup) Anda ingin menikmati sesuatu yang panas dan Gurih untuk mengisi perut yang keroncongan. Lanjutan",positive
"Tempat ini populer dengan basonya yang enak, lengkap dengan semangkuk tulang rusuk sapi. Baso, kaldu dan rusuknya enak sekali, sayang menurut saya mienya yang tidak enak. Tempatnya tidak terlalu besar, biasa-biasa saja tapi selalu ramai dipenuhi pengunjung. Kami datang di malam hari dan entah kecapaian atau bagaimana, service pelayan kurang memuaskan. Harganya cukup bersahabat dengan kantong dan sebaiknya membayar dengan. Lanjutan",positive
