content,polarity
"Pertama kali kesini pas valentine, dari dulu emang udah masukin coco rico ke list buat di coba. Akhirnya kesini juga, suasananya emang mendukung banget apa lagi malem dan enaknya di lt 2 di ujung yang mengarah ke jalan. Service emang udah oke, cuma ga suka aja sama makanannya dari segi rasanya sih, sebenernya harga masih standar cuma kualitas makanannya perlu. Lanjutan",positive
"Coco Rico restoran berada di jalan dago pakar timur, satu area dengan the valley, takigawa meat bar, dan sierra cafe. pemandangan yang diberikan oleh restoran ini cukup baik kita dapat melihat kota bandung, untuk interior nya dibuat seperti mini garden, dan cukup cozy untuk bersantai dengan keluarga. Makan yang disajikan, makanan western. dan juga ada beberapa menu asia seperti nasi. Lanjutan",positive
"Ketiga kali datang kesini, makanannya enak terutama iga bakarnya juara viewnya juga bagus dan wifinya kenceng",positive
"Cafe yg sudah tua, dgn buku menu yg SANGAT usang bahkan ada 2 lembar menu saya yg hilang pd saat dikasih ( lalu waitress nya carikan buku yg lain lg, namun ada yg hilang dgn halaman yg berbeda ) Cafe sangat gelap, live music terlalu kenceng , saking kencengnya waitress salah dengar berkalikali ( pertama sy menu A yg dtg. Lanjutan",negative
"Pertama kali mengunjungi tempat ini, kesannnya adalah tempatnya yang cozy banget dan pemandangannya yang indah. Kita dapat melihat keindahan kota bandung dari tempat ini apalagi ketika sudah menuju malam. Untuk daftar menu di restoran ini cukup beragam. Dan masalah taste not bad laah, sesuai dengan harga. Overall tempat ini sangat cocok untuk dihabiskan dengan keluarga, pasangan, atau rekan kerja disaat. Lanjutan",positive
"Pertama x coba kesini bareng keluarga,duduk gak dikasih menu. Lalu menu minta dan menunya udah hancur bgt lepas2 gitu buku menunya. Keadaan meja n kursi agak kotor n gak terawat. Waktu lg liat menu,waiternya (cowo) bilang: agak cepet ya pesennya. Di atas ada yg booking puluhan orang!!! Gak sopan bgt very bad attitude. Akhirnya cm psan minuman n kita lgsg. Lanjutan",negative
"Saya menyukai tempat ini karena menunya lengkap. Ada pilihan menu eropa dan Indonesia. Jadi kalo untuk acara kekuarga yang ABG sampai lansia punya pilihan. Bahkan ada menu untuk anak. Harganya juga pas di dompet. Makan 11 orang kami habis 1,1 juta saja. Itu udah menu makan dan minum. Bahkan saya pilih dessert signature es ajis ompong. Bebeknya empuk dan gurih.",positive
"Saya dan suami memesan Nasi Bali dan Beef Steak. Range harga hampir sama dengan restoran-restoran sekitar Dago lainnya. City viewnya ok dan sangat dingin sekali udara di sana (untuk table outdoor), jika anda lebih suka yang hangat disarankan untuk memesan table indoor saja.",positive
pemandangan gunung yang langsung dilihat tanpa kaca menjadi nilai tambah dari restoran ini. menu yang ditawarkan juga datang dari berbagai jenis. Datang malam hari paling pas karena udara yang sejuk dalam suasana remang-remang.,positive
"Berkunjung ke coco rico bandung pada hari minggu sore, restaurant yang oke untuk makan, santai, sambil menikmati pemandangan di sore hari. Menu yang di tawarkan cukup banyak, kemarin pesan iga bakar, sop buntut, nasi goreng dan pizza nya semuanya enak enak dan porsinya juga banyak. Minumannya juga enak. Restaurant ini cocok untuk makan bersama teman2 juga keluarga sambil menikmati pemandangan. Lanjutan",positive
"kemarin kesini karena rekomendasi teman, tempatnya enak banget, sepi, dan sangat luas. banyak pilihan meja dan menunya enak - enak. makanan datang cukup cepat namun ketika saya pesan salad, ada beberapa bahan yang kurang segar.",positive
Kalo ke cocorico kudu pake jaket. Haha soalnya dingin banget kan diatas. Kita bisa liat bandung dari atas saat malam hari. Romantis deh pokoknya. Ada live music juga. Top deh!,positive
"Recommended buat kongkow bersama teman2, mau makan, mau minum2 cantik. Tempatnya enak dengan live music yang suara penyanyi nya dan playlist lagu yang bikin pengen ikutan nyanyi. Untuk harga juga standart harga cafe. Dan satu lagi yang menambah point plus, kalau malam pemandangan cahaya lampu mempercantik suasana.",positive
"Tempat makan yang santai dan romantis bersama teman/keluarga/pacar, pelayanan yang bagus dan cepat , makanan tersaji dalam waktu yang cepat , view pemandangan yang bagus (lantai 2) , sayang live music hanya dapat dilihat di lantai 1 , overall recommended",positive
"Saya kesini sama pacar, tempat nya cukup luas dan ada area indoor sama outdoor nya. Saya duduk di tempat indoor yang ada view ke arah luar, jadi ada jendela kaca.saya pesan fetucini dan coffe puding untuk makanan saya cukup puas. Dari sisi harga memang sebanding dengan apa yang ditawarkan",positive
"Dari deretan cafe yang ada di kawasan dago pakar, saya dan rekan mencoba cafe ini. Ternyata pilihan saya cukup tepat karena tempat yang luas sehingga kami memilih di luar agar dapat menikmati alam dan pemandangan kota bandung dari atas. Pilihan menu juga cukup beragam. Shoyu ramen patut dicoba disini.",positive
"Terletak di ketinggian kota Bandung. Suasana Resto sangat santai dan cozy. Jika malam, pilihlah duduk di pinggir dekat jendela, lilatlah Bandung di malam hari bersama pasangan anda. Ada live music dan anda bisa menyumbangkan suara emas anda disana. Pilihan menu cukup dengan rasa yang rata-rata. Tidak ada menu yang special disini.",positive
"Saya mengunjungi restoran ini bersama dengan teman-teman kuliah saya sewaktu di Bandung, kami sempat bingung memilih tempat untuk makan malam, dan salah satu teman saya merekomendasikan tempat ini. Well, tempatnya berada di Dago Pakar yang jalannya bukit dan udaranya dingin. Saya suka dengan tema dekorasi restoran ini, ada live music, dan pemandangan dari restoranya juga sangat indah. Makanan yang disediakan. Lanjutan",positive
"saya kesini minggu siang. masih sepi, memilih tempat duduk diatas yg menghadap selatan plus duduk di sofa. makanan sih biasa lah, standar cafe2 di bandung. tapi untuk tempat dan suasana emang yahudd. harga pun standar cafe. kalau agak malam sedikit mungkin akan jadi lebih romantis., cafe ini menang di tempat dan suasana.",positive
"Restoran ini terletak di Dago Atas, salah satu restoran dengan menu terlengkap yang ada di Dago Atas. Mulai dari makanan Indonesia sampai makanan Eropa. Parkiran cukup luas.",positive
Berada di area Dago yang sejuk membuat atmosfir nya menjadi sangat pas untuk nongkrong bersama teman. Ditambah desain tempatnya yang unik. Harga makanan pun standar tetapi rasanya lebih dari standar meskipun pilihan menunya tidak ada yang spesial.,positive
"Letaknya di dago pakar, kalau malam suasananya sangat bagus, bisa liat view bandung, makanan yah standar makanan western maupun yang tradisional seperti cafe2 yang lain.",positive
"untuk hal makanan sama aja sih dengan resto lainnya, cuma untuk pemandangan dengan view kota bandung top banget. apalagi klo datang kesini malam hari. sama temen ato pasangan tetep asik. saya cukup sering datang berkunjung kesini.",positive
Secara umum tidak ada yang spesial dengan menu yang ditawarkan oleh coco rico. Saya memesan sirloin steak medium well dan carbonara spaghetti. Untuk carbonara menurut saya lumayan dengan porsi yang cukup besar sedangkan steaknya agak kenyal. Menurut saya tempat ini lebih cocok untuk yang akan hangout sambil menikmati lampu-lampu kota bandung di kejauhan.,positive
