content,polarity
"Sudah beberapa x saya ke rumah makan ini dan masih sama suasana nya, tenang, bersih, ramah . Mudah-mudahan makanan nya masih enak,juga sejuk",positive
"salah satu tempat makan sunda yang sudah jadi favorit. rasa masakannya otentik sunda banget, menunya juga variatif dan sambelnya juara",positive
"Saya berkunjung ke restoran ini sekitar jam 4 sore hari. Saya datang bersama 2 orang teman saya, kami mengambil meja makan yang berada didalam saung. Kami memesan Nasi Tutug Oncom, Nasi Timbel Komplit Spesial, dan berbagai macam gorengan. Restoran ini menyediakan berbagai macam pilihan sambal yang dapat kita ambil sendiri tergantung kepada selera lidah kita. Restoran ini juga menjual beberapa. Lanjutan",positive
Rumah makan ini menyediakan berbagai jenis sambal yang enak dan nojok pedesnya. Makanan yang disajikan merupakan makanan khas sunda.,positive
"Rumah makan ini sudah agak lama perlu direnov, meja kotor dan furniture sudah tidak terawat. Untuk ayam goreng terlalu berminyak , meskipun sambal cukup banyak dari sambal mangga, terasi , kecap dan sambal hiaju tapi suasana kurang mendukung",negative
"Saat di Bandung banyak pilihan tempat makan yang menyajikan makanan khas Sunda. Tetapi bagi saya salahsatu pilihan yang terbaik adalah RM Cibiuk, terutama hidangan gurame-nya (goreng/bakar). Sangat direkomendasikan bagi pecinta kuliner bila mengunjungi Bandung!",positive
"Untuk soal rasa, disini memang tidak ada masalah, enak, bervariasi, dan harga terjangkau. Namun pelanannya yang sangat mengecewakan. Saya memesan 3 ikan mas dan beberapa makanan lainnya, pelayan yang mencatat saat itu tidak mengatakan apa-apa. Namun, setelah menunggu selama hampir 1 jam, baru minuman saja yang datang, makanan yang kami pesan, tidak ada satu pun yang datang. Lalu, seorang pelayan. Lanjutan",negative
"Sambal dengan daun serawung, tomat, dan cabe rawit. Rasa sambel ini yang membuat kota di garut yang namanya cibiuk jadi terkenal. Sambal ini bisa dinikmati dengan gurame goreng ataupun dengan ayam goreng. Rasanya sangat enak. Selain di Lengkokng Cibiuk juga memiliki banyak cabang",positive
"Mencicipi makanan sunda pada umumnya sama. Baik dari hidangan maupun rasa. Tetapi mencoba menu nasi timbel di cibiuk terasa berbeda karena sambalnya luar biasa. Saya bukan penyuka hidangan pedas, namun rasa sambal di cibiuk terasa pas di lidah",positive
Resto cukup bersih dan menyediakan tempat ibadah yang bersih. Menu khas sunda dan sangat cocok untuk penggemar berbagai jenis sambal,positive
"Restoran franchise ini banyak ditemukan di bandung dan sekitarnya, namun saya merasa makanan dan suasana restoan ini tidak sesuai dengan harapan saya. Dari spanduk yang dipasang sepertinya restoran ini menawarkan makanan sunda yang nikmat, namun ketika kami datang kami menyadari bahwa harga makanan terlalu mahal untuk restoran seperti ini. Porsi makanan relatif sedikit dan rasanya pun tidak terlalu menarik. Restoran. Lanjutan",positive
"Mencari makanan sunda? yaa jelas Cibiuk dong. Dengan sambel dadak dan gurame goreng gurih renyah .hmmmmm mantap. Pilihan menu beragam, minuman beragam, harga cukup setara dengan resstoran sunda lainnya. Coba deh Cibiuk !!",positive
