content,polarity
"jual aneka minuman dan jus juga. favorit aku sih beli jus pisang, jus pisangnya dicampur pake susu coklat kental manis gt, jadi lebih enak.",positive
"ditengah pusat kota dan daerah perbelanjaan, ingin mencari minuman segar, makan disini tempat yang paling pas untuk mendapatkannya",positive
"beragam minuman ada disini dengan harga yang sangat terjangkau, berlokasi di pujasera merdeka membuat aneka minuman segar ini dapat ditemukan dan layak dicoba.",positive
"tempat yg paling cocok untuk mencari makanan low budged tetapi memuaskan , disini banyak sekali pilihannya dari mulai masakan khas dari daerah di indonesia sampai masakan modern, hanya saja yang kurang disini adalah tempat yg tdk begitu luas dan kurang terawat",positive
"Masuk kesini bakal di suguhin berbagai macam aneka minuman dan makanan khas indonesia , eh ada steaknya juga deng . yang paling ajib di sini es pisang ijo nya MANTAPS",positive
"aneka minuman segar ini menjadi pelengkap kuliner di bandung, tersedia berbagai macam minuman segar mulai dari jus buah sampai aneka teh.",positive
"tempatnya cukup nyaman, dan selalu ramai pada jam makan siang, minuman yang dijual bermacam"". rasa tergantung selera. tapi cukup direkomendasikan.",positive
"setiap main ke jalan merdeka terutama kalau lagi dompet kosong pasti saya makannya di pujasera merdeka ini, selain harganya murah dan minumnnya enak enak cocok bgt buat dompet akhir bulan hahaha, selain itu rasanya cukup enak ya walaupun tidak seenak di restoran hehe",positive
"menjual aneka macam juice segar yg diolah dari buah2an segar. letaknya di sebrang BIP, harganya tidak semahal jus yg dijual di bip.",positive
"Letaknya di pujasera merdeka, sebrang mall paling tua dibandung (BIP) Seperti pujasera lainnya, agak crowded tidak spt foodcourt yg ada di mall. Segala macam minuman ada disini, wajib dicoba!!",positive
Pilihan minuman yang tersedia sangat bervariasi dan harga yang ditawarkan sangat terjangkau. Sangat cocok untuk melepas dahaga ketika selesai berbelanja di sekitaran jalan dago atau riau.,positive
berbagai minuman tersedia sesuai selera . gk perlu repot mencari di tempat lain. semua ada. menghilangkan dahaga ketika anda berbelanja di seputar merdeka,positive
tempat yang cocok untuk melepas dahaga setelah berbelanja di factory outlet merdeka. dibuat dari buah segar dan harga yang tidak terlalu mahal,positive
"tempat ini terletak di pujasera merdeka kawasan dago bawah, untuk buahnya saya suka durian dan mangga nya yang bikin mantap. untuk harga pergelasnya Rp 10.000 sampai Rp 20.000 tergantung buah yang kita pilih.",positive
