content,polarity
"Nasi bakar disini rekomended lah. Tempatnya nyaman, bersih dan pelayanannya Ok. Nuansa restonya sunda banget. Kalian yang berkunjung ke Bandung wajib coba makan disini. Jangan lupa, nasinya pesan nasi bakar.",positive
"Resto ini menyajikan beragam makanan khas Sunda. Layanannya cukup baik. Begitu masuk resto ini sangat terasa nuansa pedesaan yang dikemas secara modern. Tersedia nasi putih, nasi liwet atau nasi merah. Menu andalan Gurame cobek selain itu ada Ayam goreng laos, Ayam goreng bumbu kecap, Gurame goreng, Kare ikan mas, Ikan mas goreng, Udang goreng tusuk dan sebagainya. Gurame cobek rasanya. Lanjutan",positive
"Satu bulan lalu saya dan keluarga sepulang menghadiri resepsi pernikahan, mampir ke Resto Bumbu Desa jalan Laswi, Bandung. Lho habis resepsi kok makan lagi.? Hehe maklum datang ke tempat resepsi agak telat, jadinya tidak kebagian hidangan. :) Interiornya bagus, pernik-pernik tradisional seperti kendi, dan alat dapur menjadi hiasan dinding resto. Menu yang disajikan lumayan enak, jika anda berkesampatan untuk mampir. Lanjutan",positive
"Kami dari bandara mencari tempat sarapan yang pas. Oleh sopir kami diantar ke resto bumbu desa. Karena masih pagi, tempatnya masih sepi. Menunya aneka macam terutama masakan Sunda siap digoreng ataupun dibakar dengan lalapan dan sambal. Rasa makanan cukup, tidak terlalu istimewa, yah lumayan untuk sarapan kami.",positive
"salah satu restoran sunda kesukaanku, rasa enak harga murah, tempat ditengah kota dan mudah dijangkau. ehmmmm makyosss dech",positive
Sangat direkomendasikan bagi anda yang menyukai citarasa masakan sunda atau masakan nusantara. Pelayanan disini sangat baik dan suasana restoran juga nyaman. Ukuran restoran luas sehingga cocok jika untuk acara kantor dll. Rasa makanan yang disajikan sangat authentic dengan citasara sunda.,positive
"Bila sudah lelah menghadapi kemacetan menuju kota Bandung, sebelum ke hotel, saya mengunjungi rumah makan Bumbu Desa. Sebuah rumah makan dengan menu masakan Sunda yang lengkap, ada ikan goreng / bakar, ayam bakar / goreng, gepuk, tahu, tempe, rempeyek udang dan lain-lain. Dimakan dengan nasi hangat dan wedang bandrek sungguh enak dan menghilangkan lelah.",positive
"Bumbu Desa restoran khas sunda ini tentunya sudah tidak asing lagi buat kita, cabangnya banyak, tetapi di cabang yang satu ini agak spesial, setelah kita lelah mencari fashion idaman kita di rumah mode, kita bisa melepas lelah dengan menyantap makanan khas sunda dari restoran bumbu desa, rasa yang enak dengan bumbu yang khas seakan merefleksi badan kita kembali segar, jadi. Lanjutan",positive
"Berkunjung ke Bandung tepatnya kawasan Dago banyak pilihan untuk untuk menkmati aneka kuliner yang nikmat, salah satunyanya adalah restaurant Bumbu Desa, meskipun menu yang disajikan di restaurant ini terbilang tradisional Sunda namun cita rasanya serasa nusantara, dan menu favorit saya di Bumbu Desa adalah Gurame bakar dan Gurame Kuah Kuning serta Gurame Pesmol, rasanya emmm maknyusss",positive
"Letaknya di jalan laswi (terusan riau), ruangannya luas dan alamiah (tidak ada AC). Berbagai jenis masakan seperti ayam goreng/bakar, ikan, cumi, daging, semua lauk pauknya tinggal di pilih dan langsung di goreng atau di bakar. Ada lima jenis sambel yang tinggal di pilih bisa di ambil langsung sebanyak yang kita mau, begitu pun dengan lalapan dan rujak bisa di ambil. Lanjutan",positive
"~DIDIRIKAN sebagai wujud dedikasi dan apresiasi kepada para jagoan jagoan masak zaman dahulu, ibu ibu rumah tangga dan pembantu pembantu rumah yang telah berjasa dalam memperkaya khasana dan cita rasa masakan sunda sehingga menjadi kekayaan keanekaragaman cita rasa nusantara sampai saat ini~~ Dusun gunung dusun pesisir, semua sedang unjuk rasa di seluruh Indonesia~~ Itulah tulisan yang terpampang di dinding restoran. Lanjutan",positive
Resto ini memang sangat terkenal dan saya sudah berkali2 mampir kesini tapi nggak pernah bosen. Menu ala sunda yang dihidangkan cepat saji membuat selera makan bertambah apalagi sambelnya yang beraneka macam. nggak salah kalau mampir kesini untuk makan siang atau malam,positive
"Harga mahal, rasa dan penyajian biasa saja. Sangat mengecewakan. Makanan dingin, servernya bilang sudah dihangatkan.",negative
sangat banyak masakan jawa mungkin lebih baik anda mengomentari dan banyak yang kenal dengan resto ini,positive
"rumah makan ini memang tergolong murah bila dibandingkan dengan rumah makan sejenisnya.namun makanan yang disediakan biasa saja tidak ada yang istimewa.sebagian besar makanannya hanya ikan atau ayam dengan cara masak digoreng.bisa dibilang menu makanannya tidak ada variasi sama sekali. bagi penggemar masakan tradisional sunda,saya sarankan untuk mencoba sari sunda karena menu yang ada di sana lebih variatif dan harganya pun. Lanjutan",negative
"Bumbu desa, kita datang disambut dengan greetings dan senyum, senang dong, makan nikmat ( lumayanan aja sih, jujurnya ) pas bayar, mahaaaal ya ?",positive
"makanannya enak sih dan banyak variasinya, cuma kadang kadang ada lalat berterbangan sana sini, karena sajiannya terbuka sih",positive
"Dengan hidangan berbagai macam masakan ikan tawar sperti ikan emas, ikan gurameh, ikan nila, tempe tahu + nasi yang pulen, bisa menambah selera makan kito dan terbebas adari bayang cholesterol .wah nikmat .nikmat !!!",positive
rasa cukup enak.tapi pelayanan kurang cepat.apalagi jika memesan menu khusus.,positive
restoran yang menyuguhkan sentuhan rasa sunda dan tradisional seperti suasana di rumah nenek yang ada di kampung,positive
