content,polarity
"Lokasinya sangat strategis, dan juga berada tak jauh dari rumah saya. Beberapa tahun yang lalu sih merupakan caf paling hits di Bandung. Hanya saja sekarang sudah berkurang pamornya dikalahkan caf -caf lainnya yang bermunculan. Saya suka dengan ramennya. Rasanya pas dengan palet lidah saya. Suasana cafenya sih agak hiruk pikuk ya. Kurang nyaman untuk mengobrol",positive
"Makanan nya lumayan dengan harga yang terjangkau tetapi sayang pelayanan waiter nya sangat tidak ber manner sebagai waiter , biasanya waiter akan mengulang order yg kita pesan untk menghindari kesalahan pemesanan, saat itu kami meminta untk menyebutkan kembali apa saja yg sudah kami pesan, beliau dengan seenaknya memberikan tab nya kepada kami dengan bilang ""baca aja sendiri"" , masih byk. Lanjutan",negative
"Yang saya pesan adalah almonette crush, dan rasanya enak pake banget. Selain itu, saya pesan Snake Roll dan rasanya cukup enak walaupun tidak special. Snake roll berisi ebi yang crunchy. WiFi nya cukup lancar. Layanannya cukup cepat, pramusaji mencatat pesanan dengan menggunakan tablet. Untuk yang di Bandung Indah Plaza, tempatnya di tengah-tengah jalan. Interiornya lumayan bagus dengan dominasi warna hitam. Lanjutan",positive
"Rasa makanannya biasa saja, tidak terlalu istimewa. Lokasinya memang cukup strategis tetapi bersaing dengan tempat makan lainnya.",positive
"Gak sengaja sih waktu itu bisa makan disini. Karena waktu itu maunya ke Jalan Riau tapi karena udah malem restorannya udah banyak yang tutup. Akhirnya nemu Tokyo Connection, Japannesse Restaurant with calm ambience. Walaupun tempatnya agak kecil (parkirannya aja gak muat banyak mobil) tapi suasana di dalem restorannya cozy banget. Sushinya enak, gak kalah sama restoran-restoran sushi lainnya. Strawberry and. Lanjutan",positive
"Makanan di tempat ini cukup enak dan harganya tidak terlalu tinggi. Tempat yang cukup strategis dan nyaman walaupun sofanya tidak terlalu empuk lagi, tapi cukup enak untuk dipakai mengobrol panjang bersama teman.",positive
coba ke sini. tempatnya nyaman.makanannya beragam macamnya.banyak pilihan.lumayan lah untuk makan sambil ngobrol,positive
Untuk lokasi Tokyo Connection ini strategis dan design juga unik. penyajian makanan cukup menarik hanya sayangnya rasanya standard.,positive
"A little gems di jalan progo. Biasa saya punya tempat fave di jalan progo tetapi hari itu mendadak mau sedikit adventorous nyoba-nyoba tempat baru. Namanya sih bau-bau Jepang gitu tetapi lirik-lirik menunya sih campur-campur ada Korea ada western juga. Istilah kerennya fusion gitu kali ya. Dari luar penampakannya seperti cafe-cafe di jalan progo lainnya, rumah-rumah tua tahun 70-an, masuk ke. Lanjutan",positive
makanan yang enak dan harga yang relatif terjangkau :) Saran menu yang wajib dipesan dan nilai yang saya berikan : Chicken Katsu Donburi 9 Chicken Teriyaki Donburi 9 Salmon Steak (lebih enak yang saus soyu) 9 French Fries (ini renyahnya mantap) 8 Pancake (lupa nama lengkapnya) 8 very recommended !!! :),positive
