content,polarity
"Makan dimsum enak. Makan Mie enak, makan besar juga enak. Hanya kalau hujan di bagian luar agak becek saja tapi secara keseluruhan saya suka tempat ini.",positive
Kedai kopi 170 buka mulai pagi jadi cocok untuk breakfast.menempati bangunan tua.dgn dekor interior classic ngga pje ax .ada outdoor nya.cocok buat suasana bandung Makanannya lengkap ada dimsumnya juga.namanya kedai kopi tapi kalo pesan kopi ngga ada.jangan bingung. Kopi di sediakan oleh coffee and john yg terletak di sebelahnya.masih brother company.tersedia manual brew n expresso based. Manual brew methodenya ada. Lanjutan,positive
"Kedai kopi dibandung ini sangat recommended, suasananya cukup nyaman meskipun kursinya agak membuat sakit badan karna terbuat dari rotan. Makanannya enak, kopinya mantap, harganyapun sangat bersahabat.",positive
"kalau makanan, tidak banyak beda dengan tempat lain yang sejenis. Tapi kesini coba kopi yang ada. Baristanya bisa menjelaskan kopi yang kita pesan.",positive
"Pilihan makanan banyak, harga terjangkau, bangunan tua, parkir banyak pinggir jalan dan dekat dengan jalan asia afrika",positive
"Kami berdua pesan volcano chicken steak dan nasi capcay dan 1 porsi siomay. Chicken steaknya porsi kecil, french friesnya dihitung cuma 5 batang. Nasi capcaynya sangat aneh dan tidak enak. Belum pernah makan capcay seperti ini sebelumnya. Di capcay hanya ada 2 iris wortel dan 2 iris kecil daging ayam. Dimsum siomaynya seperti siomay yg beli di supermarket yg beku. Lanjutan",negative
kedai kopi ini buka dari pagi sampe malem. tempat yg cocok utk breakfast. nasi goreng mie goreng dan roti. tempatnya oke. cocok utk arisan.,positive
"Sangat senang berada di sini karena menunya sangat beragam, harganya murah, dan rasanya cukup enak. Favorit saya : nasi goreng kencur. Harganya 15 ribu saja tapi rasanya juara dan porsinya sangat mengenyangkan.",positive
"interior nya bagus dan menu yang di sajikan juga beragam dan komplit, mulai dari hidangan pembuka, utama sampai penutup juga ada. harga standard",positive
"saya suka bakmi gorengnya.disini saya seringnya ngopi dan ngemil"" aja.coz dessert nya enak enak.buat ngobrol santai dengan teman teman.tempat ini oke. :))",positive
"Bagi anda yang suka nongkrong atau ada pertemuan dengan rekan bisnis anda, kedai kopi170 adalah salah satu tempat yang patut dipilih karena suasana yang nyaman dan membuat betah untuk berlama-lama. Saat saya berkunjung kesini, saya mencoba layer cake durian. Rasa manis dan legit nya pas meskipun teksturnya sedikit kasar tp terbayar dengan rasa manisnya yang bikin nagih.",positive
"Kedai kopi yang terletak di Naripan ini adalah tipe kedai seperti kopitiam yang menyediakan masakan peranakan seperti nasi lemak, laksa, hakau, dan lainnya.Kedai ini terbilang cukup murah dibandingkan dengan Kopitiam lainnya, dan rasanya juga tak kalah enak. Tempatnya pun cukup nyaman dengan interior ""jadul"" dan gedung masih dengan arsitektur Belanda tahun '40an yang khas.",positive
"Nama restorannya sedikit mengelabui bagi para pencinta kopi, karena ternyata kedai ini tidak mengkhususkan menunya ke kopi, tapi makanan dan minuman secara universal. Bahkan menu kopinya pun sangat sedikit, hanya kopi susu, kopi O dan kopi tubruk. Tapi secara keseluruhan tempat ini sungguh menarik, dengan arsitektur bangunan gaya belanda dan jenis makanan yang bervariasi ditambah pelayanan yang prima membuat restoran. Lanjutan",positive
"Tempatnya seperti menempati rumah klasik yang berukuran besar. Menunya terbilang banyak dan komplit, dari camilan, makanan utama hingga dessert. Menunya pun tidak standar, dan rasanya enak. Harganya pun terbilang murah",positive
Katanya kedai kopi tp menunya nggak banyak kopi yg menarik. Standart lah semuanya. Tempatnya jadul jd oke juga buat foto,positive
"ketempat hini selama 4 hari berturut turut, roti bakar, dimsum dan masakan manado nya luar biasa, dan masih banyak lagi. harga yang masuk akal dan staffnya sangat ramah dan langsung mengingat apa kebiasaan kita. salah satu staff langsung bertanya, ""apakah bapak ingin duduk di tempat kemarin yang dekat jendala""? hahaha its was nice.",positive
