content,polarity
"Baso disini unik, karena memakai tetelan untuk sajian basonya. Rasanya pun sedap dan nikmat. Namun seringkali tidak buka di hari tertentu.",positive
"makanan khas indonesia yaitu baso yang sangat lezat ini dinamakan baso semar, baso dengan limpahan daging ini memmpunyai ciri khas dengan urat yang berlimpah serta bagi anda yang suka tulang disini juga tersedia",positive
"Tempatnya strategis, bersih, luas, buka 24 Jam dan pelayanan pun ramah. Begitupun harganya cukup terjangkau, Tempat ini dapat dikunjungi oleh pasangan maupun keluarga. Saat hujan paling enak kesini. :)",positive
"Saya pesan Yamin Spesial. dengan isi baso urat, baso kecil dan rusuk. Rasanya biasa saja. Tempatnya kurang bersih. Harganya agak mahal untuk kualitas baso yang dihidangkan.",positive
"Salah satu pilihan bakso kapanpun, karena beberapa outlet buka 24 jam. Baksonya enak, dan sangat banyak jika memberikan tulang iga. Harganya juga cukup murah",positive
"Di Bandung ada beberapa cabang, yaitu di dekat ITC, di dekat batagor kingsley dan di cihamplas. Kalau yang di ITC, tempatnya sempit (karena ramai terus) dan panas. Kalau yg di jalan bungsu (sejajar dengan batagor Kingsley) tempatnya lebih bersih. Rasa basonya standar, enak tapi tidak enak sekali. Cuma, bagi pecinta tulang iga, di baso semar ini kalian bisa memilih menu. Lanjutan",positive
"Inilah salah satu warung baso yang cukup enak dan murah di Bandung. Dengan harga kalangan menengah ke bawah, sekitar IDR 25k kita sudah bisa menikmati satu mangkok baso+mie dan minuman.",positive
Dua bakso urat besar dengan tulang rusuk yang begitu menggoda. Sungguh melelahkan untuk menghabiskan porsi sebanyak itu. Cukup untuk menu makan malam + sahur. Selamat mencoba gaes,positive
"tempat nya kecil. lokasi di jalan semar. ujung. baso yg saya sukai, baso urat. biasanya di berikan juga potongan tulang sapi nya. asli. hindari jam makan siang, penuh dan lama. lebih baik sebelum ato sesudah lewat lunch. baso campur nya menjadi menu favorit saya. air teh dikasi cuma-cuma",positive
aku sih suka ny makan yg d gang semar. n menu favorit aku itu Yamin Bakso. endesss bgt. ^o^ menu lainny jg enak. tp yg bikin beda itu bakso nya. beda. emg bner2 bkin sndri. ga beli d pasarn gtu.,positive
