content,polarity
"Ada satu caption unik di restoran ini yaitu ""Dont Worry Be Happy"" . Tulisan ini tercetak disalah satu sudut restoran. Tempatnya unik di dominasi warna biru dan krem. Disini sih enaknya makan suki atau BBQ. kita bisa pilih langsung di display untuk additional suki & BBQ. Kuah Tomyam nya rekomen nih untuk yang mau makan suki & BBQ disini",positive
"Tanggal 12 February adalah ulang tahun pacar saya, Dan saya mengajak dia untuk makan di Restaurant Don woori yg terkenal di Bandung. Saya ingin memberi kado ulang tahun dengan makan yg enak disana. Tapi. Saat itu saya datang Kira Kira jam setengah 3n. Tempat full sehingga kami harus menunggu. Waiting list pada saat itu sekitar 4 meja. 15 menit kemudian. Lanjutan",negative
"Pertama masuk pasti wooow lucuuu bangeett, pengen langsung foto-foto hahah, banyak spot untuk fotonya dengan latar belakang quotes-quotesnya Tempatnya lumayan luas jadi bisa nampung orang banyak, hahah, belum pernah WL kok pas saya kesini, cocok juga bwt makan rame-rame sama temen-temen ataupun keluarga Bwt yang bawa kendaraan, agak peer karena tempat parkirnya terbatas, jadi kadang kita harus nitip kunci ke. Lanjutan",positive
"Penasaran banget pengen kesini akhirnya kesampean juga ternyata tempatnya enak juga, suki pertraynya 15-45 moreless, sukinya gede"" dan banyak variasinya kuahnya sey biasa aja, harga minumannya lumbayan maharani hahaha, kesana ber5 abis 587.000 ngambil kekitar 10 tray dan kimchi, minuman juice 4, buble 1 dan capocinno.",positive
"Pertama tau resto ini dari temen, bilangnya sih kalo suka makanan korea bakal suka. pas kmrn maen ke bandung jadi nyempetin kesana. kesan pertama waktu masuk ruangan cozy banget. dinding resto dominan biru pastel. untung pas kami datang ga waiting list, pdhl itu lagi jam makan malam n malam minggu lagi. Lucky us. Tapi kami dapatnya di smoking area yg. Lanjutan",positive
Tempat nya nyaman untuk diam lama-lama dan bisa juga dipakai untuk foto-foto karena interior nya bagus. Untuk rasa dan harga standar untuk resto suki.,positive
"Makanan banyak pilihan yang di hidangkan pun enak, apalagi tempatnya yang bikin betah berlama - lama di cafe ini",positive
"Restoran yang menjual masakan korea terutama semacam shabu-shabu. Ada juga sih masakan lainnya. Tempatnya unik, terlalu lucu dan soft gitu kali ya. Tapi rasa masakannya tidak mengecewakan. Harganya standar makanan korea di restoran. Dessertnya juga tidak kalah enak",positive
"rasanya kurang enak. untuk resto korea, rasanya tidak authentic. tempatnya bagus, dekornya comfortable.",negative
Pilihan makanan korea untuk yang dibakar ataupun direbus di meja yang dilengkapi kompor. Makanannya enak dan cukup murah. Terkadang ada program diskon dari kartu kredit tertentu,positive
"Desain eksterior & terutama interiornya sangat unik. Sbg penggemar kuah2an, saya sangat suka resto ini karena pilihan menu yang sangat beragam & di luar biasanya. Saus celupannya pun unik rasanya. manis, sedikit asam & pedas. Salah satu resto pilihan saya setiap kali ke Bandung.",positive
