content,polarity
Lokasinya mudah dijangkau dan berada di pinggir jalan. parkiran mobil ya lumayanlah ada buat parkiran mobilnya banyak walau harus ke pinggir2 dan samping tempat makan. Bakso soun nya enak dan seger begitu menurut keluarga yang diajak. menurut gw siy gitu juga enak. Pake pangsit dan jenisnya bakso soun daging. Rasa kuahnya itu ga terlalu asin dan ga terlalu hambar. Recommended. Lanjutan,positive
Lokasinya dekat ke batagor kingsley. Bangunannya adalah rumah yang disulap jadi resto. Sebelum duduk harus ambil nomor yang tersedia di meja depan yang berguna sebagai nomor waiting list bila sedang rame banget. Saya memesan bihun bakso dan urat. Bakso urat punya permukaan kasar. Teksturnya lembut dan tidak alot. Bahkan tidak sulit digigit oleh anak saya. Kuahnya gurih dengan aroma bawang. Lanjutan,positive
"Jadi. Saya laper dan penasaran png makan disini. Suasana nya oke, adem, meja dan kursi nya mengingatkan meja kursi waktu SD. Pertama pesen berjalan mulus, suara mas2nya kecil bgt ampun deh ga jelas ngomong apaan blubup blubup gt haha saya pesen mi ayam+2baso ekstra, pacar saya pesen baso urat soun. Ga lama dateng pesenan pacar, *beberapa saat kemudian* nunggu lama. Lanjutan",negative
"Bakso soun teramat nikmat untuk diabaikan. Bandung memang banyak menu bakso, tapi bakso soun lain daripada yang lain. Makan bakso dengan esnya sangat menyegarkan.",positive
Penasaran dgn baso so'un yg selalu ramai teruss ternyata enak bangett dgn kuahnya yg gurihh dan sambelnya yg pedasss bingitttt dan menu basonya bermacam-macam ditambah mie kriukknya dimangkok terpisah apalagi ada minuman yg lucu namanya es selalu dipesan dan es selalu dikenang dan ternyata enakkkk bingittttt murah lagii jadi pengenn kesini lagi terus tempatnya santai enak juga buat nongki bareng. Lanjutan,positive
"Makanan sudah oke, namun untuk penataan tempat duduk kurang, terlihat terlalu crowded sehingga tidak nyaman, harga lumayan dengan kualitas yg ya oke lah",negative
"Pertama mencoba ketika pertama buka dulu di jl Lodaya, bakso kampung dengan harga murah dengan tempat lumayan. Rasanya sih biasa saja, tp bbrp hari lalu mencoba kembali setelah sekian lama. Bakso kampung yg kini berada di jl Veteran berubah sudah rasa tidak enak, mahal lg, dari kuah di hitung, sayur sedikit di hitung apa2 di hitung terpisah jatuhnya mahal sekali. Lanjutan",negative
Tempat yang enak dan gampang dicari tempat makan di bandung yang rasanya seperti di jogjakarta karena semua pelayannya bisa berbahasa jawa mie ayam rasanya sedap dengan ciptarasa jawa,positive
baksonya enak. sayang porsinya sedikit. pertama kali meragukan seenak apaa. ternayta enak. ceeker ayamnya juga enak.,positive
"porsinya kecil tapi kaldunya enaaakkkk. harganya murah, tapi karena sedikit, jadi bisa pesan 2 porsi. favorit : baso soun dengan tambahan mie kriuknya.",positive
"Saya sangat suka dengan tekstur baksonya, lembut, dan kelihatan lebih banyak daging dibandingkan tepung. Kuahnya kaya rasa, dan jangan lupa pesan kriuk-kriuk (sejenis mie yang digoreng kering sehingga menjadi kerupuk) untuk teman makan baso.",positive
"satu yang disayangkan yaitu porsinya, menurut saya kurang nendang karena porsinya kurang, saya mesti mesan 2 porsi kalau kemari.",positive
Basonya biasa saja. Kuahnya berbau daging tidak sedap. Harganya tapi murah. Tempatnya selalu penuh dikunjungi oleh tamu2.,negative
"Bakso urat dan so'un yang enak, dan mie ayam juga enak akan tetapi porsinya terlalu sedikit sehingga hanya beberapa suap saja sudah habis. Sebagai cemilan ada kerupuk pangsit dan ""kriuk"" yang terbuat dari mie digoreng sehingga sewaktu masuk mulut bunyi kriuk-kriuk.",positive
"Awalnya mau makan batagor kingsley tapi pas melintas di jalan lodaya kok ada warung mie ayam baso yg ramee bgt n tempatnya asik.akhirnya minggirlah disitu.saya pesen mie ayam nya.ternyata.enak banget, rasanya khas mie ayam kampung, pas asin, manis, gurihnya. Dan.kelebuhan lainnya adalah tempatnya bersih dan luas.karena kan jarang2 kita nemuin tukang mie ayam dgn tempat yg asik gini, biasanya kan. Lanjutan",positive
"Secara tidak sengaja saya menemukan tempat makan bakso ini. Baksonya enak dan kuahnya : the real kuah bakso, bukan enak karena penyedap. Mie ayamnya pun demikian. Porsinya kecil dan mungkin kurang mengenyangkan. Selain bakso dan mie ayam. mereka menyediakan juga es sirop sebagai desert. Ada juga pangsit dan goreng mie. Tempatnya enak untuk kumpul-kumpul dan tidak memalukan juga kalo mengajak. Lanjutan",positive
