content,polarity
"Ayam Kung Po Paling best . Service cepat, makanan minuman semua sedap.Dah kali ke dua datang makan kat TA WAN",positive
"Jika makan dengan orang tua saya, saya selalu memilih tempat yang aman dikarenakan selera orang tua saya yang cenderung pemilih. Makanya ketika waktunya makan siang dan sedang berada di Paris Van Java, saya pun langsung memilih restoran ini dikarenakan mereka suka dengan rasanya. Sayangnya ketika kami makan di sana, makanan yang kami biasa pesan tidak terlalu enak rasanya. Padahal biasanya. Lanjutan",negative
"Sara kesini bersama rombongan untuk makan malam. Hawa sejuk di Bandung bikin lapar terus haha. Makanan di ta wan enak2, dan ga harus melulu bubur. Menu yang biasa saya pesan: lumpia lie hong kian, buncis, cumi cabe garam, jamur enoki, dan sapi lada hitam. Selamat mencoba!",positive
"lokasinya dekat kantor, kalau lg kurang enak badan, makan bubur seafood/ikan nya badan berasa anget. porsi bubur paling kecil bisa untuk berdua.fav makanan pendamping adalah udang nanas bumbu rujak.asli ini bikin nagih, enak bangeeett",positive
Masakannya enak.porsinya porsi berdua.kacang panjang daging cincangnya uuenak.menu yang lain juga uuenak. Buat cemilannya jamur enoki goreng,positive
"saya suka bubur ikannya, enak dan gurih, meskipun tidak terlalu kental. dicampur dengan sambel rasanya mantap banget. ikannya di rebus tanpa kulit dan terasa lembut di mulut. juga ada potongan cakue dan irisan daun seledri didalamnya. juga saya suka sama sapo tahunya. kuah nya kental kecoklatan. Dicampur dengan wortel dan jamur menjadi lebih enak",positive
bubur ayam dengan telor pitan yang hangat dan lesat ditambah pangsit udang menambah lezatnya bubur dari resto ini.,positive
"Senin sore saya ke restaurant ini,kira"" jam 2 siang.saya memesan kepiting lemburi (rasanya enak,wanginya juga menggoda selera,renyah) sapo tahu seafood(terdiri dari potong""an cumi,udang,jamur,tahu jepang),kacang panjang cah sapi,nasi goreng kepiting(nasinya lembek,enak,cocok buat yg bawa anak kecil),sapi lada hitam(bumbunya mersap ke dagingnya,rasa agak sedikit pedas),juice melon,juice tomat,sup jagung kepiting(enak,porsinya besar,bisa buat 4 org)",positive
"Gambar di menunya sangat menarik tapi tidak sesuai dengan kenyataan ketika disajikan. Sapo tahu seafoodnya, ikannya sudah bau. Buburnya biasa saja berbau tepung. Nasi goreng seafoodnya hampir tidak ada seafoodnya. Cuma nasi saja dan bawang.",negative
"Salah satu restoran yang menjual makanan khas tiongkok favorit saya. Terutama buburnya yang tidak kalah enak, murah dengan porsi yang cukup besar! Makanan lainnya pun enak, dan harganya cukup terjangkau",positive
restoran disini selalu penuh karena letaknya yang strategis di pintu masuk Mall Paris Van Java.pelayanan rata-rata.rasa bubur cukup enak.rasa masakan Chinese food juga cukup enak.proses penyajian dari order sampai serving juga cukup cepat.,positive
Kesukaan saya disini itu buburnya. Enak dan porsinya besar. Kepiting soka lada garamnya kurang enak dan banyak minyak sekali. Togenya lumayan.,positive
"Salah satu tempat favorit jika ingin makan bubur ya di ta wan,selain harga murah , banyak dan enak apalagi bubur 3 rasa nya top. Meskipun agak encer ,rasa kaldunya terasa.Untuk menu lainnya cukup enak , udang mayonaise jg broccoli 3 mushroom. Sayang sekarang kenaikan harganya cukup tinggi, dengan porsi lebih kecil terasa mahal, untuk pelayanan cukup ramah, lebih baik harganya. Lanjutan",positive
"Pertama kali bulan lalu diajak makan oleh teman, restoran nya cukup bagus dan berada di PVJ kalangan bergengsi. Tapi mereka punya menu bubur chinese yang super lezat, harga nya pun tidak terlalu mahal karena porsinya lumayan besar. Belum lagi favorit ku Lumpia Keju.Empuk banget gak kayak lumpia2 goreng tapi lebih kayak lumpia steam gitu. Enak.",positive
"Buncis daging dan jamur goreng tepung jadi favorit disini, hanya saja porsi kecil dan harga cukup mahal",positive
Paling favorit di resto ini adalah bubur 3 rasa. 1 mangkok besar bisa untuk berdua sama suami. trus banyak menunya untuk tambahan makan sama bubur. Harga dan rasa sesuai. Dan yang pasti teman makan bubur adalah hot chinese tea hmmm.enak!,positive
"Kami suka mengunjungi resto ini karena bubur-nya, porsinya pas dan enak. Cocok juga bila dihidangkan dengan menu dimsum yang ada di Ta Wan.",positive
"Ta wan ada di beberapa kota.dan rasanya sdh standart. saya suka kepiting cream soupnya.jg berbagai macam bubur nya.biasanya pesan bubur telur asin ayam phitan.jd telur asin nya dicampurkan di bubur.dan toppingnya ada keripik pangsit,ayam dan telur phitan.atau bisa jg pake udang.sesuai selera lah.keripik pangsit bisa jg ganti cakue porsinya banyak.jadi cukup utk 2 orang.",positive
