content,polarity
"Lokasi bisa diakses dari Jl Hasanudin atau Jl Pager Gunung, parkir cukup banyak disekitar Jl Hasanudin. Biasanya ramai dari siang sampai malam, selain keluarga juga banyak mahasiswa yang makan disini. Menu variatif : mie & chinese food, jamu, dim sum, tahu gejrot. Pelayan sigap tetapi kurang ramah. Penyajian makanan biasanya cepat untuk mie, menunggu untuk yang harus dimasak atau diolah. Lanjutan",positive
Hidden Gems. Toko nya ga ada plangnya. Cari aja pintu samping rumah sakit boromeous yang arah dago nanti ada pendopo masuk kesitu. Good eperience doesnt need promotion anymore.,positive
"Lokasinya agak tersembunyi, meski berada di pinggir jalan persis. Tertutup oleh tanaman. suasana tradisional, menu cukup lengkap. Andalannya yamin. Harga cukup mahal. terdapat toko di tengah2 (mungkin cikal bakal resto ini) menjual berbagai macam snack tempo dulu dan juga berbagai es krim.",positive
"Menu makanan dan minuman di sini bervariasi. Dari jamu-jamuan sampai es krim ada di sini. Lokasinya berdekatan dengan RS Borromeus. Gak ada plangnya, tempatnya tertutup pohon dan tanaman. Favorit sejak tahun 1990an.",positive
Cukup sulit menemukan restoran ini. Masuk kedalam area restoran seakan-akan masuk ke rumah yang homey. Sayangnya hanya ada area terbuka dan tidak ada pembatas smoking dan non smoking. Kualitas makanan sangat baik dan anda dapat membeli mie mentah yang siap diolah menjadi mie rebus yang enak. Harga makanan di range 50rb. Ada counter khusus menjual burger dengan daging fresh yang. Lanjutan,positive
"bertahan diantara begitu banyaknya pilihan kuliner di kota bandung pasti ada yang istimewa. harus diakui kalau pangsit rebusnya sangat enak, ringan dimulut dan lembut. tempatnya nyg sedikit tersembunyi membuat pengunjung merasa nyaman di dalamnya.",positive
"Tempatnya sangat nyaman jika tidak ada asap rokok dimana-mana. Makanan yang disajikan sebenarnya makanan yang tidak terlihat fancy seperti mie ayam atau yamin manis atau asin, tapi suasana dan interiornya membuat kita nyaman untuk berlama-lama di sini. Uniknya, di sini menyediakan minuman jamu beragam jenis, baik panas maupun dingin.",positive
"Lokasinya strategis! Menu makanannya variatif, ada jamu juga. Mie yamien bakso sapi nya enak! Harga terjangkau! Recommended!",positive
"Tempatnya asik,nuansa tempo dulu. Makanannya enak spt banyak review ayam goreng mentega,rawon panggangnya juara!!tapi sayang tdk didukung pelayanan yg baik. Pelayan susah dicari. Dipanggil ogah2an.dan jgnkan berharap disapa dan diucapkan terima kasih. SENYUM aja langka!!",positive
"Tempat ini menjadi pilihan untuk berkumpul dengan banyak teman. Jika anda datang dengan banyak teman, infokan kepada pelayan. Mereka dengan ramah akan membantu anda untuk mendapatkan tempat. Tempat ini selalu ramai di malam hari. Jika akhir pekan, terdapat layar besar untuk menonton pertandingan bola. Lokasinya yang strategis dekat jalan Dago, membuat tempat ini mejadi pilihan untuk tempat bertemu. Pilhan menu. Lanjutan",positive
"Tertarik dengan rekomendasi banyak orang saya menuju kesana saya memesan Yahun Saus Taoco, Hakau, Tahu Gejrot, Teh Poci dan Es Krim Teh Hejo. Semua rasanya biasa saja, untuk tahu gejrot malah rasanya hambar dan agak bau. Suasana tempat dan menu makan beragam memang bagus tapi saya tidak cukup puas.",positive
"Letaknya di jalan hasanudin dekat dengan kawasan FO di daerah Dago. Paling menarik bila datang pada malam hari, karena suasana temaram dengan nyala lilin di setiap meja. Atmosfir yang dibangun adalah suasana tradisional Jawa, namun menu yang ditawarkan adalah mix asia dan sedikit eropa. Saya mencoba yamin asin campur, terdiri dari noodle disajikan dengan bakso dan kuah, siomay goreng, pangsit. Lanjutan",positive
"Tempat nongkrong jadul di bandung, suasana sejuk krn banyak pohon, dan rumah jaman belanda. Makanan yg jadi favorit kwetiau siram dan nasi goreng",positive
"Tempat ini udah lama banget ada di bandung dari 1947,tempatnya dari dulu ya begitu aja.ornamen nya dominan kayu ukir.jd kayak di jawa tempo dulu.:),padahal makanannya menurutku lbh ke chinesse food. Mie ayam dan mie yaminnya termasuk legendaris.tp buat saya lbh enak makan nasi"" nya.banyak variannya.paling saya suka nasi ayam lapis udang.itu fillet ayam dicampur udang digoreng tepung,dan ada saus nya. Lanjutan",positive
"Bagi yg pertama kali pasti tidak akan menemukan tempat ini, lokasinya tidak dilengkapi dengan nama tempat, tertutup dr luar. Tapi setelah masuk anak akan tercengang karena tempat makan ini tidak pernah sepi dr pengunjung. Coba memesan makanan dr sini, sepertinya makanannya standart saja baik penampilan maupun rasa. Sangat menakjubkan, mengapa restoran ini tdk pernah sepi walau menurut saya rasa makanannya. Lanjutan",positive
"tempatnya tradisional, mie yaminnya lumayan. banyak menu pilihan makanan, tempatnya agak nyelip mirip kayak rumah biasa",positive
Awalnya cukup sulit untuk menemukan restoran ini karena letaknya yang sedikit tertutup oleh pohon-pohon tinggi dan tidak begitu terang. Sekilas tidak,positive
"Selama empat tahun saya kuliah di ITB, baru tahun keempat saya mengetahui ada restoran yang namanya Toko Yu di dekat kampus saya, hanya tinggal berjalan kaki. Pertama kali saya kesana, teman saya merekomendasikan yamin, akan tetapi saya sedang ingin makan nasi, jadilah saya memesan Rawon Spesial Toko Yu. Setelah datang, ternyata daging dan kuah rawonnya dipisah, dan dagingnya dimasak dengan. Lanjutan",positive
"Mencari lokasi resto ini lumayan jelimet. Masih di area Dago, tapi gue saranin dengan sangat pakai GPS untuk menemukan lokasi tepatnya. Letaknya di sudut jalan dan tidak ada papan namanya, resto ini berlokasi di sebuah rumah yang asri. Beroperasi sejak 1947, resto ini asalnya adalah sebuah usaha industri rumah yang memproduksi mie. Karena itu, saya sangat menyarankan untuk memilih menu. Lanjutan",positive
"tempatnya agak tersembunyi, agak sulit menemukannya. tapi setelah masuk, ternyata restorannya cukup luas. menu makanan variatif, harga affordable. sayang pramusajinya kurang cekatan, jd waktu mau pesan harus bolak balik panggil pelayannya dulu",positive
"toko lama yang masih bertahan, terkenal karena mie yamin nya. suasananya enak dan tidak terlalu ramai banyak pilihan makanan rekomended mie yamin manis nya tapi sayang harganya terlalu mahal",positive
"Suasananya sangat homey sekali, dan banyak pohon rindang di sekelilingnya, namun memang agak susah untuk menemukan tempatnya karena tidak terlihat adanya sign name. makanannya enak, otentik indonesia",positive
