content,polarity
"Waktu ke sana pesan Nasi Tutug Oncom, rasanya enak banget. Sayang waktu itu salah pesan lauk padanannya. Saya pesan dendeng, ternyata dendengnya versi kering dan garing. Mungkin lebih cocok dimakan bareng empal atau ayam goreng. Pesanan kedua semacam hidangan ikan, lupa namanya tapi rasanya juga enak banget. Porsinya lumayan besar jadi kenyang. Salut juga, untuk ukuran restoran, tempat ini jago. Lanjutan",positive
Sudah lama tidak berkunjung kesini tapi rasanya tidak berubah. Rostinya tetap enak. Escargotnya juga top. Pelayanan bgs,positive
"Resto ini tempatnya sangat nyaman dan enak untuk santai sambil menikmati hidangan yang tersedia disini. Nuansa desain interiornya kombinasi Jawa dan Bali. Ada bsgian indoor dan outdoor. Lengkap dengan taman dan kolam. Tersedia beragam menu seperti Nasi Soto, Nasi rawon, Ayam penyet, Steak, Chicken cream soup, dan masih banyak lagi. Chicken cream soupnya enak , gurih dan segar. Ayam penyet. Lanjutan",positive
"Menu yang di sajikan di temat ini sama dengan masakan-masakan indonesia lainnya, hanya mungkin beda dengan bumbu-bumbunya/ yang meraciknya masakannya indonesia banget dan ada eropa nya juga. rasa nyasemua enak-enak koq, seperti nuansa di rumah deh.",positive
"Restoran sudah agak lama, butuh renovasi. Udara sejuk dan suasana tenang. Saya memesan menu : escargot, cannelloni, nasi tutuq oncom, pisang goreng, dan 2 es kelapa jeruk. Total pembayaran sekitar 230.000. Untuk harga tidak terlalu mahal. Rasa makanan enak, terutama pastanya.",positive
"Rosti seafoodnya enak. Wajib dicoba. Untuk menu indonesianya juga banyak macamnya, enak, dan harga terjangkau. Pelayanan cukup baik.",positive
Suasana sangat tenang berbeda dengan cafe yang terletak berdekatan. Menu makanan tradisional cukup enak. Datanglah di sore hari untuk mendapatkan suasana yang nyaman. Kekurangan utama di cafe ini adalah tidak menyediakan kopi yang memadai,positive
"Di daerah ciumbuleuit dekat miss bee, suasana tempatnya enak, nyaman n adem, makanannya lumayan enak, fish n chip nya mantap juga.",positive
"Suasana disini cocok banget untuk yang lagi kencan. Makanannya ada Indonesia dan Barat. Cobain deh rostinya, enak. ig: sharetheyumz",positive
Ini restoran kesukaan keluarga kami. Disini kopinya enak dan keras. Roti-rotinya juga banyak pilihan. Ada mamanan indonesia dan barat jadi lengkap untuk seluruh keluarga.,positive
"Makan di tempat ini lebih mirip dengan mencari alternatif, setidaknya menghilangkan rasa jemu keseharian makan di rumah. Bila takut ambil resiko, maka nasi goreng dan es teh manis masih menjadi solusi, namun lebih dari itu mungkin semuanya masih abu-abu. Namun setidaknya restoran ini masih punya standar yang membuat pelanggannya tidak kuatir kehilangan uangnya -apalagi tempat dan lokasinya memanjakan kita dengan. Lanjutan",positive
Warung Ethnic di bandung utara (ciumbuluit) . Itu warung makanan semacam nasi kuning . Karedok . Gado2 .dan ada kerupuk sambel . Makanan nya sih biasa-biasa tak ada yamg sepecial .,positive
"Hidangan yang unik sesuai namanya dapat dijumpai di sini, selain menu masakan indonesia dan eropa yang membuat ktagihan untuk mencobanya lagi",positive
Kami sekeluarga serimg mampir di waroeng Etnick .untuk mkan pagi .Makanan nya enak2 . Kami sering nasi kuning nya . Dan roti bakar,positive
"Menu makanan selain eropa juga ada indonesian menu spt gado2, tutug oncom, rawon, ayam penyet, terong penyet, tahu tek, minuman pun ada teh sereh, teh poci",positive
Ini resto favorite keluarga saya tiap sabtu pagi. Kopinya mantap. Roti2annya juga enak2. Disini menunya lengkap dari indonesia dan barat jadi semua selera terpenuhi.,positive
"Utk resto yang relatif kecil & sedikit tua bangunannya, menunya lengkap & rasanya pun enak. Suasana rumahan menambah nuansa yang menyenangkan. Harganya pun relatif murah. Melebihi ekspektasi saya!",positive
