content,polarity
"Saya ke Badung di malam Minggu bersama teman-teman, sebelum pulang kembali ke Bali. Mencoba tempat ini untuk sekedar ngobrol dan santai. Tempatnya enak, harga makanan & minuman standart, musik DJ tidak terlalu keras. Jadi bisa ngobrol tanpa harus teriak. Konsep nya bagus, pelayanan server memuaskan.",positive
sudah 6 kali kesini. Untuk urusan bisnis. Ise coffe selalu saya pesan dengan makanan ringan kentangnya. Makanan berat beragam sih tapi cukup asik. Maju terus ya.,positive
"tempat nongkrong yang paling enak bareng dengan pasangan atau teman-teman, menu makanan dan minuman semua enak dengan harga yang lumayan, tempatnya outdoor di tengah, membuat udara selalu segar",positive
Cheese chiken steak favorite saya dan sop buntutnya saya suka banyak menawarkan minuman alkohol lalu tempatnya cocok untuk berkumpul . yaap termasuk list favorit saya di bandung,positive
"Tempatnya nyaman bgt, karna konsepnya outdoor gtu jd dpt fresh air setiap kali nongkrong disini. Tempatnya jg strategis tp ga begitu ramai sama kendaraan jd enak jg buat nongkrong sambil nyantai. Singapore sling ama long island nya jg enak dan cukup murah. Makanannya jg cukup enak.",positive
"Sambil reuni bareng teman yang hampir 2tahun gak ketemu, cari tempat ditengah kota ya caffe Badung tempatnya suasananya santai gak terlalu berisik sambil dinner sambil kita curhat curhatan pokoknya asikk tempatnya",positive
Dengan cuaca bandung yang sejuk sangat cocok tempat ini bergaya open air alias terbuka. Penyusunan tempat duduk dan bar sesuai terasa nyaman. Minuman makanannya pun bervariasi dan enak rasanya. Acara kumpul bersama teman menjadi semakin asik sampai lupa pulang deh.,positive
"Keluarga saya dan saya mengunjungi tempat ini secara teratur ketika kami pergi ke bandung. Tempat ini cosy dan makanan adalah luar biasa dan hemat. Pesanan kami biasanya terdiri dari sayap ayam badung (sebagai pembuka), pasta rawit (cukup pedas, dapat dimasukkan sebagai lauk dengan steak), nasi goreng badung, sop buntut, dan sate daging sapi atau ribs panggang. Jika anda menginginkan untuk. Lanjutan",positive
tempat ini merupakan salah satu tempat hangout anak muda Bandung yang ramai di kunjungi. Terdapat permainan i darts dan motor gede di pintu masuk resto.Ada live music juga disini.must try,positive
"Tempat ini salah satu tempat nongkrong yang selalu ramai. Suasana tempat yang mendukung, ditambah bir dingin membuat pengunjung menyukainya.",positive
Bulan Nov lalu saya sempat makan malam di sini mencoba steak . disarankan untuk reservasi terlebih dahulu karena pelayanannya cukup lama dan steak yg saya minta well done . keluarnya medium . dan overall untuk bumbu mushroomnya saya kurang cocok @__@ dan juice yg ada juga tidak ada yg fresh . jadi rada kurang ok @__@ kalau yg suka maem. Lanjutan,positive
