content,polarity
"May Star Restaurant merupakan Chiness Resto di bandung yang terkenal dengan Dimsumnya, Bakpau dan Cekernya wajib di coba dan mendapatkan sensasi tersendiri saat memakannya.",positive
"Restoran May Star ini selalu menjadi favorit keluarga kami karena kami selalu merasa puas dengan makanan, pelayanan, dan atmosfer restoran ini. Citarasa yang ditawarkan memiliki keunikan tersendiri dibandingkan dengan restoran masakan Cina lainnya.",positive
"karena berlokasi di hotel panghegar yang notabene restoran berbintang, may star sudah pasti merupakan hotel untuk kalangan atas. saya belum pernah kesana namun berniat untuk kesana dalam waktu dekat ini",positive
"May star restoran, di bandung di dalam hotel panghegar .restoran ini hidangkan chinese food halal , mkanan nya enak . Tiap pagi ada yam cha . Dan siang dan malam masakan chinese food dan sea food. Apa lagi Lobster nya wow enak nya .",positive
"enak all you can eat di sini. cuma kalau ke sini pakai motor,resikonya harus muter muter ke tingkat atas untuk parkir. pusing bo muter2 jalannya",positive
"Resto ini adalah cabang dari Jakarta, menjual chinese food. Ada dimsumnya juga. Untuk harga lumayan mahal, tp dengan promo bank/promo resto, anda bisa dapat potongan yg lumayan",positive
"Biasa aja sebenarnya ini tempat, agak mahal juga, tetapi tempatnya dekat dari kosan. Hahahaha, Semoga berkembang.",positive
"Makanan enak2 semua ampe ngiler, apalagi pancake durian nya enak banget :(. harga sih klw menurut gw aga lumayan mengurangi isi dompet :)",positive
Dari banyak menu bebek panggang yang paling sering dijadikan hadiah. padahal bebek panggangnya enak.,positive
sebenernya makanannya enak tapi harganya relatif mahal. Paling enak dim sum nya disana. MUST TRY!! :D,positive
"May Star Restorant adalah salah satu dari sekian restorant yang menyediakan chinesse food, terletak di jl. merdeka bersatu dengan Grand Royal Panghegar Hotel, disamping Rel kereta api yang mungkin menjadi salah satu daya tarik juga buat pengunjung.",positive
May star rasanya enak tempatnya juga bagus dan mewah.Dengan menu halal yang banyak pilihannya sesuai dengan selera kita.,positive
"May star restoran di jalan merdeka, didalam komplek hotel panghegar,restoran ini cukpup ramai, apa lagi hari sabtu dann minggun, restoran ini penuh sesak,makanan nya cukup enak2 ya.",positive
"Resto itu berada di hotel Grand Royal Panghegar, resto ini merupakan resto chinese yang termasuk mewah di Bandung, Makannya enak, kebetulan saya coba makanan dim sum nya disini.",positive
"May star adalah restaurant yang terletak di dalam hotel grand royal panghegar, disana saya sangat menyukai dimsum yang disajikan, dan kalau main menunya adalah gurame yang disajikan seperti di atas perahu, lupa namanya apa.hehe",positive
"Makanannya rasanya enak dan pelayanannya juga memuaskan, kadang Maystar bekerja sama dengan kartu kredit memberikan diskon, makin good value.",positive
"Menyediakan dimsum halal dan aneka makanan dengan harga yang cukup mahal, namun rasanya cukup enak. Menu dimsumnya juga cukup variatif jadi ga bosen nyoba bermacam menu.",positive
Yam cha di may star testoran bandung: umum nya seperti sio may. Deep goreng udang mayonine kaki ayam . Bapao isi dan appke pie adalalah favorite keluarga saya,positive
"Restoran Chinese food ternama, cabang dari may star jakarta, hanya saja yang di bandung ini versi halalnya.",positive
"Terkenal dengan tim ikan malas, ada private room yang dapat difungsikan utk ruang meeting dengan client, lokasi di pusat kota",positive
"Dimsum nya enak! udang nya pun besar-besar dan segar-segar! MayStar di Bandung halal, beberapa orang menyayangkannya, karena babi susu di MayStar Jakarta rasanya enak. Overall, rasa makanan di MayStar enak dengan harga yang pantas.",positive
"makan malam di restaurant ini bersama salah seorang klien, interior yang cukup menarik dan harga yang masih masuk akal",positive
"Restoran dengan menu andalan dimsum & chinese food. Dimsum & Chinese food cukup nikmat, namun tempat yang terbatas terutama pada hari minggu cukup menyulitkan mendapatkan meja.Letak meja yang terlalu berdekatan & tempat yang kurang luas juga plafond yang tidak begitu tinggi menyebabkan tempat ini terasa agak sumpek di jam makan yang ramai.",positive
"Berbekal kupon diskon dari Disdus, saya dan keluarga memutuskan makan malam di tempat ini. Terletak di hotel Panghegar Bandung, restoran ini cukup strategis dan mudah dijangkau dengan kendaraan umum. Sekitar 10 menit dengan kendaraan umum dari area Dago. Pelayannya ramah dan segala menu dengan embel-embel ""telur asin"" nya patut dicoba.",positive
