content,polarity
Buat penyuka makanan sunda boleh loh di coba makan disini. Ayam gorengnya enakkkk bgd. Sambelnya juga . Harga ga mahal kok .,positive
"Setiap Ke Bandung saya pasti kesini. Makanannya memang terlihat seperti makanan rumahan pada umumnya. Namun, rasanya menurut saya enak, bumbu2 makanan yang disajikan terasa pas dan bumbunya terasa. Konsep RM nya juga Unik dengan menjadikan bangunan rumah sebagai rumah makan, sehingga kita serasa makan di rumah sendiri",positive
"RM Ibu Haji Cijantung di Jalan Merak Bandung merupakan restoran yang selalu kali kunjungi setiap ke Bandung. Makanannya seperti Ayam goreng, Ikan Mas Goreng dan Baby Fish enak dan sambalnya mantap. Disini juga terdapat beberapa menu minuman yang dapat menjadi pilihan.",positive
"Lokasi strategis di dekat stadiun persib Suasana tempat makan retro nyunda Menu banyak pilihan Menu kegemaran ad pepes teri, ayam goreng, babat dan lidah goreng semuanya wajib dibungkus dgn sambel dadak pedas. Akhir minggu selalu kesana",positive
"masakan traditional dari sunda.ayam goreng, ikan mas, karedok, sambelnya semua enak dan dijamin nambah nasinya. servicenya cepat dan memuaskan, suasana restorannya sederhana, terkesan tempo dulu. tapi menurut saya yang penting ""RASA"" dari masakananya. JUARA.",positive
"Rumah makan sunda "" Ciganea"" buka di mana2 . Yang paling enak adalah sambal dadak nya. Dan juga nasi pulen nya. Untuk lain2 nya biasa-biasa saja .",positive
"Salah satu restoran sunda favorit saya, dengan sambal khasnya yang enak. Favorit saya adalah ikan mas kecil nya, sangat lezat dinikmati dengan sambalnya. suasana tempat makan pun cukup nyaman.",positive
"Favorit sambal terasinya, harus coba ikan belah goreng yang sangat enak. Kering sampai duri2nya . Pepes teri juga enak sekali",positive
"RM makan ini menyajikan ayam goreng paling enak yang pernah saya temui diantara rumah makan sunda di Bandung. Ditambah dengan sambal, sayur asam dan pepes teri nya yang mantap sekali. Harus dicoba.",positive
"RM Ibu Haji Cijantung yang dulunya bernama RM Ciganea ini mempunya beberapa cabang di kota Bandung, Salah satunya berada di Jl. Kemuning. Restaurant traditional khas sunda ini mengusung konsep seperti rumah makan padang, tetapi dengan menu sunda. Lauk pauk utama yang disajikan adalah ayam goreng dan ikan mas goreng, rasa ayam goreng dan tekhnik memasaknya lain dari pada yang lain,. Lanjutan",positive
"Saya baru pertama kali kesini diajak teman. Awalnya terkejut kenapa sangat ramai dan agak ngantri. Kami tidak perlu memilih makanan, ketika duduk dan di meja langsung disajikan beberapa menu seperti ayam goreng mirip dengan ayam pop, ikan goreng, tahu dan tempe goreng, sayur lalapan dan sambal yang mantap. Saya sendiri makan ayam goreng dan ikan goreng dengan pepes tahu dan. Lanjutan",positive
"Salah satu tempat makan sunda favorit dan terbaik di Bandung. Sambal dan lalapannya belum ada yang bisa ngalahin deh pokoknya.Ditambah ayam goreng atau pepesannya yang pasti seru di lidah.Meski menunya terbatas tapi justru ciri khas menu itu yang menbuat restoran ini selalu rame dikunjungi.Jadi kalau anda yang dari luar kota ke Bandung dan ingin makan sunda dengan sambalnya yang khas,. Lanjutan",positive
Saya makan siang di rm ini bersama teman2 kantor saat dinas di bandung. 1. Lokasi cukup strategis dan dekat dgn Prima Rasa. Parkir tdk terlalu luas namun bisa dipinggir jalan. 2. Tempat duduk luas sampai kedalam2. Ini salah satu pertanda kalau makanannya pasti enak2 hehehe. 3. Waaaaaaah sambalnya itu loh. Yg merah tdk begitu pedas. Yg ijo itu loooh. nampol. Lanjutan,positive
"Bukan rahasia lagi kalau ayam goreng ibu ciganea ini selalu menjadi pilihan dan laris diserbu konsumen. Menu lain seperti pepes, tahu, tempe dan yang lain bisa jadi alternatif. Soal harga, masih diatas warung tapi dibawah restoran",positive
"ayam dan ikan goreng, sambel khas sunda maknyus yang ga begitu pedes dan saya suka ini. dan lalapan yg bikin khas sunda banget. mangstab.",positive
"Cita rasa masakah sunda khas yang sudah jarang saya temui di tempat lain. Sambal dadak dengan rasa yang menyegarkan, ayam goreng panas, puyuh goreng, ikan mas balita goreng, semua menu memiliki rasa luar biasa. Garansi, anda akan kembali lagi jika mengingat rasanya yang khas.",positive
"Dipaksa boss makan di sini. well gak dipaksa banget sih, tapi lumayan maksa. Ayamnya enak, ikannya enak, nasi sayur dll nya enak. Tapi yang paling kerasa enak itu sambalnya. Kurang pedes in my opinion, tapi enak banget. Overall, enak!",positive
"Rumah Makan tradisional khas Sunda ini sangat terkenal dengan sambalnya yg mantap dan segar. Menu andalan rumah makan ini adalah baby fish goreng, pepes teri, dan sambalnya yg mantap itu. Rumah makan ini memiliki 3 cabang di bandung, ada di jalan lodaya, jalan japati, dan jalan kemuning.",positive
"Restoran ini menyajikan menu masakan Sunda tanpa sayur sedikitpun hanya berupa lalapan saja & semua lauknya serba digoreng seperti : ikan, daging, tempe & tahu, burung, ayam.Yang paling enaaak adalah sambal & burung malon gorengnya.Sambalnya pedeess gilaa & cocok bila dipadu dengan semua lauknya.Sedangkan burung malon gorengnya empuuuk pake BGT.Pokoknya TOP MARKOTOP. Pelayanannya juga ramah & cepat, begitu tamu duduk,. Lanjutan",positive
"Rasa masakan dan cara penyajian sangat khas Sunda. Rumah makan yang home-base-nya di Purwakarta ini sudah mempunyai banyak cabang, salah satunya di jalan Kemuning, dekat dengan outlet Primarasa di jalan Kemuning, Bandung. Selalu menjadi favorit setiap berkunjung ke Bandung",positive
