content,polarity
"Bebek & ayam goreng nya enak empuk sedap, pengunjung nya ramai bgt, wkt pesan pakai nmr antrian, tapi pelayanan cepat",positive
"Ampun bebeknya enak banget, empuk, ga amis, potongannya sedang, harganya terjangkau. Meski kaki lima, tapi rasa bebeknya enak banget. Ga digoreng kering tp bumbunya brasa dan meresap. Sayangnya kalau makan disini harus rela antri apalagi menjelang malam dan kudu pesan nasi 2 porsi soalnya nasinya sedikit banget. Ga balance sama potongan bebeknya. Kebersihan cukup, pelayanan lumayan cepat. Lokasi strategis, di. Lanjutan",positive
"Lebih sering beli dibungkus daripada makan di tempat. Buka sekitar jam 5 sore, tidak perlu waktu yang lama langsung antrian rame. Klo lg rame, makan di tempat jd kurang nyaman krn banyak yang nunggu/antri duduk. Menu tidak cuma bebek, tapi ada ayam juga. Untuk nasi, tidak sedia nasi uduk, hanya nasi putih biasa. Daging bebeknya empuk, rasanya lumayan. cuma sambelnya. Lanjutan",positive
"Bebek Ali merupakan bebek yang legendaris di kawasan Dago. Jika anda berada di sekitar Dago, tepatnya sekitar ITB atau Unpad, cobalah bebek ini. Walaupun harus mengantre, tapi sepadan dengan rasa yg didapat.",positive
"dikota bandung ada sebuah pedagang kaki lima yang dapat menyaingi kelas resto, adalah bebek ali yang berada dekat jalan dago dan rumah sakit boromeus ini menyajikan menu pecel ayam, bebek, lele. buka pada waktu sehabis magrib, mas ali sang pemilik mulai membuka warungnya. daging bebek dengan treat kusus yang membuat daging terasa sangat empuk dan mudah sekali dicubit untuk memakannya. Lanjutan",positive
"Selalu rame dan antri, menu bebek favorit di Kota Bandung (red : meskipun saya tidak makan bebek).Sambelnya cukup terekomendasi, hmmm.porsi nasinya porsi anak tk so saya pesan nasi tambah lagi :)",positive
"Pertama nyoba, tau dari temen2 kampus. Ternyata bener mantapp pisan hehe. Selain rasanya enak, tempatnya rame serulah buat nongkrong tapi jgn kelamaan kasian yg pada ngantri. :D",positive
"gak heran kenapa suka penuh, bebeknya enak banget dan murah lagi! sambelnya juga enak. semuanya bikin nagihh!",positive
"Bebeknya empuk, gurih, sambalnya mantab dan murah, kalau kebandung disempetin kesini dech jangan kaget walau dateng habis magrib ramenya ampun antrian bisa sudah urutan 90 dan full tempat duduk, kalau kalau gak mau antri dan kehabisan di bunkus aja, suasana warung tenda, yang ideal dateng jam 6an",positive
"Memang ini kuliner pinggir jalan, tapi ramenya minta ampun. Anda harus antri untuk mendapatkan tempat duduk. Pesanan sampai relatif cepat. Rasa makanan relatif enaklah, tapi untuk potongan bebeknya tidak memuaskan ( potongan kecil).",positive
Bebeknya gurih dan empuk. Datang lebih awal karena biasanya susah dapat tempat duduk. Warung hanya buka sore hari.,positive
"salah satu warung bebek teramai di bandung, menu paling juaranya tentu saja bebek goreng dengan nasi. Rasa bebeknya enak dan tidak amis, pelayanannya pun cepat. Dengan begitu ramainya warung ini membuat kita harus cepat makannya karena ditunggu pelanggan lain. Akan lebih baik jika tersedia pilihan nasi uduk",positive
"Warung Tenda khas makanan murmer ala Bandung, buka sore (menjelang magrib) sampai habis. Bebeknya empuk, enak, sambalnya tidak terlalu pedas seperti warung/resto yang menyajikan bebek sebagai hidangan utama. Porsinya agak-agak gaul, Insya Allah Halal, yang paling juara adalah antre-nya panjang banget. Worth t try #KulinerBandung",positive
"I am thinking to write a review in English but it might hinder me to clearly descibe their food. Note to those who cant understand bahasa all you nees to do is to quit and drive to this place. Jadi, Bebek ali borme terletak di sekitaran Dago. Namanya borme mungkin karene lokasinya yang dekat dengan rumah sakit santo borromeus. Jangan. Lanjutan",positive
"Sebagai penggemar bebek, Bebek Ali ini jadi salah satu rekomendasi kalo lagi di Bandung. Harganya murah, namun rasanya oke banget. Tiap ke sini, pasti kondisinya lagi rame banget sampe rela ngantri.",positive
"Bebek paling maknyus di bandung yang pernah saya cobain, ga tau ada yg lebih enak apa ga soalnya blom nyobain :D , disini nasinya boleh nambah sepuasnya, bebeknya empuk banget, n sambelnya pas manis2 pedes. Siap-siap antri kalau datengnya agak telat (baru buka sore) , nanti dikasih nomor antrian, udah berasa ke kantor pajak hehe Tapi setelah nunggu dijamin puas. Lanjutan",positive
"Inilah goreng bebek enak yang saya temui di Bandung. Harganya murah sekitar IDR 23000 perorang untuk satu ekor bebek dan satu minuman. Menariknya, mereka mampu membuat anyir bebek tidak terlalu terasa, dagingnya lembut dan saos tomatnya yg enak. Mereka dagang tidak terlalu lama, sekitar magrib mulai dan tidak jaramg saya temui sebelum jam 2100 sudah habis dan tidak kebagian lagi.",positive
"Setiap saya lewat pasti selalu penuh. Yang saya suka adalah bebeknya digoreng tidak terlalu garing. dan sambalnya tidak terlalu pedas, hanya memang tempatnya tidak terlalu luas",positive
"Udah ga kehitung berapa kali saya mampir di Bebek Ali,walaupun tempetnya di pinggir jalan dan cuma pake tenda,tapi bebek nya gak pernah mengecewakan,empuk,besar,murah,dan gak pernah bau. Yang kurang hanya sambal nya yang menurut saya terlalu manis,tidak pedas sama sekali. Semoga bebek ali bisa berkembang (misalnya bikin cabang atau punya toko)",positive
"Utk ukuran jajanan kaki lima, bebek ali adalah paling top di bandung. Bebeknya empuk, bumbunya meresap, gorengnya renyah. Nasinya hangat, ditemani lalap dan teh panas. Pasti dijamin enak makan. Harga terjangkau utk mahasiswa. Wajib coba kalau ke bandung.",positive
"Setiap ke bandung selalu sempetin buat makan ini, bebek nya empuk dan ga bau. Jam 8 kol gorengnya sudah habis. Setiap hari selalu harus ngantri dulu. Kalau berharap tempatnya bagus lebih baik jangan makan disini karna ini warung tenda.",positive
"Enak.enak.enak. bebeknya empuk dan nggak amis. dulu nggak suka sama yg namanya bebek, tapi sekali nyobain bebek ali, langsung nagih!!",positive
Salah satu tempat makan kaki lima yang terjangkau oleh mahasiswa. Letaknya juga strategis di pinggir Jl. Dago. Sekitaran magrib pasti tempat ini penuh oleh pengunjung dan lumayan mengantri. Tapi managemen pelayanannya cukup rapi sehingga tidak perlu emosi karena ada yang memotong antrian. Menu yang direkomendasikan tentu saja bebek goreng dan sambalnya. Jangan lupa minta juga agar kol-nya digoreng,positive
"Bebek Ali Borromeus? Siapa siy yang ga tau tempat ini. Hrga bebek yang terjangkau, terletak di tempat yang mudah di jangkau pula. 1 porsi bebek+ nasi+ sambal + lalap hanya 15rb saja. Bagi saya sambalnya kurang pedes siy, tomatnya kebanyakan ketimbang sambalnya. Kalo mo datang kesini, kalo bisa sebelum jam 6 sore, sebelum antrian panjang menunggu di belakang anda.",positive
makanan lokal lumayan nikmat dan murah. tempat nya kurang pas karena berada d pinggir jalan. klo pny tempat yg enak mungkin akan lebih rame lagi.,positive
