content,polarity
"Halo kali ini saya berkunjung untuk mencoba makan di Sate Kambing Pak Gino. Masakannya benar benar enak dengan bumbu yang meresap. Recommended banget, sate kambing nya enak, tongseng nya enak, dan tidak lupa saya juga mencoba nasi goreng kencur nya enak dan mantap lezatnya. Silahkan dicoba untuk mencoba makan di Sate Kambing Pak Gino. Selamat Makan, terima kasih.",positive
"Saya hobi makan daging kambing. Di Bandung tempat inilah yang saya tuju bila ingin makan menu daging kambing. Tongseng, sate dan gule kambingnya sangat lezat. Menu daging sapi juga tersedia. segala aneka juice buah juga ada. Parkiran agak sempit sehingga pada saat makan siang sering tidak tersedia parkir.",positive
"Restoran ini terletak tepat di samping rel kereta api di sebelah kanan jalan Sunda. Begitu mencoba, rasanya luar biasa dan dagingnya empuk. Bumbunya juga tersedia kecap dan kacang sekaligus. Harganya standar mengingat daging saat ini memang sedang mahal.",positive
"Satenya empuk, juicy, dan rasa bumbunya pas. Enak banget!!! Tapi tongsengnya biasa aja, dan gulainya juga terlalu berempah",positive
"Mulai makan disini sejak tahun 2007, kalau tidak salah dulu 1 porsi 10 tusuk harga nya 28 ribu. Sekarang 1 porsi sudah 50 ribu yang polos tanpa lemak, dan 45 ribu untuk yang pakai lemak. Tongseng kambing nya juga sekitar 50 ribu per porsi. Satenya lembut, juicy, bumbunya enak, pas dengan saus kecap/kacang tinggal pilih, tak lupa ditambah irisan kol,. Lanjutan",positive
Sate kambingnya empuk tapi kecil-kecil. Sesuai dengan harganya yang cukup murah. Tempatnya kotor dan lantainya lengket.,negative
"Rasa empuk daging sate kambing ini membuat lidahku terus bergoyang sangat juicy, disajikan dengan hotplate wow.jangan lupa untuk merasakan sensasi rasa terbaik dari tongseng, begitu tastefull and lembut saat masuk ke mulutku, gulai nya juga tak kalah enaknya, kalian harus datang dan rasakan sendiri!!!",positive
"Banyak sekali jenis kuliner di Bandung, menu lokal maupun eropa mudah dijumpai di Bandung ini. Jika yg dicari adalah Sate Kambing, ada empat unggulan yakni Karjan di Pasirkaliki, Hadori depan Stasiun KA, Marem di Setiabudi dan Pak Gino di jalan Sunda ini. Ada sate ayam dan ada ""the real sate"" yakni Sate Kambing. Rasanya khas gaya Tegal, bumbu kacang dan. Lanjutan",positive
"Warung sate kambing Pak Gino lokasinya mudah ditemukan di Jalan Sunda, Bandung, dekat dengan rel kereta api. Daging satenya empuk benar, bisa dipesan tanpa lemak :-)",positive
Satenya enak. Tongsengnya juga enak. Yang unik ada pilihan 1/2 porsi bahkan untuk lontong dan nasi. Ada juga menu kuah gule. Pelayanan juga cepat. Sayangnya karena parkiran sempit agak susah nyari parkir.,positive
