content,polarity
"Ketika training di Bandung dan bosen dengan makanan hotel yang itu-itu melulu, teman se-training saya mengajak saya untuk makan siang di luar, Dia mengajak ke tempat ini. Tempatnya berada disisi tebing sehingga tempat duduknya membuat kita bias melihat kota Bandung. Makanannya sih biasanya saja dan untungnya tidak mahal. Yang dijual di sini adalah suasana dan pemandangannya",positive
":- Tempe bacem, - gorengan (bala2) - pisang goreng. Suasana warung dg furniture serba kayu dan view ke arah Barat yg ber bukit2. Sayangnya lahan parkir yg sempit dan lokasi di jalanan yg menyempit sehingga sering bikin macet.",positive
"Resto ini bagian interiornya semua isinya terbuat dari kayu. Suasananya sangat nyaman dengan layanan yang baik. Selain itu makan disini bisa melihat panorama yang indah. Menu berbagai macam seperti Nasi timbel, Lontong sayur, Nasi uduk, Tahu goreng bumbu dan lainnya. Nasi Timbel rasanya enak dan gurih. Nasi uduk rasanya mantap. Tahu goreng bumbu terdiri dari lima potong tahu dimakan dengan. Lanjutan",positive
"Selain dari tempat parkir nya yg mungil, lebih baik kalau kemari sambil naik sepeda. Saat melangkahkan kaki untuk masuk, kesan pertama adalah nyaman nih, dekorasi ethnic traditional dengan perencanaan yang baik sehingga udara leluasa mengalir tapi tetap nyaman. Pilihan menu selaras dengan dekorasinya, menu Indonesia, dengan porsi, rasa, dan penyajian yang baik, membuat kunjungan sangat menyenangkan. Nasi Kastrol nya, bisa. Lanjutan",positive
"Saya penasaran dengan Warung ini yg terletak di pinggir jalan raya ramai menuju ke arah dago pakar. Setiap saya lewat kelihatannya selalu ramai. Ternyata tempatnya cukup menyenangkan dan dengan view yg cukup bagus. Enak untuk nongkrong dan bersantai.Karena datang sudah malam, kami memesan roti bakar dan camilan khas bandung : Bala-bala dan pisang goreng. Roti bakarnya enak dan harga makanan. Lanjutan",positive
Warung ini terkesan sederhana tetapi menyimpan pesona yg luar biasa sampai ke hati yg paling dalam dan penuh makna.saya seolah olah di bawa ke lorong waktu di masa silam .teringat ketika saya masih tinggal di kampung halaman.dimana saya menemukan banyak benda-benda peralatan untuk mengolah maupun tempat makanan yang terbuat dari kayu jati yg tak lekang di makan usai dan dapat. Lanjutan,positive
"Lokasi di daerah dago pakat, searah dengan Taman Hutan Raya dan Tebing Keraton! Cocok untuk sarapan! Harga terjangkau! Rasa enak!",positive
Warung taru memiliki menu makanan yang khas dan sangat enak dengan menu pilihan yang sangat banyak serta memiliki pemandangan yang sangat bagus.,positive
"Warung Taru, tempat enak untuk makan nasi tutug oncom. Minum kopi aroma + susu +pisang goreng dan tempe mendoan. Hari Sabtu dan Minggu tempat berkumpul para bikers.",positive
"Biasa disini makan bubur dan mendoan,, setelah bersepeda tempat ini cocok untuk nongkrong. Pagi dengan udara sejuk dan ditemani segelas teh manis hangat mantap sekali rasanya",positive
Setiap lewat warung taru slalu penuh yang parkir karena pnasaran kita coba dan ternyata menunya sederhana tapi nikmat. Nasi kuningnya enak. Mendoan nya bumbu kecapnya kurang hot aja view nya lumayan bagus,positive
"restaurant ini berkonsep etnik dan ada nuansa cafe di pintu masuknya, ke dalam di suguhi view kota Bandung dan sunset yang cantik ( sayang kami tak pandai mengambil moment sunset dlm bentuk jepretan foto ) Makanannya tradisional dan biasa dijual di warung2 kaki lima, seperti mendoan, bubur ketan hitam, pisang goreng, nasi goreng. Anak anak suka sekali dengan pisang goreng,. Lanjutan",positive
