content,polarity
"Lisung Resto ada di atas dan bawah Viewnya indah banget.awal Januari 2017 kemarin menghadiri pernikahan sahabat disana dekorasi indah dan undangannnya adalah keluarga, sahabat terdekat. Tempat pernikahan teman saya ada di bagian Lisung yang bawah. Mungkin jika acara malam bisa melihat lampu2 cantik di kota Bandung Transport yg dari stasiun Bandung: Naik angkot dago stasiun nanti turun di terminal dago,. Lanjutan",positive
"Spaghetti Don Pedro nya enak, sayang service nya ketika melayani rombongan kurang sigap. Ornamennya keren2",positive
Tempat makan yang menyuguhkan pemandangan kota bandung.sejuk.cocok untuk semua aktivitas.meeting.gathering.makn sama pacar atau sama keluarga. Paling suka sama liwetnya.maknyus.,positive
"lokasinya berada di utara kota Bandung, tepatnya persimpangan kedua setelah persimpangan pertama ke THR taman hutan rakyat Dago jalan agak menanjak curam , dari persimpangan tersebut kurang lebih 2 km . posisi ada di kanan jalan. lokasinya tidak terlalu luas, sebuah kafe dengan nuansa etnik dan kayu. sambil makan kita bisa menyaksikan city light kota Bandung. makanan yang ditawarkan tidak. Lanjutan",positive
"Pemandangannya bagus, sambil makan bisa melihat pesawat siap-siap akan landing, kereeennn Menunya banyak pilihan, yg gak rekomen adalah bebek gak enak, aroma bebeknya masih kuat bikin eneg",positive
"Baru kali ini kami kembali ke lisung restaurant sejak terakhir dua tahun lalu. Kami memesan nasi bakar kompeni dan nasi bakar favorit kami, ternyata rasanya sekarang tidak seenak dahulu. Dahulu Lisung adalah tempat favorit kami jika ke dago namun sekarang sepertinya harus berpikir ulang untuk kembali makan di sini.",positive
"Makan malam di lisung sambil liat pemandangan kota bandung di malam hari sangat menakjubkan. Makanan nya enak, karyawan nya ramah dan sangat sigap. Thanks lisung kami akan kembali",positive
"Berada di area dago pakar, tempat ini bisa menjadi pilihan untuk makan dan santai bersama keluarga or teman. Dengan berbagai macam pilihan makanan dan minuman. Suka dengan interiornya ornamen kayu yang menyatu dengan alam. Pemandangan yang bagus dengan suasana yang dingin.",positive
"Makanannya lumayan, pemandangannya bagus. Untuk pemandangan terbaik, datanglah pada sore hari menjelang malam.",positive
"Pertama masuk ke resto ini langsung ""woooowwwww."" bangunan kayu dan rumah joglo besar menyambut kita. Tempat yang luas dengan view bandung yang indah. Kita bisa leluasa memilih tempat sesuai dengan selera kita. Lagu mengalun pelan, jadi nyaman buat ngobrol dengan teman2. Minum lisung tea yang hangat dan mendoan cocok buat ngobrol santai. Tempat yang recommended dan pasti akan balik lagi. Lanjutan",positive
"Berkunjung bersama keluarga untuk menikmati kesegaran udara Dago Pakar - Bandung. Untuk makanan cukup enak - tapi ada rambutnya - untuk suasananya cukup enak, mungkin sekedar masukan juga agar kebersihan furniture, lantai, bantal-bantal yg disediakn selalu dijaga. Mungkin karena masih dalam suasana lebaran belum ada live performance dan kurang diperhatikan kenyamanan para pelanggan yang datang. Suka dengan konsep rumah kayu. Lanjutan",positive
