content,polarity
"Pusat Kulineran terlengkap di area Bandung, banyak aneka makanan yang tersedia dengan pilihan rasa beraneka ragam.",positive
"(+) Kualitas rasa makanan semua Ok, pilihan banyak, Harga terjangkau (-) layout jarak antar kursi di area smoking (dekat layar besar) terlalu sempit",positive
Memang banyak ragam makanan yang ditawarkan hanya makananya ga ada yg enak. seblaknya mentah tahu gejrotnya kuahnya aneh rasanya nasi timbelnya okelah tempatnya ini yang unik banyak dekor2 kayu atau perabot sunda jaman dahulu yang ditempel diatap langit-langit.,positive
Makan di sini banyak sekali pilihannya. Waktu itu saya memilih untuk makan nasi gudeg. Mm. Enak banget. Sesuai harapan. Rasanya juga standarlah. 30rbuan lebih untuk makan dan kurang dari 20rban untuk es teh lecinya. Suami dan anak saya juga makan dimsum disini. Mereka makan dengan lahap. Puas deh makan di sini.,positive
"Desain cukup unik, banyak pilihan makanan dengan harga yang sangat terjangkau, suasana cukup nyaman dengan live music. Pelayanan cukup ramah dan cepat.",positive
"Karena tempat ini menggunakan konsep pasar, sehingga ada banyak makanan yang tersedia. Sama seperti foodcourt, mulai dari makanan ringan hingga yang berat. Hanya saja tidak semuanya enak. Lebih baik bersama teman yang sudah pernah kesini, sehingga tahu makanan mana yang enak.",positive
"Makan cukup beragam dan cukup enak rasa makanan-makanannya. Ada live music pada saat weekend. Namun terkadang makanan cukup lama di hidangkannya. Overall, tempat ini sangat di rekomendasikan untuk anda yang sedang berwisata kuliner di Bandung.",positive
"Memasuki area konter makanan ini, sedikit kikuk karena tempat sempit dan gelap tampak pengap. Memilih tempat di bagian belakang sengaja agar berasa lapang, akhirnya duduk d dekat musholla. Pesanan es kacang merah datang setelah 20 menit menunggu, serutan es sengaja dikacaukan sambil melihat komposisi di dalam mangkok. Ternyata, selain serutan es ada nata de coco dan tentu saja kacang merah. Lanjutan",negative
"Tempat makan dengan konsep semi outdoor tanpa 'air con'. Pilihan makanan sangat bervariasi. Namun pelayanan agak lambat saat kondisi tidak terlalu ramai saat makan malam. Selain itu, banyak yang merokok padahal kami tidak merokok dan membawa anak kecil. Rasa makanan OK.",positive
"Tempat makan ini berlokasi sederetan dengan Yogurt Cisangkuy. Konsepnya seperti food court yang dirancang ala vintage industrialist. Banyak food stall dengan beragam jenis makanan yang bikin ngiler. Menu book-nya aja tebel banget, sampai pusing mau order apa. Lagi-lagi Pasar Cisangkuy ini penuh sekali sampai susah mencari tempat duduk. Kami sekeluarga mendapatkan meja kosong dekat tempat cuci piring. Well, aromanya agak. Lanjutan",positive
"Terdapat berbagai macam variasi makanan disini, lebih seperti foodcourt makanan2 khas bandung. Rasa cukup enak tapi tidak ada awug yang saya cari",positive
"Menyediakan makanan dan minuman berbagai jenis dengan menu yang sangat beragam dan unik, makanan dan minuman yang disediakan sangat enak-enak dengan harga kaki lima",positive
"Pasar cisangkuy ini semacam foodcourt yang terdiri dari beberapa kios. Menjual bermacam2 makanan dan minuman mulai dari makanan sunda, padang, jepang, hingga makanan eropa. Harga makanannya relatif terjangkau dan pelayanannya cepat. Tempat makan dan area parkir tidak terlalu luas. Sering penuh di saat waktu makan siang dan weekend.",positive
"Suasananya dapet banget ini buat ngobrol santai dan kalo malem minggu ada live musicnya. Waktu itu pesen kue cubit green tea, seblak, sama teh tarik. Enak semua kok makanannya. Cuma mungkin kalo weekend susah cari parkir yang bawa mobil.",positive
"buat kamu yg bingung mau makan atau ngemil di bandung. tempat ini sangatlah cocok. dimana tersedia aneka menu menarik yang patut dicoba. dari makanan sunda, jepang, china, jawa,padang pun ada.ditambah lagi dengan suasana interior yg menarik menambah kenikmatan pengunjung untuk kongkow.",positive
"Makan dan minum dengan bermacam ragam pilihan yang enak-enak, dengan harga yang ramah dengan kantong kita semua, hanya saja kalau lagi rame sulit cari parkirnya, jadi parkirnya jauh dari tempat makannya.",positive
"pasar cisangkuy menjual aneka makanan dan minuman enak-enak, bisa memilih sesuai selera, banyak makanan khas bandung",positive
"Suasana nya menyenangkan, cocok untuk keluarga atau pun bersama teman-teman bahkan untuk pasangan. Pilihan menu yang banyak dan recommended dari berbagai kuliner yang ada di bandung jadi satu di tempat ini. Sayang lahan parkirnya terbatas, kita harus berputar berkali-kali hingga akhirnya mendapatkan tempat parkir.",positive
karena banyaknya menu yang ditawarkan jadi sedikit membingungkan untuk memilih tanpa adanya rekomendasi. pelayanan yag kurang cepat juga menjadi pertimbangan sendiri untuk memilih tempat ini sebagai tempat untuk kuliner,positive
Konsep tempat makannya unik. Menunya buanyaaaaaak banget. Dari makanan tradisional sampai western ada. Kalo weekend suka ada penampilan akustiknya juga. Cocok buat nongkrong.,positive
"Makan Enak, Banyak Pilihan dan Tempat Nongkrong Asik, Ya Pasar Cisangkuy Eitsss . jangan bayangkan Pasar Cisangkuy itu pasar trasidional. Karena ini hanya nama saja. Maksud si pemiliknya memberikan nama rumah makannya itu ""Pasar Cisangkuy"", karena segala makanan dan minuman ada, lengkap dan komplit. Mulai dari makanan Western Food (makanan Barat) sampai Eastern Food (makanan Asia). Soal rasa. Hmmmm dapppnyeeee. Lanjutan",positive
