content,polarity
"Udang telor asinnya juara! Suasananya enak, paling enak duduk lesehan di samping kolam ikan. Lokasinya tengah kota.",positive
Makanannya oke. Sambalnya mantap puedesssss bgt. Sundanese buanget. Pelayanan cepat Lokasi straregis dr pusat kota dan tptnya sangat nyaman. Ada juga kolam ikannya dan lesehan loh,positive
Saya tergolong orang Jakarta yang sering keliling2 kota Bandung . Tiap kali saya ke Bandung PASTI saya mampir ke Paviliun Sunda ini . makanannya porsi kecil2 dengan harga sangat terjangkau . sehingga bisa mencoba banyak masakan tanpa takut tidak habis . rasanya . luar biasa . coba Pencok Kacang panjang nya . hmmm. pelayanan ramah dan sangat cepat penyajiannya . Lanjutan,positive
"Diajakin besties makan disini, menu makannya uda pastilah yah sundaness cuisin. Rasa masakannya enak standar resto lah, bumbunya kerasa banget, kita pesen gepuk, ayam dan karedok"" serta jeroan"" sapi. Menurut kita semua enakkk lah boleh ajak"" keluarganya kesini tempatnya enak buat bawa pasukan.",positive
"makanan dan minuman yang disajikan ala Sunda, enak dan segar, cocok untuk membawa keluarga dan kolegan untuk bersantap, harganya cukup untuk kalanagan menengah ke atas, suasananya enak dan ada alunan seruling Sunda",positive
"Ini kedua kalinya saya makan di Paviliun Sunda, makanannya enak, tempat cukup luas. Sayang tempat parkir kurang memadai untuk tempat sebesar ini.",positive
"Tempatnya nyaman enak buat santai, yang paling penting bersih dan gak bau yang aneh2 waiternya ramah dan murah senyumm,ada yg baik nawarin refilteh jg, wajib datang yg blm prnah",positive
Gurame bakarnya enak. Tempatnya cocok untuk bersantai bersama keluarga dan teman. Pelayanannya cepat dan ramah. Makanannya enak semuanya,positive
"Tutut n daun singkong kurang rasa, yg menu lain ok, tempatnya enak, luas dan bersih, pelayanannya cukup",positive
Tempatnya strategis.makanan sunda nya lezat banget.gurame nya itu lho pas bumbunya dan anak2 suka.,positive
Tempatnya lega enak buat acara keluarga atau kantor. Lesehannya punya pemandangan bagus dengan ornamen bambu2nya.,positive
"Enak untuk kumpul keluarga. Tempatnya luas, ada lesehannya, bersih dan rapih. Varian makannannya banyak bertemakan sunda.",positive
Makanan enak. Tempat strategis. Suasana nyaman. Karedoknya juara banget. Jus strawberry lechy juga nikmat.,positive
"Nice place, bersih dan luas venue nya, ada yg lesehan dan duduk biasa. Cocok utk acara2. Sdh 3x bawa teman dr luar kota utk coba makanan khas sunda kemari. Pernah jg book utk acara ultah sy, harga paketnya relatif murah tapi menu gak murahan dan rasanya tdk memalukan. Love it",positive
Menunya fresh.sambelnya maknyosss Pilihan makanan banyak menn.tmpt jg nyaman abis bt nongkrong Ga malu2in bawa tamu or keluarga makan dsini,positive
Makanan enak dan suasana nyaman. Lain waktu bakal datangg ke sini lagi untuk lunch. Menu variasi dan beragam sesuai dengan harga yang di tawarkan. Tingkatkan terus pelayanan nya.,positive
Kami sekeluarga muter-muter nyari restoran tapi semua tutup karena hari raya. Untunglah ada Paviliun Sunda yang tetap buka dan dengan kualitas rasa yang sama.,positive
Masakannya enak & fresh. Suasana sunda banget. Pelayanan cepat. Varian menu yang banyak Very recomended kalo cari makanan sunda di bandung,positive
"Rata-rata makanannya enak cuma iga bakarnya versi mini , harus booking dulu biar dapet tempat yang pewe. Over all is good",positive
"Makan malam bersama rekan2 kantor pada 2 Mei '16 Makanan rasanya cukup enak, minuman juicenya juga. Pelayanan cukup ramah Lokasi dekat dengan yg suka belanja2 dan FO Konsep resto perpaduan etnik modern yang minimalis Area tempat makan di restonya sendiri luas dan waktu itu ada hiburan penyanyinya.",positive
"Makanannya raos pisan, enak buanget, pelayaban ramah khas priangan.Lokasi gampang dan parkurnya lega.Very recommended",positive
Awesome Sangat memuaskan.dan tempat yang sangat indah buat acara apapun.pokonya nyesel deh klo ke Bandung ga trip ke paviliun sunda.,positive
"Pelayanan sangat ramah,makanan OK,pilihan bervariasi,sambalnya maknyus,lokasi strategis dan nyaman,kunjungan yang ke 2 kali.",positive
"Makanan khas sunda, enak, bisa muat banyak, dekat tempat belanja, bisa juga buat bawa keluarga atau teman kantor,",positive
"Menyajikan hidangan khas Sunda, harga terjangkau, Kami makan minggu siang saat resto sangat penuh. Setelah memesan makanan dan menunggu lama, akhirnya kami susul ke bagian distribusi makanan, karena makanan digeletakkan di meja besar dan terjadi sedikit kekacauan distribusi. Secara umum makanan enak, tapi minuman terlalu manis. Tersedia meja dan area lesehan",positive
