content,polarity
"Menunya banyak ada iga, ayam, seafood, daging dll rasanya standart tempatnya enak buat kumpul bersama teman",positive
"D'Palm terletak bersebrangan dengan Noor Hotel tempat kami menginap. interiornya bagus dan enak dipandang mata. pilihan makanan cukup bervariasi, kami memsan sup ikan patin, nasi bakar merah, nachos yg rasanya enak bgt, dan lasagna semua makanan tersebut cocok di lidah kami dan bikin kenyang tentunya. harga yang bersahabat plus suasana yg nyaman dengan kolam berisi ikan koi, bikin pengen makan. Lanjutan",positive
"Suasananya nyaman, makanannya enak dan pelayanannya juga cepat. Ada menu sunda dan western. Nasi timbel spesial enak. Iga bakar juga enak dengan lada hitam yg cukup pedas. Ada tempat main anak. Ada kolam ikan. Cocok untuk makan dan bersantai.",positive
"Resto masakan sunda ditegah kota ini menawarkan suasana resto yang cukup nyaman dengan bale-bale outdoor ditengah kolam ikan. makanannya cukup enak, dan harganya tidak terlalu mahal seperti resto western food.",positive
"Ini kedua kalinya saya makan di restoran ini. Saya datang untuk makan malam bersama rekan-rekan kerja. Saya makan di saung di sisi belakang. Suasananya nyaman. Pelayanannya juga cepat. Kami memesan cukup banyak menu, tapi tidak perlu menunggu lama, makanan sudah datang. Yang berbeda, sepertinya ada tambahan untuk Western food dan cafe coffee.",positive
"Viewnya bagus terutama di tempat lesehannya,makanan juga enak pesanan cepat sampai ,ke bandung enaknya makan di sini apalagi kalo keluarga",positive
"Makanan yang disajikan lebih cenderung ke masakan khas Indonesia, sangat cocok makan bersama keluarga, makanannya cukup lezat dan suasananya cukup menyenangkan",positive
"Ada pilihan tempat duduk di restoran ini. Kalau lesehan, bisa pesen tempat di saung di belakang resto dengan pemandangan kolam ikan. Suasananya sangat nyaman. Ada tempat bermain juga untuk anak kecil di sudut restoran. Untuk makanan, rasa tergolong rata-rata. Waktu itu saya pesan Gurame bakar, sayur asem, sambal, dan tumis kangkung. Dengan rasa makanan yang tergolong rata-rata, namun dengan suasana. Lanjutan",positive
"Restoran sunda yang boleh menjadi pilihan pada saat datang ke Bandung. Letak nya juga tidak jauh dari Jl. Riau yang terkenal dengan FO nya. Ukuran resto cukup besar, ada lantai 2 dan saung - saung nya. Makanan di resto ini rata - rata cukup enak, gurame bakar nya enak dengan bumbu yang menempel di ikan nya, gurame goreng kipas juga. Lanjutan",positive
makanan di sini cukup enak dan variatif. harganya juga reasonable. pelayanan memuaskan dan ramah. dari dulu sampe sekarang cukup terkenal dan recomended buat visitor. lokasi juga dekat dengan pusat factory outlet martadinata.,positive
"Ini kunjungan saya yang pertama ke Resto ini atas rekomendasi adik yang selalu ia datangi bila berkunjung ke kota Bandung. Resto nya sangat nyaman dengan suasana khas Jawa Barat. Anda bisa memilih untuk duduk lesehan diatas kolam ikan. Makanannya cukup variatif buat saya. Menu yang saya pesan karedok, gurame goreng,ayam bakar, sayur asem, cumi goreng tepung, sayur genjer kuah asam.",positive
"dekat dengan hotel yang saya tempati bersama pssangan. makanannya enak dan tempatnya juga bersih. pelayanan yang ramah, seperti kata orang, ""orang bandung itu murah senyum"" thank you. saya akan kembali kesini dengan keluarga saya :)",positive
"Positif: - Harga - Teh hangat yang disuguhkan tanpa diorder - Atmosfir Negatif: - Penyajian makanan tidak menarik - Menu makanan banyak yang tidak tersedia - Minuman/ makanan yang diorder terlewat, harus diingatkan konsumen",positive
