content,polarity
Di sini kalo ngeropang pasti puass banget. coklat meses dan kejunya super. harganya juga super murah. cuman ramenya gelo dah.,positive
"Bagi warga Bandung pasti sudah tidak asing dengan Cafe Madtari ini. Kebetulan karena sedang bosan dengan martabak maka saya ingin kembali bernostalgia dengan keju melimpah di Madtari Cafe. Memang sudah cukup lama saya tidak berkunjung ke tempat ini (mungkin sekitar 10 bulan), tidak ada yang jauh berbeda. Kembali saya memesan menu andalan yakni Roti Susu Pisang Keju. Tak lama menunggu. Lanjutan",positive
Tempat makan ini menyediakan roti bakar dan Indomie. Keju yang menumpuk sangat banyak merupakan ciri khas di sini.,positive
"Wow ini indomie kejunya banyak amat sampe susah ngaduknya. Rasanya kaya indomie biasa cuman tambahan kejunya yang luarrr biasa banyak "" makan keju pake mie "" + minumannya STMJ",positive
"Makan disini karena iseng, sudah mendekati jam 12 malam. Walaupun hampir tengah malam, tetapi suasanya masih ramai. Padahal hari Senin. Untuk yang ga mau makanan terlalu berat, pilihannya banyak. Ada roti bakar, indomie (mi instant), pisang bakar. Dan masing2 menu tersebut tersedia banyak varian (bisa di-browse sendiri untuk menu pilihannya, karena saya tidak sempat memfotonya hehe). Saya memilih roti korned. Lanjutan",positive
kuliner sambil kongkow tengah malam di bandung paling cocok disini. menu makanan ringan dengan banyak variasi juga minumannya baik hangat maupun dingin.,positive
Kalau pesan yg berbau keju. Nanti pas datang pesanan piring itu seperti penuh dengan keju. Mantaapppp banget. Krn stiap kesini pesen nya pisang atau roti dengan berbagai toping dan pasti ada kejunya. Saya coba juga nasi gorengnya. Enak juga ternyata. Mantaapppp,positive
"bagi anda pecinta keju cafe madtari ini menawarkan olahan makanan seperti, pisang keju, mie rebus atau goreng, roti dll yang ditaburi parutan keju yang melimpah yang membuat anda ketagihan dan akan datang lagi kesini, harganya yang murah dan terjangkau membuat pecinta keju tentunya sring datang langsung kesini",positive
ini tempat paling jago menyediakan semua jenis Indomie dan Roti Bakar. Favorite saya Indomie Goreng Telur Kornet Keju.,positive
"makanannya disini enak roti bakarnya, topingnya keju dan coklatnya melimpah ruah, selain itu indomie keju telor kornetnya juara banget.",positive
"Paling suka makan disini terutama disaat kantong kempes. Hahha. Pilihan menunya banyak : mie rebus, baso, roti bakar, bajigur dan banyak lagi. Saya paling suka makan roti bakar dan mie rebus dengan topping keju. Guriih.",positive
"Rekomendasi untuk mencoba roti bakar dan pisang bakarnya, bagi yang suka keju, minta keju extra. Minum coklat panas cocok untuk menemani roti atau pisang bakar.",positive
